hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457736.7381,bc,V,11.657,0.02,83.355,1.534
2457323.81467,bc,V,11.697,0.02,80.361,1.479
2457300.8396,bc,V,11.504,0.02,96.037,1.767
2458026.83884,bd,V,11.594,0.02,85.902,1.581
2457183.01653,bc,V,11.655,0.02,83.533,1.537
2457890.09891,bc,V,11.441,0.02,101.717,1.872
2457709.82986,bd,V,11.476,0.02,95.746,1.762
2457680.76828,bc,V,11.484,0.02,97.817,1.8
2457360.72474,bc,V,11.599,0.02,87.936,1.618
2458097.79988,bd,V,11.601,0.02,85.301,1.57
2458019.99799,bd,V,11.498,0.02,93.825,1.726
2458079.80523,bc,V,11.642,0.02,84.515,1.555
2458019.01793,bd,V,11.67,0.02,80.079,1.473
2458003.99269,bc,V,11.666,0.02,82.671,1.521
2457701.82239,bc,V,11.407,0.02,104.993,1.932
2457271.02367,bc,V,11.413,0.02,104.369,1.92
2457233.90791,bc,V,11.622,0.02,86.108,1.584
2458034.89763,bc,V,11.417,0.02,104.055,1.915
2457935.02038,bd,V,11.622,0.02,83.667,1.539
2457895.07458,bc,V,11.657,0.02,83.424,1.535
2457540.08606,bc,V,11.582,0.02,89.352,1.644
2458061.77441,bd,V,11.618,0.02,84.016,1.546
2457980.83896,bc,V,11.371,0.02,108.507,1.997
2457275.91776,bc,V,11.619,0.02,86.384,1.589
2457164.08554,bc,V,11.654,0.02,83.593,1.538
2458066.76358,bd,V,11.612,0.02,84.466,1.554
2457670.74317,bc,V,11.649,0.02,83.982,1.545
2457669.88615,bd,V,11.456,0.02,97.55,1.795
2457332.86523,bd,V,11.387,0.02,103.971,1.913
2457309.85259,bd,V,11.617,0.02,84.106,1.548
2458062.77417,bd,V,11.634,0.02,82.8,1.524
2457619.94607,bc,V,11.626,0.02,85.785,1.578
2457607.01042,bc,V,11.573,0.02,90.133,1.658
2457324.84854,bd,V,11.507,0.02,93.049,1.712
2457695.8783,bd,V,11.598,0.02,85.607,1.575
2457677.88927,bc,V,11.637,0.02,84.941,1.563
2457178.06543,bd,V,11.676,0.02,79.662,1.466
2457911.0722,bd,V,11.552,0.02,89.292,1.643
2457881.12293,bd,V,11.674,0.02,79.783,1.468
2457309.81687,bc,V,11.648,0.02,84.054,1.547
2457138.1211,bc,V,11.569,0.02,90.457,1.664
2458442.78713,bc,V,11.671,0.02,82.324,1.515
2458067.76144,bd,V,11.404,0.02,102.279,1.882
2457227.9283,bd,V,11.506,0.02,93.132,1.714
2457969.08087,bc,V,11.552,0.02,91.837,1.69
2457915.1051,bd,V,11.476,0.02,95.733,1.761
2457240.95224,bc,V,11.648,0.02,84.11,1.548
2458021.95866,bc,V,11.639,0.02,84.82,1.561
2457190.09813,bc,V,11.68,0.02,81.621,1.502
2458427.80107,bc,V,11.676,0.02,81.956,1.508
