g_date,g-r_val,g_mag,g-r_magerr,g_magerr,r_date,r_mag,r_magerr
58242.4749074,2.3025332219339063,19.526894621933906,0.07751333349311705,0.0744642615,58242.4749074,17.2243614,0.0215265099
58254.4685648,2.3359544453816063,19.503888845381606,0.07640213764526171,0.073424004,58254.4685648,17.1679344,0.0211235005
58263.4262384,2.396772607072297,19.501743507072298,0.07612341628704546,0.073255375,58263.4262384,17.1049709,0.0206984188
58267.3815972,2.412457235695154,19.576691435695153,0.07968713197749154,0.0768434852,58267.3815972,17.1642342,0.0210978147
58268.4563426,2.461066592725576,19.620370292725575,0.08201269440141216,0.079261601,58268.4563426,17.1593037,0.0210637283
58269.4242014,2.169546779745584,19.378698979745582,0.0824081918635723,0.0795768499,58269.4242014,17.2091522,0.0214157663
58270.4343171,2.213137571602317,19.389540571602318,0.07137174688651704,0.0681558698,58270.4343171,17.176403,0.0211826265
58271.4237384,2.4322358690192765,19.467018269019277,0.07413743419806383,0.0717039034,58271.4237384,17.0347824,0.0188390389
58271.4242014,2.248711919646162,19.46705561964616,0.07447103802785837,0.0717039034,58271.4242014,17.2183437,0.0201118309
58271.4543171,2.293598880298667,19.469485080298668,0.07476630386404169,0.0717039034,58271.4543171,17.1758862,0.0211790092
58272.4573495,2.3021704394053266,19.548285139405326,0.07860258646205706,0.0755513832,58272.4573495,17.2461147,0.0216876715
58273.4220486,2.3101345700611837,19.556634570061185,0.07903357900790717,0.0759988576,58273.4220486,17.2465,0.0216905568
58274.4714931,2.58828496491909,19.67475846491909,0.08450981080088124,0.0819661096,58274.4714931,17.0864735,0.0205782652
58275.4054051,2.529734926455376,19.719397826455374,0.08735989165660218,0.0847294256,58275.4054051,17.1896629,0.0212761629
58278.4469907,2.334942337651281,19.59107633765128,0.08078857236257965,0.0778020844,58278.4469907,17.256134,0.0217630211
58279.4076505,2.3839805382819215,19.556011938281923,0.07888748662553972,0.0759988576,58279.4076505,17.1720314,0.0211520493
58280.3638079,2.41621188143467,19.68320068143467,0.09918256720715796,0.0967468768,58280.3638079,17.2669888,0.021845445
58281.4505787,2.4113364298770286,19.64166972987703,0.08315231863201608,0.0803058222,58281.4505787,17.2303333,0.0215704199
58282.4529514,2.4052908631384327,19.666177963138434,0.08458602822702661,0.081728816,58282.4529514,17.2608871,0.0217990093
58283.3907755,2.397173526935802,19.6499010269358,0.08364456688502374,0.0807706788,58283.3907755,17.2527275,0.0217373185
58287.4492245,2.2876993875408473,19.406550087540847,0.07205865113843604,0.0689943954,58287.4492245,17.1188507,0.0207899641
58294.4663657,2.371562232725349,19.64013983272535,0.08322153661114871,0.0802998766,58294.4663657,17.2685776,0.0218575839
58296.336713,2.363414325753851,19.58711202575385,0.08055119679695875,0.0776228979,58296.336713,17.2236977,0.0215216409
58296.3503819,2.455680087144817,19.586724487144817,0.08002981506693457,0.0776228979,58296.3503819,17.1310444,0.0194796566
58296.3508449,2.414443460238143,19.586711360238144,0.08010144044798928,0.0776228979,58296.3508449,17.1722679,0.0197718609
58298.4259491,2.4377329267394394,19.48291042673944,0.07527523439991018,0.072481446,58298.4259491,17.0451775,0.0203175023
58298.4378819,2.473937411367107,19.482299211367106,0.07463598422703216,0.0722623765,58298.4378819,17.0083618,0.0186729506
58299.4114005,2.4713057213919996,19.522678221392,0.08950027832429033,0.0871546566,58299.4114005,17.0513725,0.0203559734
58300.3982639,2.4668818936009167,19.62792509360092,0.08249192402102898,0.0797541887,58300.3982639,17.1610432,0.0210757423
58312.405787,2.426021563467163,19.488090463467163,0.07547006998701378,0.0726542175,58312.405787,17.0620689,0.0204229318
58313.3922685,2.292224858381271,19.47889325838127,0.07529401760550983,0.0722316876,58313.3922685,17.1866684,0.0212549381
58314.4250347,2.520210219187348,19.58125681918735,0.07987460088296446,0.0772212297,58314.4250347,17.0610466,0.0204165019
58315.3611806,2.455549163060752,19.54330056306075,0.09051056300378664,0.0881382897,58315.3611806,17.0877514,0.0205864981
58316.3479861,2.2245284181220306,19.49173841812203,0.0759322809481985,0.0727214813,58316.3479861,17.26721,0.0218471382
58323.4686574,2.324726514440112,19.60470811444011,0.08151092139850513,0.0785011947,58323.4686574,17.2799816,0.0219452213
58330.3619907,2.1706197801113944,19.405591780111394,0.072297926267957,0.0689943954,58330.3619907,17.234972,0.0216047112
58330.3949769,2.1566818220462167,19.40132982204622,0.07132588450839722,0.0683724061,58330.3949769,17.244648,0.0203124564
58330.3954398,2.322370613387722,19.401270013387723,0.07099699771232192,0.0683724061,58330.3954398,17.0788994,0.0191255789
58332.3315046,2.346718803017211,19.47444820301721,0.07502287065451274,0.0720676333,58332.3315046,17.1277294,0.0208491571
58332.3632639,2.2768601571801206,19.47578705718012,0.07478246609399232,0.0720676333,58332.3632639,17.1989269,0.0199668091
58332.3637269,2.440814375541123,19.475806575541124,0.0744896199278493,0.0720676333,58332.3637269,17.0349922,0.0188403744
58333.3243519,2.5204634155692993,19.6345305155693,0.08262160008581731,0.079971388,58333.3243519,17.1140671,0.0207582731
58333.3534491,2.4498066053524745,19.639709905352476,0.08272902372114752,0.0802998766,58333.3534491,17.1899033,0.019900281
58333.353912,2.390822302954632,19.639792302954632,0.08283734384807566,0.0802998766,58333.353912,17.24897,0.0203458928
58334.3497801,2.383445244795233,19.504584744795235,0.07631474119897215,0.073424004,58334.3497801,17.1211395,0.0208051763
58334.4068634,2.412138364144898,19.5045894641449,0.07589688858795464,0.073424004,58334.4068634,17.0924511,0.0192159656
58334.4073148,2.444677801464298,19.5045895014643,0.0758427027107139,0.073424004,58334.4073148,17.0599117,0.0190008208
58335.36375,2.5483659745406584,19.50466857454066,0.08801497201480142,0.0860792845,58335.36375,16.9563026,0.018357344
58335.364213,2.499270812819084,19.504668612819085,0.08807744512621078,0.0860792845,58335.364213,17.0053978,0.0186545737
58336.3487269,2.146009512130295,19.426666312130294,0.07311823268418569,0.0697456375,58336.3487269,17.2806568,0.0219504442
