mjd,mag,magerr
58206.5220949,20.1656361,0.11924158
58209.5046759,19.8881531,0.10055615
58210.5165278,20.0499935,0.110973783
58228.4905208,20.0155106,0.108644702
58231.4428819,19.9241619,0.102763213
58231.4882986,19.8405304,0.097730495
58232.5059491,19.8948536,0.100962192
58234.4664352,20.2672768,0.12711677
58235.4298495,20.0627422,0.111850388
58244.4481481,20.3292789,0.132213786
58246.4710995,20.2179794,0.123223945
58247.4914815,20.5212116,0.148892283
58252.4708565,20.2262592,0.123868085
58254.4434954,20.4948349,0.146964461
58255.4345486,20.795475,0.167333126
58261.4692593,19.8421707,0.097826086
58262.4438542,20.2349663,0.124549627
58263.4476736,20.4095917,0.139158145
58269.446713,20.3152885,0.131043836
58270.4528356,20.0781593,0.112921938
58272.4050579,20.2058563,0.122288048
58273.4631944,20.4139748,0.1395486
58274.4028472,20.4065475,0.138887927
58275.4486921,20.8609467,0.171735287
58277.4530093,20.6496773,0.157530069
58278.4071296,20.4468536,0.142514542
58279.4508796,20.2149429,0.12298882
58280.4296181,20.1307926,0.11667484
58281.4036806,20.321537,0.131564975
58282.4034606,19.9463825,0.104156129
58283.4302083,20.0924683,0.113927484
58285.4292245,20.6116028,0.15497005
58287.4041667,20.9215012,0.175806761
58288.4087963,20.0906372,0.113798194
58289.4098727,20.2273788,0.123955533
58290.4258333,20.0306053,0.109656729
58291.4249653,20.0123634,0.108435169
58292.4267245,20.0327339,0.109800406
58293.4572222,20.1464577,0.117820553
58294.4538889,20.2884579,0.128832534
58295.3846644,20.4457932,0.142417774
58297.4480324,20.0518703,0.111102283
58300.4754745,20.0976295,0.114292927
58301.3275579,20.1507473,0.118136607
58302.4762384,19.6910534,0.100968517
58303.4261343,20.5916481,0.153628349
58304.4356481,20.7285347,0.16283226
58305.4477083,20.8446083,0.170636654
58307.3414583,20.5905132,0.153551936
58310.3416435,19.9707241,0.10570959
58311.3646875,20.0070057,0.10807962
58312.3712963,20.116045,0.11560826
58313.3654398,20.2215157,0.123498708
58314.3875116,20.3850727,0.136996403
58315.4364931,21.1558704,0.216887355
58315.4369444,20.9625835,0.202038527
58316.3914352,20.5210171,0.14887929
58318.4135417,20.6687164,0.158810139
58319.3925116,19.8717461,0.0995708182
58320.4527431,20.1042709,0.114765249
58321.4154514,19.9698067,0.105650477
58322.4350347,20.029932,0.109611407
58323.3736458,19.9101105,0.11642199
58323.4326042,19.851759,0.098387368
58324.4269676,19.9428406,0.10393244
58329.4038542,20.0787697,0.112964623
58329.4503009,20.2208729,0.141607344
58330.4451505,20.0564575,0.111417189
58332.4535995,20.2652416,0.126953393
58333.3885069,20.1845322,0.13848725
58334.3090856,20.4384918,0.141753882
58337.3688657,20.56633,0.151925921
58343.3891782,20.282011,0.128307536
58344.3462153,20.3634529,0.135120764
58346.3218866,20.6019897,0.154323697
58347.3486574,20.9353085,0.176735163
58348.3465278,20.3613605,0.134940878
58349.370463,20.2382622,0.124808848
58350.3506713,20.1237507,0.116164051
58351.4113079,20.2087955,0.122514091
58352.3626505,20.3640041,0.135168403
58360.1695139,20.1865215,0.120812237
58361.2225926,20.0093117,0.108232446
58362.2448727,20.2864456,0.128668398
58363.3022454,20.3142071,0.130953819
58364.2564699,20.6728401,0.15908742
58365.2890278,20.7670994,0.165425181
58366.2611921,21.1232357,0.189370871
58367.2833333,20.3954697,0.137908608
58368.2662731,19.5920868,0.0845903754
58369.2889352,19.7415867,0.0921860337
58370.2381366,20.0644112,0.111965775
58371.2665972,20.1925087,0.121266924
58372.2694097,20.2805882,0.128191963
58373.2658912,20.263092,0.126780912
58374.2610069,20.4791126,0.145490453
58374.2907292,20.4713326,0.163953096
58377.2680787,20.7046127,0.161223769
