mjd,mag,magerr
58216.5127083,19.2028522,0.0566897318
58217.4916319,19.7707253,0.0861261114
58217.5144329,19.6177502,0.076504916
58218.4938542,19.6231346,0.0768191367
58218.5182986,19.3969193,0.0649625584
58242.4753704,19.6889763,0.0808011964
58244.4896065,19.4624329,0.0681284294
58246.4459028,19.6324959,0.0773693845
58247.4503704,19.5891037,0.0748612955
58252.4883218,19.472805,0.0686486289
58255.4709606,19.6688728,0.0795574039
58256.4712037,19.6121178,0.0761780292
58257.4319097,19.4144974,0.0657921359
58257.4741319,19.6019821,0.075594455
58258.4518866,19.5512466,0.0727599412
58259.4483333,19.5702629,0.0738056377
58262.387581,19.3007317,0.0606672019
58266.3629167,19.6110992,0.0761191547
58268.4568056,19.8039894,0.088421829
58269.4246644,19.4649067,0.0682520047
58270.4333681,19.4842453,0.0692285821
58271.4237384,19.636795,0.0843852013
58271.4242014,19.4623375,0.0746738985
58272.4729861,19.5186939,0.0710149482
58273.4229861,19.6661415,0.0793902874
58274.4710417,19.6699047,0.0796205848
58275.4072801,19.7749386,0.0864126012
58276.4547685,19.5082283,0.0704658031
58277.4027083,19.5438576,0.072358869
58278.4502199,19.5460377,0.0724769011
58280.3647454,19.6979256,0.0813629925
58281.4534144,19.7931061,0.0876621529
58282.4515046,19.7365284,0.0838451087
58283.3917245,19.6766262,0.0800341368
58285.4131019,19.4973564,0.0699013099
58287.4496759,19.6064434,0.0758505762
58288.4531713,19.6603756,0.0790391713
58289.4506713,19.8024635,0.0883148238
58290.3852662,19.5160503,0.0708757266
58291.4765741,19.4757881,0.0687991977
58292.4671181,19.3494987,0.0627945736
58293.4775926,19.6258011,0.0769753009
58294.4668171,19.7291965,0.0833662525
58296.3508449,19.7699318,0.0926111042
58296.3675463,19.5871162,0.0747490153
58297.4165856,19.3483295,0.0627423674
58298.4254977,19.601984,0.0755945146
58298.4378819,19.3580704,0.0694267899
58299.4109375,19.4080849,0.0654878765
58300.3987269,19.5869942,0.0747421533
58301.405,19.7830982,0.0869709998
58301.4091319,19.6817017,0.0870798454
58302.3822454,19.4594212,0.0679784045
58303.3680324,19.6731033,0.0798170045
58304.3857176,19.5164757,0.0708981305
58307.3917593,19.6625595,0.0791719407
58310.4072917,19.5626278,0.0733834058
58312.4053241,19.6446495,0.0780916065
58313.3918171,19.6332092,0.0774115622
58314.4259838,19.5330372,0.0717768669
58315.3616319,19.9304886,0.0978971943
58316.3475231,19.6732426,0.0798255801
58318.3656829,19.5962448,0.0752666891
58320.3920949,19.2641335,0.0591356941
58322.4019676,19.685051,0.080556348
58323.4709838,19.7469749,0.0845335498
58324.4785185,19.7284813,0.0833197236
58325.2762037,19.5549736,0.0729633048
58326.4156366,19.4218445,0.0661431253
58327.3429514,19.3354549,0.0621715374
58327.3751157,19.6526375,0.0853265598
58328.3740625,19.6104965,0.0828446001
58328.3745139,19.6195202,0.0833701342
58329.3665741,19.9188919,0.0969766453
58330.3615278,19.7990112,0.0880733207
58330.3949769,19.5744152,0.0807756633
58330.3954398,19.6652622,0.0860840157
58332.3310417,19.6973553,0.0813269913
58332.3632639,19.590683,0.0817020759
58332.3637269,19.5583305,0.0798699036
58333.3248032,19.6493683,0.0783743337
58333.3534491,19.4590473,0.0745020881
58333.353912,19.5361366,0.0786367729
58334.3493171,19.6196671,0.0766165778
58334.4068634,19.3377857,0.0684526265
58334.4073148,19.4456558,0.0738070682
58335.36375,19.4737453,0.0752728209
58335.364213,19.5579338,0.0798476785
58336.3482639,19.7614632,0.0855004936
58336.3628009,19.6346703,0.084259674
58336.3632523,19.5772896,0.0809385777
58342.3439236,19.7547455,0.0850504264
58343.3421412,19.7882729,0.087327525
58344.4278819,19.7460117,0.0844697729
58345.3354167,19.608181,0.0759506822
58345.3701157,19.5124016,0.0773393363
58347.4121065,19.6370926,0.0776414871
58349.3212384,19.8039856,0.0884214938
58351.3631019,19.7190018,0.0827062353
58352.2896644,19.7841206,0.0870412365
58352.3129282,19.4003677,0.0715065151
58353.2161921,19.7277508,0.0832722262
58353.3083796,19.5280418,0.0781918392
58353.3797222,19.6113758,0.0761351362
58354.2690856,19.5931587,0.0750911459
58354.3086111,19.536026,0.0786307305
58354.3898958,19.5542202,0.0729221329
58355.2808565,19.5667343,0.0736101121
58355.3067708,19.3721638,0.0701124296
58355.4265278,19.6962891,0.081259869
58356.2794792,19.6261978,0.0769985989
58356.3109838,19.4781647,0.0755061656
58357.3148727,19.7443962,0.0843629465
58358.2320139,19.6491051,0.0783585161
58359.3015509,19.706028,0.0818760246
58359.3452199,19.6762829,0.0800129473
58360.3024884,19.5941315,0.0751464143
58361.2398032,19.5147972,0.0708098635
58362.3239352,19.4672966,0.0683716908
58363.2651968,19.8316975,0.0903940722
58364.3015856,19.8101959,0.0888587683
58365.2015972,19.6797371,0.0802264139
58366.3288542,19.6497898,0.0783996955
58367.3248727,19.5481129,0.0725894868
58368.2873148,19.6267357,0.0770301595
58368.3259954,19.4678497,0.0749626681
58369.1924537,19.6415062,0.0779039711
58370.2827315,19.7676411,0.0859170854
58371.3049537,19.8831272,0.0942055434
58372.309294,19.7260456,0.0831615478
58373.2834491,19.6627865,0.0791857317
58374.3245255,19.6128654,0.0762213096
58375.1915972,19.572588,0.0739348307
58376.2045139,19.6468887,0.0782255903
58377.1250347,19.7967758,0.0943565071
58377.2866088,19.6891041,0.080809176
58378.2709375,19.6295033,0.0839552656
58378.2799306,19.7436943,0.0843165666
58379.2751157,19.7424221,0.0842326283
58379.2893866,19.5453739,0.0791476667
58382.1659838,19.5820274,0.0744624808
58383.3101968,19.6537666,0.0786391348
58384.1853241,19.6057701,0.0758118331
58385.2262963,19.8390579,0.0909273624
58386.2543634,19.5468025,0.0725183934
58386.2687847,19.4909439,0.0761851296
58387.1653588,19.5991173,0.075430505
58388.2395602,19.6409969,0.0778736472
58389.241088,19.6411438,0.0778823793
58389.2879282,19.5130177,0.0773727521
58390.1708565,19.6207657,0.0766806453
58400.1945602,19.6619835,0.079136841
58423.1097338,19.5825634,0.074492611
58425.120463,19.8210258,0.0896278918
