mjd,mag,magerr
58229.5043519,19.454174,0.0710390732
58230.4926042,19.4378052,0.0702835247
58231.442419,19.8909969,0.0947996527
58231.4873495,19.6243725,0.0794537887
58234.4659722,19.6061153,0.0785011947
58242.4512269,19.4684143,0.0717039034
58242.4938889,19.5737705,0.0768434852
58242.4943519,19.5489273,0.0755959824
58247.4924306,19.554142,0.0758559704
58254.4355903,19.5056076,0.0734734833
58255.4280208,19.4538784,0.0710253492
58258.4740856,19.646637,0.0806321353
58262.4429167,19.5336838,0.0748415068
58263.4467361,19.5010777,0.073255375
58266.4680093,19.5395622,0.0751314685
58268.4646644,19.6207085,0.079261601
58269.4771181,19.3653526,0.0670479536
58270.4765509,19.3906078,0.0681558698
58272.4279745,19.5480309,0.0755513832
58273.4641782,19.5569992,0.0759988576
58274.4019097,19.6714325,0.0819661096
58275.4491551,19.721489,0.0847294256
58276.4118634,19.6300812,0.0797541887
58278.4061921,19.5925655,0.0778020844
58279.4490046,19.5545025,0.0758740157
58280.428669,19.6923256,0.0831079856
58281.4027431,19.6403942,0.0802998766
58282.4025231,19.6670532,0.081728816
58283.4292708,19.6492329,0.0807706788
58286.4296181,19.5965214,0.0780055225
58287.4032292,19.4094086,0.0689943954
58288.4352894,19.3452682,0.0661818832
58294.4534259,19.6405067,0.0803058222
58296.4596759,19.5836258,0.0773445293
58298.4776389,19.4802628,0.0722623765
58299.4535185,19.5245914,0.0743954405
58300.4555903,19.6341953,0.079971388
58305.4467477,19.5259991,0.0744642615
58307.3405093,19.6188259,0.0791630745
58310.3406944,19.6122551,0.0788201615
58312.3717593,19.4885139,0.0726542175
58313.3659028,19.4761429,0.0720676333
58314.387963,19.5827599,0.0773003846
58315.4364931,19.540247,0.0881382897
58315.4369444,19.609827,0.0923079029
58316.4008796,19.4848824,0.072481446
58322.4302662,19.4246674,0.0696836933
58323.3736458,19.3869419,0.0795768499
58323.3740972,19.4626064,0.0836954489
58323.4575926,19.6068192,0.0785376802
58324.3844907,19.4299736,0.0818937123
58324.3849421,19.4101582,0.0808185488
58324.4197917,19.4899254,0.0727214813
58329.4214468,19.6712189,0.0819545388
58329.4498495,19.6084595,0.0922242478
58329.4503009,19.523386,0.0871546566
58330.4446875,19.394907,0.0683465526
58332.4540509,19.4796143,0.0722316876
58333.3885069,19.6459503,0.0945427418
58333.3889699,19.5113811,0.0864607245
58334.3105324,19.5045815,0.073424004
58336.2712269,19.5047436,0.0860792845
58336.3223958,19.4260292,0.0697456375
58337.3693171,19.4513607,0.0709085539
58338.3648032,19.3954887,0.0683724061
58343.3896296,19.5890713,0.0776228979
58344.3466782,19.432951,0.0700612143
58346.3214236,19.6032658,0.0783535913
58350.3058449,19.4613342,0.0836244971
58360.4355093,19.6158466,0.0926770195
58363.3480556,19.2618561,0.0732162893
58374.2907292,19.5052357,0.0861075297
58379.2033912,19.6244335,0.0932057947
58381.2413773,19.4250412,0.081624791
58382.2294676,19.4799385,0.0846681148
58384.287581,19.6808453,0.0967468768
58387.2464236,19.7701588,0.10258875
58431.0822454,19.3425732,0.077257514
58433.1413657,19.5812073,0.0772212297
58434.1370255,19.342701,0.0660721511
58436.1457523,19.4155769,0.0692721307
58567.4990162,18.9640236,0.0601929091
