mjd,mag,magerr
58229.4540162,17.113987,0.020757746
58242.4749074,17.2243614,0.0215265099
58247.4508333,17.2334137,0.0215931702
58254.4685648,17.1679344,0.0211235005
58255.4700231,17.0533066,0.0203680359
58256.4329977,17.2335911,0.0215944853
58256.4665278,17.1864147,0.0212531425
58257.4328704,17.1899204,0.0212779939
58257.473669,17.0895653,0.0205982048
58258.445162,17.1846943,0.0212409794
58259.4473958,17.2072124,0.0214017536
58262.3871181,17.1863518,0.0212526955
58263.4262384,17.1049709,0.0206984188
58266.3633796,17.2354927,0.0216085613
58267.3815972,17.1642342,0.0210978147
58268.4563426,17.1593037,0.0210637283
58269.4242014,17.2091522,0.0214157663
58270.4343171,17.176403,0.0211826265
58271.4237384,17.0347824,0.0188390389
58271.4242014,17.2183437,0.0201118309
58271.4543171,17.1758862,0.0211790092
58272.4573495,17.2461147,0.0216876715
58273.4220486,17.2465,0.0216905568
58274.4714931,17.0864735,0.0205782652
58275.4054051,17.1896629,0.0212761629
58278.4469907,17.256134,0.0217630211
58279.4076505,17.1720314,0.0211520493
58280.3638079,17.2669888,0.021845445
58281.4505787,17.2303333,0.0215704199
58282.4529514,17.2608871,0.0217990093
58283.3907755,17.2527275,0.0217373185
58285.4121644,17.1247921,0.0208295193
58287.4492245,17.1188507,0.0207899641
58288.4536343,17.0940361,0.0206271354
58294.4663657,17.2685776,0.0218575839
58296.336713,17.2236977,0.0215216409
58296.3503819,17.1310444,0.0194796566
58296.3508449,17.1722679,0.0197718609
58298.4259491,17.0451775,0.0203175023
58298.4378819,17.0083618,0.0186729506
58299.4114005,17.0513725,0.0203559734
58300.3982639,17.1610432,0.0210757423
58301.4059144,17.1130295,0.0193554051
58301.4091319,17.1159172,0.019375179
58302.3950926,17.0380249,0.0188597031
58305.4089236,17.1589184,0.0210610721
58307.3922106,17.2822399,0.0219626948
58312.405787,17.0620689,0.0204229318
58313.3922685,17.1866684,0.0212549381
58314.4250347,17.0610466,0.0204165019
58315.3611806,17.0877514,0.0205864981
58316.3479861,17.26721,0.0218471382
58322.4004398,17.16436,0.0210986882
58323.4686574,17.2799816,0.0219452213
58324.4794676,17.2427444,0.0216624904
58328.337662,17.2221298,0.0215101615
58328.3740625,16.9706154,0.0184425991
58328.3745139,17.2610664,0.0204401631
58329.3675926,17.210598,0.0214262232
58330.3619907,17.234972,0.0216047112
58330.3949769,17.244648,0.0203124564
58330.3954398,17.0788994,0.0191255789
58332.3315046,17.1277294,0.0208491571
58332.3632639,17.1989269,0.0199668091
58332.3637269,17.0349922,0.0188403744
58333.3243519,17.1140671,0.0207582731
58333.3534491,17.1899033,0.019900281
58333.353912,17.24897,0.0203458928
58334.3497801,17.1211395,0.0208051763
58334.4068634,17.0924511,0.0192159656
58334.4073148,17.0599117,0.0190008208
58335.36375,16.9563026,0.018357344
58335.364213,17.0053978,0.0186545737
58336.3487269,17.2806568,0.0219504442
58336.3628009,17.1957893,0.0199436154
58336.3632523,17.2433662,0.0203025714
58340.3107292,17.1980095,0.0213356335
58342.3299421,17.0948715,0.0206325557
58343.3416898,17.1653271,0.0211053938
58344.3094097,17.2346344,0.0216022041
58345.3701157,17.022953,0.0187641755
58347.4134954,17.1946602,0.0213117171
58352.3129282,17.2193375,0.0201193187
58353.3083796,17.226757,0.0201754738
58354.3086111,17.1970654,0.0199530367
58355.3067708,17.1038055,0.0192925744
58356.3109838,17.2169952,0.0201016776
58368.3259954,17.1863346,0.0198741313
58377.1250347,17.0481567,0.0189246833
58378.2709375,17.1019211,0.0192798022
58379.2893866,17.2616673,0.0204448719
58386.2687847,17.1852226,0.0198659953
58389.2879282,17.1593132,0.0196788311
58429.0831366,17.1265526,0.0194484834
58433.0831134,17.1515179,0.0196233895
58433.1079745,17.1451111,0.0209664907
58436.1008449,17.0652885,0.0204432216
58443.0756713,17.2342777,0.0202327855
58456.1387731,17.1511955,0.0210080184
58482.1018403,17.1091747,0.0207260158
58593.3904977,17.171299,0.019764863
58632.4842361,17.1892796,0.0198957063
58653.4332523,17.2298775,0.0201992057
58653.4337037,17.1865921,0.0198760163
58654.4077199,17.1931915,0.0199244637
58654.4081713,17.2578354,0.0204148851
58655.3645949,17.1580105,0.0196695458
58655.3650463,17.139431,0.0195382051
