mjd,mag,magerr
58205.4747106,19.0476952,0.0556250811
58206.4430324,19.052393,0.0557769164
58206.5220949,19.2150078,0.061384324
58208.5127083,18.4069862,0.0394412726
58209.5046759,18.9744492,0.0533282682
58210.5165278,19.0190659,0.0547116883
58211.507963,18.9496689,0.0525805503
58228.4905208,18.9390373,0.0522641763
58231.4428819,18.833004,0.0492506362
58231.4882986,18.7177277,0.0462518372
58232.5059491,18.911272,0.0514504053
58234.4664352,19.4578571,0.0711297169
58235.4298495,18.9963837,0.0540023595
58236.4288079,18.7690601,0.0475528687
58237.3926273,18.9684448,0.0531457476
58242.4516782,18.7787437,0.0478043966
58244.4481481,18.8942089,0.0509590842
58246.4710995,18.9200249,0.0517050028
58247.4914815,18.7314224,0.0465936698
58252.4708565,18.9489784,0.052559901
58254.4434954,18.6852856,0.0454570763
58255.4345486,18.8578835,0.0499350615
58258.4731481,18.8199844,0.0488978401
58261.4692593,19.0913124,0.0570561737
58262.4438542,19.7811317,0.0869244486
58263.4476736,18.824852,0.0490293317
58266.4694792,19.0519466,0.0557624437
58267.4709954,19.1126461,0.0577738434
58268.4714468,18.8610344,0.0500227436
58269.446713,18.4533539,0.0403501391
58270.4528356,19.338398,0.0661207736
58272.4050579,19.5335388,0.0745283812
58273.4631944,19.3214684,0.0654451847
58274.4028472,19.1507893,0.0590865538
58275.4486921,19.3490467,0.0665500239
58276.411412,18.9447365,0.0524334423
58277.4530093,19.4066429,0.0689298064
58278.4071296,19.7276859,0.0840800554
58279.4508796,20.3827457,0.124937892
58280.4296181,18.8921509,0.0509002842
58281.4036806,18.6194191,0.0439066216
58282.4034606,18.5535965,0.0424384959
58283.4302083,18.9231071,0.0517950989
58285.4292245,19.3115273,0.0650522932
58286.4277199,18.7690697,0.0475531146
58287.4041667,18.5920506,0.0432865471
58288.4087963,19.0193329,0.0547201149
58289.4098727,18.7816257,0.0478796512
58290.4258333,19.1269493,0.0582615957
58291.4249653,18.6019344,0.0435088761
58292.4267245,18.5191479,0.0417012349
58293.4572222,18.5745449,0.0428971611
58294.4538889,18.8100357,0.0486307554
58295.3846644,18.8759804,0.0504415259
58297.4480324,18.7094498,0.0460470505
58298.475625,18.8298759,0.0491655394
