mjd,mag,magerr
58205.4742477,16.6175117,0.0279308092
58206.4825463,16.6038094,0.0278578512
58206.5241319,16.5811939,0.0277387183
58207.4643056,16.6135292,0.027909549
58208.4723958,16.5531025,0.0275929272
58210.5141667,16.5595722,0.0276262909
58211.4883102,16.5819168,0.0277425013
58211.5108449,16.5888615,0.0277789328
58229.5043519,16.6495743,0.0281038787
58230.4926042,16.665554,0.0281913839
58231.442419,16.5419807,0.0275358595
58231.4873495,16.54986,0.0275762491
58234.4659722,16.5908337,0.0277893059
58235.4322801,16.597496,0.0278244354
58237.4035764,16.5239754,0.0274442583
58244.4476852,16.5027962,0.0273377188
58246.4701505,16.6030693,0.0278539285
58247.4924306,16.5649166,0.0276539475
58254.4355903,16.6167049,0.0279265027
58255.4280208,16.5267982,0.0274585541
58258.4740856,16.5983925,0.0278291702
58262.4429167,16.5051556,0.0273495205
58263.4467361,16.5386276,0.0275187325
58266.4680093,16.5802536,0.0277337991
58267.4705324,16.5204315,0.0274263415
58268.4646644,16.5391998,0.027521655
58269.4771181,16.5273781,0.027461499
58270.4765509,16.5397472,0.0275244471
58271.4673495,16.724247,0.0285201594
58272.4279745,16.5997944,0.0278365836
58273.4641782,16.5402946,0.0275272448
58274.4019097,16.5618973,0.0276383124
58275.4491551,16.5776978,0.0277204402
58276.4118634,16.5975761,0.0278248563
58277.4515509,16.6136951,0.02791043
58278.4061921,16.6415215,0.028060101
58279.4490046,16.5611877,0.0276346412
58280.428669,16.5532379,0.0275936238
58281.4027431,16.6283627,0.0279890131
58282.4025231,16.6108074,0.0278950371
58283.4292708,16.615015,0.0279174726
58286.4296181,16.5841446,0.0277541708
58287.4032292,16.6099873,0.027890671
58288.4352894,16.6106205,0.0278940462
58289.411331,16.6015682,0.0278459731
58290.4253819,16.55056,0.0275798477
58291.4245139,16.5253563,0.0274512488
58292.4262731,16.5646706,0.0276526716
58293.4576852,16.6227798,0.0279590227
58294.4534259,16.6467552,0.0280885287
58296.4596759,16.5245552,0.0274471939
58297.4484838,16.5126686,0.0273872204
58298.4776389,16.5206375,0.0274273809
58299.4535185,16.5543194,0.027599195
58300.4555903,16.6394424,0.0280488282
58301.3242245,16.6079102,0.0278796256
58302.4262384,16.4841862,0.0272451639
58302.475787,16.4720879,0.0382277891
58302.4762384,16.416069,0.0378276557
58303.4265856,16.5139008,0.0273934137
58304.4526042,16.5866318,0.0277672186
58305.4467477,16.6362534,0.0280315746
58307.3405093,16.6131401,0.0279074702
58310.3406944,16.5579033,0.0276176725
58311.3627894,16.6125412,0.0279042795
58312.3717593,16.6898384,0.0283259936
58313.3659028,16.6098518,0.0278899558
58314.387963,16.5255775,0.0274523683
58315.4071065,16.4827614,0.0272381175
58315.4364931,16.4723053,0.0382293537
58315.4369444,16.498764,0.0384215154
58316.4008796,16.5565968,0.0276109278
58317.3859606,16.6214714,0.0279520079
58318.4130903,16.643177,0.0280690826
58319.4035185,16.5739079,0.0277006719
58320.4461227,16.4834499,0.0272415187
58321.4027894,16.4483967,0.0270699002
58322.4302662,16.5362415,0.0275065619
58323.3736458,16.6071739,0.0392311253
58323.3740972,16.5834351,0.0390506759
58323.4575926,16.6386662,0.028044628
58324.3844907,16.5813255,0.039034728
