mjd,mag,magerr
58216.5127083,18.3719025,0.0344109572
58217.4916319,18.2406158,0.0322117805
58217.5144329,18.3013058,0.0331958681
58218.4938542,18.5421486,0.0376849137
58218.5182986,18.421524,0.0353130624
58242.4753704,18.3617153,0.0342307575
58244.4896065,18.1992321,0.031571053
58246.4459028,18.3101025,0.0333430506
58247.4503704,18.2344246,0.0321143866
58252.4883218,18.235363,0.0321291126
58254.4695023,18.2857246,0.0329380408
58255.4709606,18.3557529,0.0341260731
58256.4712037,18.3304367,0.0336878262
58257.4319097,18.3197079,0.0335051231
58257.4741319,18.3004723,0.033181984
58258.4518866,18.3606186,0.0342114531
58259.4483333,18.1553459,0.0309171751
58262.387581,18.2248611,0.0319650322
58263.4286806,18.4243317,0.0353653319
58266.3629167,18.3522778,0.0340653174
58268.4568056,18.2525101,0.0324003994
58269.4246644,18.3594666,0.0341912098
58270.4333681,18.3281727,0.0336491242
58271.4237384,18.222477,0.0305766407
58271.4242014,18.2646542,0.03130899
58271.4533796,18.2681885,0.032652162
58272.4729861,18.3869057,0.0346794166
58273.4229861,18.2290726,0.0320306495
58274.4710417,18.3045578,0.0332501419
58275.4072801,18.3505363,0.0340349413
58276.4547685,18.3469524,0.0339725688
58277.4027083,18.3494453,0.0340159386
58278.4502199,18.3123875,0.033381477
58280.3647454,18.318512,0.0334848724
58281.4534144,18.2950191,0.033091411
58282.4515046,18.3038788,0.0332388096
58283.3917245,18.3091393,0.0333268791
58285.4131019,18.314045,0.033409413
58287.4496759,18.3222561,0.0335483663
58288.4531713,18.2384739,0.0321780257
58289.4506713,18.4114704,0.0351269655
58290.3852662,18.2931519,0.0330604799
58291.4765741,18.3175468,0.0334685333
58292.4671181,18.3446789,0.0339331254
58293.4775926,18.3020096,0.033207614
58294.4668171,18.3922195,0.0347753726
58296.3503819,18.4494438,0.0348567031
58296.3508449,18.4489403,0.0348462462
58296.3675463,18.3724747,0.0344211273
58297.4165856,18.3370514,0.0338013582
58298.4254977,18.2618332,0.0325496867
58298.4378819,18.2442513,0.0309513137
58299.4109375,18.2227974,0.0319329724
58300.3987269,18.1928596,0.0314744934
58301.405,18.2897816,0.0330048203
58301.4059144,18.1867981,0.0299780034
58301.4091319,18.252737,0.0310993046
58302.3822454,18.6009865,0.0389410667
58303.3680324,18.3687019,0.0343541652
58304.3857176,18.3238697,0.0335757807
58305.3946875,18.3132133,0.033395391
58307.3917593,18.2605171,0.0325285383
58310.4072917,18.1780281,0.0312518924
58312.4053241,18.325798,0.0336086154
58313.3918171,18.36269,0.0342479311
58314.4259838,18.3480034,0.0339908451
58315.3616319,18.3772907,0.0345069505
58316.3475231,18.337883,0.0338156708
58318.3656829,18.3298931,0.0336785242
58320.3920949,18.3297672,0.0336763635
58322.4019676,18.4135723,0.0351657271
58323.4709838,18.3232994,0.0335660912
58324.4785185,18.3313675,0.033703763
58325.2762037,18.4358158,0.0355805494
58326.4156366,18.3286095,0.0336565785
58327.3429514,18.3139858,0.0334084071
58327.3751157,18.2556591,0.0311505087
58328.3740625,18.2387886,0.0308566503
58328.3745139,18.2580109,0.0311918259
58329.3665741,18.2923908,0.0330479071
58330.3615278,18.2467594,0.0323089473
58330.3949769,18.2139206,0.0304313526
58330.3954398,18.2459145,0.0309802499
58332.3310417,18.3630219,0.0342537723
58332.3632639,18.3458557,0.0327976234
58332.3637269,18.3155098,0.0322288647
58333.3248032,18.3846836,0.0346394256
58333.3534491,18.3169041,0.0322546735
58333.353912,18.3224068,0.0323568173
58334.3493171,18.3186264,0.0334868096
58334.4068634,18.2798195,0.0315790139
58334.4073148,18.2927036,0.0318112671
58335.36375,18.2320271,0.0307400879
58335.364213,18.2541924,0.0311247949
58336.3482639,18.328722,0.0336585157
58336.3628009,18.3147926,0.0322156176
58336.3632523,18.3100548,0.0321282148
58342.3439236,18.3752975,0.0344713852
58343.3421412,18.304409,0.0332476534
58344.4278819,18.3794479,0.0345455185
58345.3354167,18.3530312,0.0340784714
58345.3701157,18.298418,0.031915132
58347.4121065,18.3425159,0.0338956714
58349.3212384,18.3298073,0.0336770527
58350.37375,18.4185638,0.0352580771
58351.3631019,18.3276558,0.0336402915
58352.2896644,18.371582,0.0344052613
58352.3129282,18.3512917,0.0329011083
58353.2161921,18.3693962,0.0343664773
58353.3083796,18.2777901,0.0315426774
58353.3797222,18.3313847,0.0337040499
58354.2690856,18.3129272,0.0333905704
58354.3086111,18.3400822,0.0326882489
58354.3898958,18.3077087,0.0333028808
58355.2808565,18.3290367,0.0336638913
58355.3067708,18.3107681,0.0321413614
58355.4265278,18.3158798,0.0334403701
58356.2794792,18.2534561,0.032415498
58356.3109838,18.2734642,0.0314654149
58357.3148727,18.4078331,0.035060063
58358.2320139,18.3542805,0.034100309
58359.3015509,18.2590065,0.0325042941
58359.3452199,18.3066711,0.0332855061
58360.3024884,18.4350166,0.0355655067
58361.2398032,18.4846649,0.0365217887
58362.3239352,18.3562927,0.0341355316
58363.2651968,18.367775,0.0343377553
58364.3015856,18.3506756,0.0340373702
58365.2015972,18.3964882,0.0348528028
58366.3288542,18.3733749,0.0344371349
58367.3248727,18.328577,0.0336560234
58368.2873148,18.3329773,0.0337313451
58368.3259954,18.2602901,0.0312319454
58369.1924537,18.3291817,0.0336663574
58370.2827315,18.309166,0.0333273374
58371.3049537,18.3463936,0.0339628793
58372.309294,18.3531342,0.0340802632
58373.2834491,18.2644901,0.0325924642
58374.3245255,18.3412724,0.033874169
58375.1915972,18.3468323,0.0339704975
58376.2045139,18.4228516,0.0353377499
58377.1250347,18.3151321,0.0322218984
58377.2866088,18.2939262,0.0330733061
58378.2709375,18.2903614,0.0317688435
58378.2799306,18.2892418,0.0329959169
58379.2751157,18.335722,0.0337784961
58379.2893866,18.3118687,0.0321616381
58382.1659838,18.3434696,0.0339121781
58383.3101968,18.6154518,0.0392604955
58384.1853241,18.3549728,0.0341124088
58385.2262963,18.3203335,0.0335157365
