mjd,mag,magerr
58205.4742477,14.1269979,0.0161433797
58206.4825463,14.135828,0.0161469616
58206.5241319,14.1508417,0.0161531232
58207.4643056,14.1291838,0.0161442608
58208.4723958,14.0896463,0.01612854
58209.5051273,14.1519775,0.0161535926
58210.5141667,14.1225834,0.0161415972
58211.4883102,14.0927858,0.0161297657
58211.5108449,14.1109133,0.0161369257
58229.5043519,14.1282482,0.0161438826
58230.4926042,14.1584749,0.0161562897
58231.442419,14.1469603,0.0161515232
58231.4873495,14.157403,0.0161558427
58234.4659722,14.1332417,0.0161459073
58235.4322801,14.1141338,0.016138209
58237.4035764,14.1281452,0.0161438417
58244.4476852,14.1290264,0.0161441993
58246.4701505,14.124177,0.0161422379
58247.4924306,14.1121197,0.0161374062
58254.4355903,14.1075096,0.0161355715
58255.4280208,14.0953407,0.0161307696
58258.4740856,14.1062298,0.0161350649
58262.4429167,14.1303797,0.0161447469
58263.4467361,14.1194353,0.0161403306
58266.4680093,14.1185074,0.0161399599
58267.4705324,14.1165037,0.0161391553
58268.4646644,14.1151628,0.0161386207
58269.4771181,14.1030531,0.0161338057
58270.4765509,14.0928078,0.016129775
58271.4673495,14.0763311,0.0161233768
58272.4279745,14.1398678,0.01614861
58273.4641782,14.1266689,0.0161432456
58274.4019097,14.1405687,0.0161488969
58275.4491551,14.1382933,0.0161479674
58276.4118634,14.1240749,0.016142197
58277.4515509,14.1003332,0.0161327347
58278.4061921,14.137393,0.0161475986
58279.4490046,14.1183834,0.0161399096
58280.428669,14.0997849,0.0161325186
58281.4027431,14.1007318,0.0161328893
58282.4025231,14.1315432,0.0161452182
58283.4292708,14.1048746,0.0161345266
58286.4296181,14.1167135,0.0161392409
58287.4032292,14.1201382,0.0161406137
58288.4352894,14.1013689,0.0161331408
58289.411331,14.1230087,0.0161417685
58290.4253819,14.1347914,0.0161465406
58291.4245139,14.0963087,0.0161311496
58292.4262731,14.1136847,0.0161380284
58293.4576852,14.1193972,0.0161403175
58294.4534259,14.0999985,0.0161326025
58296.4596759,14.1350956,0.0161466617
58297.4484838,14.0882826,0.0161280092
58298.4776389,14.0997171,0.0161324907
58299.4535185,14.0993319,0.016132338
58300.4555903,14.1418238,0.0161494128
58301.3242245,14.1386547,0.0161481146
58302.4262384,14.0983057,0.0161319356
58302.475787,14.0739622,0.0200012326
58302.4762384,14.0704412,0.0199973471
58303.4265856,14.1148634,0.0161385015
58304.4526042,14.1299429,0.01614457
58305.4467477,14.130084,0.0161446277
58307.3405093,14.1119471,0.0161373373
58310.3406944,14.0952129,0.0161307193
