mjd,mag,magerr
58218.4943056,17.9082565,0.0285324473
58218.51875,17.8474255,0.0277160965
58229.4540162,17.7910423,0.0269987807
58242.4749074,17.9060097,0.0285014808
58244.4900694,17.5650864,0.0244686436
58246.4454398,17.7785606,0.0268449225
58247.4508333,17.6591949,0.025459012
58249.4324769,17.6717644,0.025597902
58249.4813542,17.6131115,0.0249633044
58254.4685648,18.0287838,0.030289216
58255.4700231,17.7628727,0.0266540106
58256.4329977,17.832058,0.027516922
58256.4665278,17.8049164,0.0271718875
58257.4328704,18.0276642,0.0302720014
58257.473669,18.0630493,0.0308245998
58258.445162,18.0146008,0.0300724171
58259.4473958,17.9601612,0.029265549
58262.3871181,17.9189835,0.0286811348
58263.4262384,17.8046989,0.0271691494
58266.3633796,18.167923,0.032569591
58267.3815972,18.2257633,0.033604499
58268.4563426,17.8641167,0.0279356018
58269.4242014,18.0773144,0.0310524143
58270.4343171,17.8730774,0.0280548353
58271.4237384,17.8183289,0.0266035851
58271.4242014,17.7899227,0.0262496863
58271.4543171,17.8032913,0.0271514859
58272.4573495,17.7983665,0.0270898864
58273.4220486,17.9374352,0.0289403107
58274.4714931,17.9662819,0.0293543041
58275.4054051,17.9366474,0.0289291702
58276.4538194,17.8490791,0.0277376939
58277.4002662,17.8809834,0.028160844
58278.4469907,17.8658485,0.0279585738
58279.4076505,17.9955177,0.0297850557
58280.3638079,17.9291153,0.02882291
58281.4505787,17.9701691,0.0294109248
58282.4529514,17.8345222,0.0275486726
58283.3907755,17.7370605,0.0263457913
58285.4121644,17.7819691,0.0268867631
58287.4492245,17.6266003,0.0251062233
58288.4536343,17.7300301,0.0262630899
58289.4511343,17.7612381,0.0266342778
58290.3843171,17.7047424,0.0259700306
58291.4775926,17.7636261,0.0266631171
58292.4666551,17.9127522,0.0285945833
58293.4790278,17.7465401,0.0264581386
58294.4663657,17.623867,0.0250771176
58296.336713,17.6048546,0.0248766951
58296.3503819,17.594799,0.024059847
58296.3508449,17.5637512,0.0237475056
58298.4259491,17.8522129,0.0277787186
58298.4378819,17.8576431,0.0271092188
58299.4114005,17.6877251,0.0257765874
58300.3982639,17.7358017,0.0263309442
58301.4054514,17.7681179,0.0267175362
58301.4059144,17.6495514,0.0246338528
58301.4091319,17.6869354,0.0250433758
58303.3689931,17.7644424,0.0266729929
58304.3852662,17.7757454,0.0268104542
58305.4089236,17.7525978,0.0265304521
58307.3922106,17.7143631,0.026080722
58312.405787,17.7736092,0.026784366
58313.3922685,17.7819214,0.0268861763
58314.4250347,17.8758297,0.028091656
58315.3611806,17.7987747,0.0270949937
58316.3479861,17.9393272,0.0289671477
58318.3652315,17.863369,0.0279256999
58319.3541435,17.7509499,0.0265107322
58320.3959491,17.7688255,0.0267261229
58322.4004398,17.7148323,0.0260861535
58323.4686574,17.6875687,0.0257748272
58324.4794676,17.660471,0.0254730321
58325.2752662,17.7446308,0.0264354255
58326.3798958,17.7190666,0.0261352044
58327.3600926,17.7647266,0.0266764276
58327.3751157,17.7445126,0.0257032681
58328.337662,17.7798119,0.0268602595
58328.3740625,17.7267685,0.0254960451
58328.3745139,17.7196178,0.0254135206
58329.3675926,17.8653736,0.027952278
58330.3619907,17.8036785,0.0271563474
58330.3949769,17.8143616,0.0265535899
58330.3954398,17.841383,0.0268978253
58332.3315046,17.7831841,0.0269017071
58332.3632639,17.7594986,0.0258810073
58332.3637269,17.7126045,0.0253331251
58333.3243519,17.7440319,0.0264283177
58333.3534491,17.6783791,0.0249483455
58333.353912,17.7168884,0.025382163
58334.3497801,18.203558,0.0332008339
58334.4068634,18.2083645,0.0325377956
58334.4073148,18.1821556,0.0320690423
58335.36375,18.021534,0.0294287708
58335.364213,18.0435791,0.0297685061
58336.3487269,18.0728874,0.0309813973
58336.3628009,18.0500031,0.0298688207
58336.3632523,18.0119324,0.0292829294
58340.3107292,17.9008102,0.0284300651
58342.3299421,17.9406147,0.028985424
58343.3416898,17.9642925,0.0293254033
58344.3094097,17.9431343,0.0290212464
58345.3272917,17.929718,0.0288313925
58345.3701157,17.8813057,0.0274226572
58347.4134954,18.0789642,0.0310789496
58349.3192824,18.1890182,0.0329408497
58350.3666898,18.2748508,0.0345256627
58351.3617245,18.241724,0.0338995904
58352.2684028,18.0307751,0.0303198881
58352.3129282,17.9871674,0.0289127193
58353.2152546,18.3284492,0.0355785154
58353.3083796,18.2756538,0.03379355
58353.3806597,18.2255058,0.0335997678
58354.2695486,18.1360703,0.032022126
58354.3086111,18.0768814,0.0302950051
58354.3903472,18.1363525,0.0320268907
58355.2804051,18.2088432,0.0332961939
58355.3067708,18.2032204,0.0324449092
58356.1953819,18.1351624,0.0320067406
58356.2780093,18.1545429,0.0323377177
58356.3109838,18.1590118,0.0316642746
58357.2035532,17.992466,0.0297395587
58357.3037616,17.985939,0.0296426564
58358.2315509,18.0719719,0.0309667457
58359.295706,18.0678444,0.0309008583
58359.3421644,18.1100121,0.0315857232
58360.2765741,18.0207424,0.0301659629
58361.2918403,18.0831375,0.0311462358
58362.1829514,18.2249622,0.0335897915
58363.2641782,18.3444576,0.0359028019
58364.2986574,17.9812431,0.0295733046
58365.2025579,17.9891739,0.0296906102
58366.323125,17.9436245,0.0290282238
58367.3244097,17.9872818,0.0296625532
58368.2801852,17.843605,0.0276663154
58368.3259954,17.78899,0.0262382347
58369.1919907,17.9325676,0.0288715176
58370.2773032,18.123642,0.0318127088
58371.2991667,18.2425117,0.0339142643
58372.3035648,18.4659424,0.0385190547
58373.2785532,18.2156963,0.0334205031
58374.3240741,18.0664406,0.0308784936
58375.1911343,18.3627853,0.0362797529
58376.2049653,18.3277931,0.0355653092
58377.1250347,18.1507835,0.0315224268
58377.278669,18.1079254,0.0315512232
58378.2709375,18.5143433,0.0389114618
58378.2778704,18.4733715,0.0386883095
58379.2746528,18.24786,0.034014184
58379.2893866,18.2361832,0.033047691
58383.3106481,17.9047527,0.0284841768
58384.185787,17.7792854,0.0268538129
58385.2267593,17.9282913,0.0288113318
58386.253912,18.0834713,0.0311516281
58386.2687847,18.0127487,0.0292952806
58387.1662963,18.1053276,0.0315083601
58388.2255208,18.2422924,0.0339101814
58389.240625,18.1181622,0.0317211151
58389.2879282,18.0417824,0.0297405608
58400.1839815,18.3692474,0.0364141352
58423.1292824,18.1260452,0.0318530239
58425.1102083,18.3788853,0.0366159789
58428.1076042,18.7209435,0.0450044163
58429.0831366,18.3460007,0.0351903662
58429.1342361,18.366518,0.0363572687
58430.1765394,18.4495392,0.0381492376
58431.1453472,18.2927971,0.0348726325
58433.0831134,18.3267937,0.0348001868
58433.1079745,18.366703,0.0363611169
58436.1008449,18.3472862,0.0359605625
58437.2612963,18.2298527,0.0336797014
58443.0756713,18.3386211,0.0350396708
58456.1387731,18.288763,0.0347941592
58457.1625579,18.35499,0.0361186787
58472.0974769,19.1654358,0.0603056885
58474.1431481,18.8386917,0.0485164002
58475.1346181,18.8775368,0.049754601
58482.1018403,18.3205948,0.0354210697
58582.4444792,18.0545006,0.0306894779
58588.4097106,17.9357719,0.0289167706
58591.4753125,17.9480591,0.0290915165
58593.3904977,18.0580959,0.0299960393
58593.4282755,18.0976696,0.0313825756
58597.4504167,18.0810585,0.0311126783
58605.4490162,18.397234,0.0370050371
58607.4885764,18.2827396,0.0346775055
58608.4862384,18.0261822,0.0302492455
58616.4267014,18.2573738,0.0341930538
58617.4890509,18.2172012,0.0334478952
58627.4036458,18.2192421,0.0334851108
58632.4711111,18.0605583,0.0307851303
58632.4842361,17.9772148,0.0287663061
58633.4290162,17.993412,0.0297536366
58634.424213,17.846981,0.0277102944
58635.4103935,17.9747353,0.0294776801
58636.4337731,17.8626595,0.0279163141
58637.4245833,17.8974686,0.0283843521
58638.4707407,17.8135757,0.0272810422
58639.4108681,17.7881927,0.0269635059
58640.4751852,17.8827534,0.028184684
58641.4710995,17.9454174,0.029053783
58642.446331,17.9492302,0.0291082859
58643.4647685,18.0989685,0.0314038396
58644.4703009,17.901392,0.0284380391
58646.4754977,18.0918388,0.031287387
58647.3174306,18.1211624,0.0317712128
58649.2992014,18.1557903,0.0323592089
58650.3406134,18.2349567,0.0337739661
58651.4283449,18.2338219,0.0337529741
58652.4238542,18.1868248,0.0329019204
58653.4332523,18.0416698,0.0297388192
58653.4337037,18.0205956,0.029414447
58653.4553819,18.0729771,0.0309828296
58654.4077199,17.9641113,0.0285755917
58654.4081713,17.9867935,0.0289071891
58654.4327199,17.993515,0.0297551826
58655.3645949,17.848259,0.0269868262
58655.3650463,17.8443069,0.0269356053
58657.4239815,18.4415894,0.0379719324
58663.4300231,17.9091988,0.028545443
58665.4311227,18.1049767,0.0315025635
58666.3472222,18.3464088,0.0359426253
58667.3045949,17.9915123,0.0297253672
58668.3433796,18.0731812,0.030986093
58669.4162269,18.2475243,0.0340078883
58670.3916435,18.1308346,0.0319336243
58677.3085532,18.1815319,0.0328082964
58680.3230671,18.054615,0.0306912828
58684.4531944,17.8958817,0.0283626951
58688.3784259,18.043129,0.0305113494
58691.3661806,18.0972118,0.0313750803
