mjd,mag,magerr
58218.4943056,17.9609509,0.0292769801
58218.51875,17.8841095,0.0282029808
58229.4540162,18.2858982,0.0347385816
58242.4749074,18.0414124,0.0304846149
58244.4900694,18.0631142,0.0308256391
58246.4454398,18.051899,0.0306485742
58247.4508333,18.0233116,0.0302052442
58249.4324769,18.1678524,0.032568343
58249.4813542,18.1500587,0.0322606191
58254.4685648,18.1071472,0.031538371
58255.4700231,17.9117146,0.0285802092
58256.4329977,18.0588837,0.0307586342
58256.4665278,18.0675888,0.0308967736
58257.4328704,18.1994305,0.0331266895
58257.473669,18.2307434,0.033696115
58258.445162,17.915844,0.0286374595
58259.4473958,18.0230618,0.0302014127
58262.3871181,18.0808182,0.0311088134
58263.4262384,17.9554348,0.0291973688
58266.3633796,18.0899734,0.0312570296
58267.3815972,18.1008072,0.031434007
58268.4563426,18.1126442,0.0316293389
58269.4242014,18.1090717,0.0315701813
58270.4343171,18.0438042,0.0305218659
58271.4543171,18.0487461,0.0305991117
58272.4573495,17.9937782,0.0297590923
58273.4220486,18.1728477,0.0326556377
58274.4714931,18.1227055,0.0317970179
58275.4054051,17.943264,0.029023096
58276.4538194,18.0425816,0.0305028241
58277.4002662,18.1872406,0.0329092778
58278.4469907,18.0640984,0.0308412518
58279.4076505,18.0110302,0.0300182588
58280.3638079,18.0663872,0.0308776405
58281.4505787,18.1129837,0.031634979
58282.4529514,18.1302681,0.0319240615
58283.3907755,17.9721642,0.0294400509
58285.4121644,18.2106285,0.0333285108
58287.4492245,18.0102024,0.0300057381
58288.4536343,18.0694466,0.0309264101
58289.4511343,18.1094131,0.0315758213
58290.3843171,18.1178703,0.0317162499
58291.4775926,18.0529842,0.0306656212
58292.4666551,17.9854164,0.0296349302
58293.4790278,18.0687695,0.0309156049
58294.4663657,18.1646538,0.0325126648
58296.336713,17.9644794,0.0293281209
58298.4259491,18.0332146,0.0303575192
58299.4114005,17.9460983,0.0290635154
58300.3982639,17.905386,0.0284929015
58301.4054514,18.10639,0.0315258764
58303.3689931,17.9688683,0.0293919444
58304.3852662,17.9532166,0.0291654598
58305.4089236,18.1874027,0.0329121575
58307.3922106,18.0501728,0.0306214783
58312.405787,17.9668617,0.0293627307
58313.3922685,18.0809746,0.0311113279
58314.4250347,18.2137413,0.0333849639
58315.3611806,18.0246754,0.0302261338
58316.3479861,18.057272,0.0307331756
58318.3652315,18.1897049,0.0329530574
58319.3541435,18.1141338,0.0316540785
58320.3959491,18.0142117,0.0300664995
58322.4004398,18.2707195,0.0344465896
58323.4686574,18.0475101,0.0305797607
58324.4794676,17.97715,0.0295131058
58325.2752662,18.0719299,0.0309660789
58326.3798958,18.2001152,0.0331389606
58327.3600926,18.0870247,0.0312091485
58328.337662,18.0642834,0.0308441855
58329.3675926,18.0107346,0.0300137829
58330.3619907,18.1716595,0.032634832
58332.3315046,17.9856453,0.0296383183
58333.3243519,18.0642471,0.0308436193
58334.3497801,18.1449909,0.0321738757
58336.3487269,18.0643654,0.0308454931
58340.3107292,17.9685783,0.0293877218
58342.3299421,18.2685432,0.0344050303
58343.3416898,18.0982628,0.0313922763
58344.3094097,18.0246563,0.0302258432
58345.3272917,18.0453129,0.0305454172
58347.4134954,18.0778542,0.0310610756
58349.3192824,17.9638386,0.0293188132
58350.3666898,18.1226044,0.0317953415
58351.3617245,18.0854664,0.0311839059
58352.2684028,18.0557404,0.0307090133
58353.2152546,18.037899,0.0304300375
58353.3806597,18.0087547,0.0299838576
58354.2695486,18.1118317,0.0316158757
58354.3903472,18.0980797,0.0313892849
58355.2804051,18.1505795,0.0322695598
58356.1953819,18.14571,0.0321861543
58356.2780093,18.0173054,0.030113535
58357.2035532,18.014904,0.0300770178
58357.3037616,17.8966084,0.0283726007
58358.2315509,18.1624374,0.0324741825
58359.295706,18.2001953,0.0331404209
58359.3421644,18.2153397,0.0334140174
58360.2765741,17.7476845,0.0264717676
58361.2918403,17.9028816,0.0284584798
58362.1829514,18.1404305,0.0320961326
58363.2641782,18.1042328,0.031490311
58364.2986574,18.1075611,0.0315451995
58365.2025579,18.08745,0.0312160533
58366.323125,18.0699291,0.0309340972
58367.3244097,18.2693386,0.0344202034
58368.2801852,18.1127472,0.0316310599
58369.1919907,17.9799919,0.0295548867
58370.2773032,18.1212578,0.0317728072
58371.2991667,18.1640835,0.032502763
58372.3035648,18.0270653,0.0302628092
58373.2785532,18.0444641,0.0305321682
58374.3240741,18.0730438,0.0309838951
58375.1911343,18.1435051,0.032148499
58376.2049653,18.1025314,0.0314623229
58377.278669,17.9486237,0.0290996004
58378.2778704,18.1251945,0.0318387337
58379.2746528,18.3062382,0.0351361297
58383.3106481,18.1714363,0.0326309316
58384.185787,18.0864296,0.0311995093
58385.2267593,18.0545712,0.0306905881
58386.253912,18.0251656,0.0302336477
58387.1662963,18.250164,0.0340573527
58388.2255208,18.0188255,0.0301367082
58389.240625,18.0338211,0.0303668939
58400.1839815,18.066349,0.0308770314
58423.1292824,17.9866524,0.0296532288
58425.1102083,18.0919838,0.0312897339
58428.1076042,18.1243515,0.0318246
58429.1342361,18.1196289,0.0317456014
58430.1765394,18.1077404,0.0315481722
58431.1453472,18.1496277,0.032253217
58433.1079745,18.0467472,0.0305678267
58436.1008449,18.3538361,0.03609493
58437.2612963,18.0628071,0.0308207609
58456.1387731,18.1495171,0.0322513357
58457.1625579,18.2188931,0.0334787332
58472.0974769,18.0561028,0.0307147261
58474.1431481,17.9913025,0.0297222454
58475.1346181,18.0421066,0.0304954164
58482.1018403,18.0265465,0.0302548259
58582.4444792,18.1492348,0.0322464928
58588.4097106,17.9745121,0.0294744149
58591.4753125,18.1049728,0.0315025039
58593.4282755,18.0118217,0.0300302468
58597.4504167,18.0973701,0.0313776769
58605.4490162,18.1070061,0.0315360464
58607.4885764,18.0598373,0.030773716
58608.4862384,18.0499344,0.0306177381
58616.4267014,17.9763641,0.0295015536
58617.4890509,17.8613358,0.0278988089
58627.4036458,18.0971184,0.0313735455
58632.4711111,17.9874649,0.0296652559
58633.4290162,18.0541611,0.0306841321
58634.424213,18.1405392,0.0320979767
