mjd,mag,magerr
58218.4943056,17.3171692,0.0222376119
58218.51875,17.2712212,0.0218778197
58229.4540162,17.4020691,0.0229444671
58242.4749074,17.3054733,0.0221445467
58244.4900694,17.2889175,0.0220145509
58246.4454398,17.3011627,0.0221105069
58247.4508333,17.2914619,0.0220344067
58249.4324769,17.3056984,0.0221463293
58249.4813542,17.3045006,0.0221368521
58254.4685648,17.2914143,0.0220340341
58255.4700231,17.2897034,0.0220206846
58256.4329977,17.3246918,0.0222979989
58256.4665278,17.2858448,0.0219906513
58257.4328704,17.2660789,0.0218385067
58257.473669,17.2718048,0.0218822863
58258.445162,17.2517281,0.021729799
58259.4473958,17.2734375,0.02189482
58262.3871181,17.2720184,0.0218839236
58263.4262384,17.2189636,0.0214870237
58266.3633796,17.3234711,0.0222881697
58267.3815972,17.3375492,0.0224022157
58268.4563426,17.3088722,0.0221714936
58269.4242014,17.29282,0.0220450144
58270.4343171,17.2424545,0.0216603205
58271.4543171,17.2744617,0.021902686
58272.4573495,17.2642956,0.0218249168
58273.4220486,17.2434273,0.0216675792
58274.4714931,17.2499275,0.0217162576
58275.4054051,17.274128,0.0219001211
58276.4538194,17.2744465,0.0219025686
58277.4002662,17.2746887,0.0219044257
58278.4469907,17.287426,0.022002941
58279.4076505,17.3101711,0.0221818052
58280.3638079,17.2726822,0.021889016
58281.4505787,17.251667,0.0217293333
58282.4529514,17.2325363,0.0215866845
58283.3907755,17.2953873,0.0220651198
58285.4121644,17.2446404,0.0216766428
58287.4492245,17.2442245,0.0216735341
58288.4536343,17.2746811,0.0219043735
58289.4511343,17.207531,0.0214040522
58290.3843171,17.2404251,0.0216451995
58291.4775926,17.2493687,0.021712061
58292.4666551,17.2334156,0.021593187
58293.4790278,17.1974869,0.0213319026
58294.4663657,17.2532997,0.0217416305
58296.336713,17.2423153,0.0216592867
58298.4259491,17.2260151,0.0215386432
58299.4114005,17.24403,0.0216720831
58300.3982639,17.292469,0.0220422745
58301.4054514,17.2995796,0.0220980383
58303.3689931,17.2730789,0.0218920633
58304.3852662,17.303524,0.0221291389
58305.4089236,17.3219223,0.0222757198
58307.3922106,17.2837753,0.0219745897
58312.405787,17.2770996,0.0219229888
58313.3922685,17.3353195,0.0223840475
58314.4250347,17.3365479,0.0223940536
58315.3611806,17.3482933,0.0224902555
58316.3479861,17.2904053,0.0220261496
58318.3652315,17.2597809,0.0217906181
58319.3541435,17.2305069,0.0215717033
58320.3959491,17.3157253,0.0222260617
58322.4004398,17.28022,0.0219470635
58323.4686574,17.2479725,0.0217015874
58324.4794676,17.2302399,0.0215697363
58325.2752662,17.220993,0.0215018447
58326.3798958,17.2318382,0.0215815324
58327.3600926,17.2848549,0.0219829567
58328.337662,17.303051,0.0221254025
58329.3675926,17.3206539,0.022265533
58330.3619907,17.2939415,0.0220537931
58332.3315046,17.3015194,0.0221133251
58333.3243519,17.2685471,0.0218573473
58334.3497801,17.2485352,0.0217058081
58336.3487269,17.2737617,0.0218973085
58340.3107292,17.2717419,0.021881802
58342.3299421,17.2594452,0.02178807
58343.3416898,17.2765503,0.0219187569
58344.3094097,17.2576866,0.0217747558
58345.3272917,17.2851067,0.0219849218
58347.4134954,17.2733154,0.0218938757
58349.3192824,17.2384033,0.0216301605
58350.3666898,17.2713509,0.0218788069
58351.3617245,17.2361546,0.0216134731
58352.2684028,17.2141171,0.0214517415
58353.2152546,17.2668381,0.0218442995
58353.3806597,17.2451992,0.0216808226
58354.2695486,17.2862625,0.0219938923
58354.3903472,17.2952347,0.0220639221
58355.2804051,17.3025265,0.0221212599
58356.1953819,17.2930946,0.0220471602
58356.2780093,17.3015213,0.0221133344
58357.2035532,17.3225327,0.022280626
58357.3037616,17.2242126,0.0215254165
58358.2315509,17.2899456,0.0220225696
58359.295706,17.2880898,0.0220081061
58359.3421644,17.2936382,0.0220514126
58360.2765741,17.2997131,0.0220990889
58361.2918403,17.3044109,0.0221361462
58362.1829514,17.267746,0.0218512248
58363.2641782,17.3040199,0.0221330579
58364.2986574,17.3074303,0.0221600495
58365.2025579,17.2995586,0.0220978782
58366.323125,17.2839584,0.0219760034
58367.3244097,17.212101,0.0214371141
58368.2801852,17.2776756,0.0219274275
58369.1919907,17.1837921,0.0212346073
58370.2773032,17.2906647,0.0220281798
58371.2991667,17.2791519,0.021938812
58372.3035648,17.3142719,0.0222144574
58373.2785532,17.312973,0.0222041085
58374.3240741,17.3384533,0.0224095844
58375.1911343,17.3252907,0.0223028231
58376.2049653,17.3392925,0.022416437
58377.278669,17.2904282,0.0220263358
58378.2778704,17.2873917,0.0220026728
58379.2746528,17.3066864,0.0221541561
58383.3106481,17.3519859,0.0225207247
58384.185787,17.2776165,0.0219269674
58385.2267593,17.326725,0.0223144013
58386.253912,17.3660736,0.022637926
58387.1662963,17.3189316,0.0222517177
58388.2255208,17.3160973,0.0222290307
58389.240625,17.4117298,0.0230285041
58400.1839815,17.3068428,0.0221553911
58423.1292824,17.3776741,0.0227355957
58425.1102083,17.5064545,0.0238937438
58428.1076042,17.3981056,0.0229102038
58429.1342361,17.3704491,0.0226746369
58430.1765394,17.3930225,0.0228664521
58431.1453472,17.3490334,0.0224963557
58433.1079745,17.3632736,0.022614507
58436.1008449,17.3803101,0.0227579344
58437.2612963,17.4155121,0.0230616126
58456.1387731,17.3607254,0.0225932468
58457.1625579,17.3754635,0.0227168947
58472.0974769,17.3236294,0.0222894475
58474.1431481,17.331028,0.0223491974
58475.1346181,17.3078518,0.0221633948
58482.1018403,17.3018837,0.0221161917
58582.4444792,17.3621063,0.0226047654
58588.4097106,17.2978554,0.0220844857
58591.4753125,17.309761,0.0221785456
58593.4282755,17.3155785,0.0222248882
58597.4504167,17.294136,0.0220553149
58605.4490162,17.2822266,0.0219625924
58607.4885764,17.3156548,0.0222254992
58608.4862384,17.2836609,0.0219737031
58616.4267014,17.2970352,0.0220780428
58617.4890509,17.2820663,0.0219613463
58627.4036458,17.2709198,0.02187551
58632.4711111,17.2796707,0.021942826
58633.4290162,17.2706184,0.0218731984
58634.424213,17.2482452,0.0217036344
58635.4103935,17.2982178,0.0220873319
58636.4337731,17.2610168,0.0217999965
58637.4245833,17.2579842,0.0217770096
58638.4707407,17.261776,0.0218057539
58639.4108681,17.2547607,0.0217526518
58640.4751852,17.2296715,0.0215655435
58641.4710995,17.2311058,0.0215761196
58642.446331,17.3129883,0.0222042203
58643.4647685,17.3227425,0.0222823117
58644.4703009,17.2830505,0.0219689719
58646.4754977,17.3339348,0.0223727915
58647.3174306,17.3060684,0.0221492648
58649.2992014,17.326643,0.0223137364
58650.3406134,17.3188591,0.0222511347
58651.4283449,17.2523842,0.021734735
58652.4238542,17.2509422,0.0217238832
58653.4553819,17.3162594,0.0222303271
58654.4327199,17.2523499,0.0217344724
58657.4239815,17.242321,0.0216593239
58663.4300231,17.2493439,0.0217118803
58665.4311227,17.255434,0.0217577275
58666.3472222,17.2649612,0.0218299814
58667.3045949,17.2765999,0.0219191406
58668.3433796,17.2576942,0.0217748098
58669.4162269,17.2162151,0.0214669947
58670.3916435,17.2406731,0.0216470454
58677.3085532,17.2064323,0.0213961322
58680.3230671,17.2930717,0.0220469832
58684.4531944,17.3008137,0.0221077651
58688.3784259,17.2446365,0.0216766167
58691.3661806,17.5785484,0.0246050935
58694.3481829,17.3825741,0.0227771625
58697.392963,17.3253746,0.0223035049
58700.3925,17.3281403,0.0223258305
58703.4084144,17.305584,0.022145424
58706.39625,17.2544365,0.0217502043
58710.1747338,17.2658348,0.0218366422
58711.1745139,17.3372784,0.0223999992
58714.1746759,17.315033,0.0222205389
58715.2587269,17.3102741,0.0221826285
58716.2798032,17.2488365,0.0217080675
58717.2586458,17.2814827,0.0219568331
58718.2803125,17.2385902,0.0216315538
58719.2593056,17.3082085,0.0221662242
58720.2800694,17.3065739,0.0221532676
58721.2592245,17.3890457,0.0228323657
58722.2591088,17.523016,0.0240529757
58723.2836458,17.5131302,0.0239576381
58724.2837153,17.4330521,0.0232166741
58725.2575926,17.3936577,0.0228719097
58726.2590509,17.4121361,0.0230320562
58727.2839005,17.3679428,0.0226535946
58730.2593171,17.3252449,0.0223024562
58732.2579861,17.3416061,0.0224353541
58733.2575926,17.3646889,0.0226263329
58734.2593171,17.3806953,0.0227612015
58735.2580093,17.3484344,0.0224914234
58736.2678009,17.3113995,0.0221915785
58737.2824306,17.299633,0.0220984612
58744.365706,17.3330097,0.0223652795
58750.2646065,17.3442154,0.022456741
58754.1434028,17.4362144,0.0232449044
58757.2891435,17.2767525,0.0219203178
58760.2788542,17.3069496,0.0221562423
58763.2541898,17.3145809,0.0222169235
58766.1228472,17.2539711,0.0217466895
58769.1128125,17.2624969,0.021811232
58775.2043634,17.212944,0.0214432254
58779.092963,17.2245598,0.0215279609
