mjd,mag,magerr
58230.4926042,19.8992195,0.0898939595
58231.442419,19.8051548,0.0845529512
58231.4873495,19.752161,0.0816848278
58234.4659722,19.631712,0.0755358711
58242.4512269,19.909708,0.0905095115
58242.4938889,19.7356491,0.0808116943
58242.4943519,19.8562508,0.0874143392
58247.4924306,19.9151726,0.0908317938
58254.4355903,19.9886703,0.0952724144
58255.4280208,19.8126526,0.0849669278
58258.4740856,19.9474373,0.0927568376
58262.4429167,19.8793106,0.0887367353
58263.4467361,19.8826942,0.0889323652
58268.4646644,19.4866352,0.0687886998
58269.4771181,19.4399872,0.0667658746
58270.4765509,19.7182388,0.079901509
58272.4279745,19.7025585,0.0790909305
58273.4641782,19.7516575,0.0816580206
58274.4019097,19.7809334,0.0832295492
58276.4118634,19.9479027,0.0927849114
58277.4515509,19.9426804,0.0924706459
58278.4061921,20.0012856,0.0960544199
58279.4490046,20.0448723,0.0988010317
58280.428669,19.9205265,0.0911485851
58281.4027431,19.7689629,0.0825832486
58282.4025231,19.7922211,0.0838436782
58283.4292708,19.8679848,0.0880848095
58286.4296181,19.9148598,0.0908132717
58287.4032292,19.9468708,0.0927227139
58288.4352894,19.7575378,0.0819712207
58294.4534259,19.9841976,0.0949965343
58297.4484838,19.7014751,0.0790352374
58298.4776389,19.4298763,0.0663365945
58299.4535185,19.4903984,0.0689548925
58300.4555903,19.6588573,0.0768774003
58305.4467477,19.710413,0.0794958696
58307.3405093,19.6840553,0.0781456009
58310.3406944,19.741703,0.081130676
58312.3717593,19.9346142,0.0919872299
58316.4008796,19.8264523,0.0857341215
58323.4575926,19.7982578,0.0841740072
58324.4197917,19.8223419,0.0855048895
58337.3693171,19.7392082,0.0809990391
58338.3648032,19.8324051,0.0860671625
58343.3896296,19.9704018,0.094150193
58344.3466782,19.8600807,0.0876325667
58346.3214236,19.85849,0.0875418708
58433.1413657,19.8181038,0.0852691829
58434.1370255,20.015049,0.0969142765
58206.5220949,19.8239479,0.0967710093
58208.5127083,19.1354866,0.0663245022
58209.5046759,19.8946304,0.100948647
58210.5165278,19.6515236,0.0875023901
58228.4905208,19.8010387,0.0954657122
58231.4428819,19.6588173,0.0878693163
58231.4882986,19.5780716,0.0839236453
58232.5059491,19.6044655,0.085185498
58234.4664352,19.6039162,0.085158959
58236.4288079,19.5543079,0.0828101933
58237.3926273,19.3535194,0.0742069036
58242.4516782,20.1134071,0.115418799
58244.4481481,19.5767708,0.0838621482
58246.4710995,19.7854843,0.0945927724
58247.4914815,19.7918091,0.0949464664
58252.4708565,19.7707558,0.0937759727
58255.4345486,19.7076797,0.0903833508
58258.4731481,19.7409973,0.0921543092
58262.4438542,19.6477394,0.0873128623
58268.4714468,19.6861839,0.0892653391
58269.446713,19.7044067,0.090211913
58272.4050579,19.6664715,0.0882567242
58273.4631944,19.9045029,0.101550609
58274.4028472,19.758955,0.0931283534
58275.4486921,19.7665195,0.0935428366
58276.411412,19.8121948,0.0960984528
58277.4530093,19.7942448,0.0950831249
58278.4071296,19.856411,0.0986611396
58279.4508796,19.8624916,0.0990205631
58280.4296181,19.8192139,0.0964993685
58281.4036806,19.6645393,0.0881587118
58282.4034606,19.7089653,0.0904508531
58283.4302083,19.8909016,0.100722462
58285.4292245,19.9331474,0.103323571
58286.4277199,19.9772415,0.106130466
58287.4041667,19.876564,0.0998588875
58288.4087963,19.8872147,0.100499459
58289.4098727,19.8705349,0.0994985774
58290.4258333,19.6971283,0.0898321941
58291.4249653,19.6617794,0.0880189762
58292.4267245,19.6931381,0.0896249712
58293.4572222,19.872961,0.0996433347
58294.4538889,19.8319302,0.0972313359
58295.3846644,19.5492859,0.0825775638
58297.4480324,19.6032295,0.0851257965
58300.4754745,19.5631599,0.0832224488
58301.3275579,19.7751617,0.094019331
58302.4247917,19.5857334,0.0842871889
58303.4261343,19.8590164,0.0988149643
58304.4356481,19.79702,0.0952391699
58307.3414583,19.627903,0.0863285735
58310.3416435,19.7215786,0.0911164433
58311.3646875,19.7575302,0.0930505767
58312.3712963,19.7975483,0.0952688977
58313.3654398,19.7750015,0.0940104946
58314.3875116,19.660429,0.0879506916
58315.4066435,19.8158627,0.0963076949
58316.3914352,19.6719456,0.0885352343
58317.3854977,19.5546417,0.0828256831
58318.4135417,19.7001305,0.0899885222
58319.3925116,19.681282,0.0890130475
58320.4527431,19.7507019,0.0926789939
58321.4154514,19.7912941,0.0949176103
58322.4350347,19.7404404,0.0921243355
58323.4326042,19.7151527,0.0907765254
58324.4269676,19.5106544,0.0808192939
58325.4242477,19.548645,0.0825479329
58327.4476968,19.711422,0.090579927
58329.4038542,19.4862728,0.0797374696
58330.4451505,19.957983,0.104892828
58334.3090856,19.7449436,0.0923671499
58336.2939236,19.7473736,0.0924986005
58337.3688657,19.6715908,0.0885171816
58338.3657523,19.6660805,0.0882368833
58343.3891782,19.928194,0.103014179
58344.3462153,19.9315853,0.103225887
58346.3218866,19.733984,0.0917776451
58347.3486574,19.625309,0.0862010047
58348.3465278,19.7283974,0.0914790556
58349.370463,19.8081551,0.0958686918
58350.3506713,19.888689,0.100588575
58351.4113079,19.8885326,0.100579128
58352.3626505,19.8804646,0.100092866
58360.1695139,19.842474,0.0978438184
58361.2225926,19.7572823,0.0930370539
58362.2448727,19.8253975,0.0968543962
58363.3022454,19.9051189,0.101588339
58364.2564699,19.7027779,0.0901267156
58365.2890278,19.7890034,0.0947893411
58366.2611921,19.7111855,0.0905675068
58367.2833333,19.7293053,0.0915275142
58368.2662731,19.8399849,0.0976987779
58369.2889352,19.9724483,0.105820701
58370.2381366,19.8144646,0.0962278619
58371.2665972,19.9274063,0.102965072
58372.2694097,19.8187008,0.0964699388
58373.2658912,19.8960552,0.101035237
58374.2610069,19.8332443,0.0973073691
58377.2680787,19.7964821,0.0952089056
58378.3097106,19.37603,0.0751032978
58379.3262037,19.8441143,0.0979395509
58380.3415856,19.9010658,0.10134051
58383.2208681,19.6617889,0.088019453
58384.2537384,20.20257,0.122035623
58385.1458218,20.0146217,0.10858544
58386.1635532,19.8222179,0.0966716334
58387.2520255,19.7929802,0.0950121209
58388.1312963,19.9067001,0.101685271
58389.1513426,19.6190262,0.0858930871
58390.164919,19.2891045,0.0717306361
58400.1415162,19.8408813,0.0977509767
58425.1518056,20.2164631,0.123106413
58426.152037,19.7542839,0.0928736925
58428.1698843,19.6027298,0.0851017013
58429.1828241,19.5024719,0.0804538503
58430.1289468,19.6064625,0.0852820501
58431.1125926,19.704771,0.0902309492
58432.1806829,19.8440742,0.097937189
58433.1409028,19.7993412,0.0953699276
58436.149456,19.8294106,0.097085692
