mjd,mag,magerr
58218.4943056,17.4979591,0.0252563655
58218.51875,17.4739132,0.0250551477
58229.4540162,17.6771145,0.0268862639
58242.4749074,17.5958977,0.026117783
58244.4900694,17.6464539,0.0265901294
58246.4454398,17.4591064,0.024933178
58247.4508333,17.4649105,0.0249808151
58249.4324769,17.5283928,0.0255167317
58249.4813542,17.5172195,0.0254203938
58254.4685648,17.4860153,0.025155928
58255.4700231,17.4956818,0.025237143
58256.4329977,17.5523491,0.0257262606
58256.4665278,17.5644302,0.0258334838
58257.4328704,17.6115341,0.0262617953
58257.473669,17.5870895,0.0260374658
58258.445162,17.6390495,0.0265197158
58259.4473958,17.5285492,0.0255180858
58262.3871181,17.5116386,0.0253725965
58263.4262384,17.5335617,0.0255615953
58266.3633796,17.591526,0.0260778517
58268.4563426,17.4724007,0.0250426196
58269.4242014,17.5574226,0.0257711634
58270.4343171,17.4883804,0.0251757391
58271.4543171,17.522644,0.0254670512
58272.4573495,17.6699715,0.0268166065
58273.4220486,17.6165867,0.0263087209
58274.4714931,17.4524708,0.0248789936
58275.4054051,17.4605694,0.0249451622
58276.4538194,17.5011806,0.0252836272
58277.4002662,17.499773,0.0252717063
58278.4469907,17.5680218,0.025865566
58279.4076505,17.6200333,0.0263408385
58280.3638079,17.6318378,0.0264515579
58281.4505787,17.5180969,0.0254279263
58282.4529514,17.4627571,0.02496312
58283.3907755,17.4823895,0.0251256265
58285.4121644,17.5593491,0.0257882606
58287.4492245,17.638073,0.0265104622
58288.4536343,17.5377083,0.0255977213
58289.4511343,17.4594154,0.0249357056
58290.3843171,17.4560566,0.024908239
58291.4775926,17.4953537,0.025234377
58292.4666551,17.4764957,0.0250765681
58293.4790278,17.6038303,0.0261906069
58294.4663657,17.6601601,0.0267215837
58296.336713,17.45327,0.0248855017
58298.4259491,17.4451313,0.0248193946
58299.4114005,17.4770813,0.0250814371
58300.3982639,17.5857182,0.0260250177
58301.4054514,17.6416206,0.0265441183
58303.3689931,17.4991875,0.0252667535
58304.3852662,17.4424076,0.0247973651
58305.4089236,17.4549599,0.0248992853
58307.3922106,17.5554619,0.0257537868
58310.4077431,17.4644661,0.0249771588
58312.405787,17.4850502,0.0251478516
58313.3922685,17.5128155,0.0253826641
58314.4250347,17.54562,0.0256669931
58315.3611806,17.6484375,0.0266090631
58316.3479861,17.6685104,0.0268024057
58318.3652315,17.443222,0.0248039458
58319.3541435,17.4735069,0.0250517819
58320.3959491,17.4709396,0.0250305403
58322.4004398,17.6452827,0.0265789591
58323.4686574,17.6606712,0.026726516
58324.4794676,17.5847092,0.0260158572
58325.2752662,17.4569721,0.0249157213
58326.3798958,17.4580421,0.0249244664
58327.3600926,17.4631042,0.0249659698
58328.337662,17.5049858,0.0253159124
58329.3675926,17.5998993,0.026154466
58330.3619907,17.6727333,0.0268434808
58332.3315046,17.4803772,0.0251088515
58333.3243519,17.4677086,0.025003856
58334.3497801,17.4400902,0.0247786622
58336.3487269,17.5759296,0.0259365384
58340.3107292,17.4611664,0.0249500591
58342.3299421,17.4418488,0.02479285
58343.3416898,17.5494156,0.0257003829
58344.3094097,17.6098194,0.0262459069
58345.3272917,17.6274586,0.0264103562
58347.4134954,17.491951,0.0252057202
58349.3192824,17.5214005,0.0254563391
58350.3666898,17.4927292,0.0252122656
58351.3617245,17.6411877,0.0265400074
58352.2684028,17.6498108,0.0266221892
58353.2152546,17.5691338,0.02587552
58353.3806597,17.5557938,0.0257567223
58354.2695486,17.4973774,0.0252514482
58354.3903472,17.4859066,0.0251550209
58355.2804051,17.4408951,0.0247851498
58356.1953819,17.4474659,0.0248383097
58356.2780093,17.4600449,0.0249408633
58357.2035532,17.5146103,0.0253980197
58357.3037616,17.4914322,0.0252013598
58358.2315509,17.5035782,0.025303958
58359.295706,17.6834717,0.0269485898
58359.3421644,17.6365776,0.0264963116
58360.2765741,17.5766602,0.0259431098
58361.2918403,17.4696846,0.0250201672
58362.1829514,17.4678001,0.025004616
58363.2641782,17.4597206,0.0249382071
58364.2986574,17.4589653,0.024932025
