mjd,mag,magerr
58205.4742477,18.6181335,0.0500854887
58206.4825463,18.7928734,0.0546208844
58206.5241319,18.6680069,0.0513150059
58207.4643056,18.744009,0.0532872304
58208.4723958,18.6854534,0.0517570525
58209.5051273,18.7040024,0.0522339307
58210.5141667,18.8279114,0.055610124
58211.4883102,18.8583603,0.0564927682
58211.5108449,18.6996174,0.0521205328
58229.5043519,18.7490158,0.0534214675
58230.4926042,18.7451954,0.0533189811
58231.442419,18.8148632,0.0552384481
58231.4873495,18.7146416,0.0525106899
58234.4659722,18.8564568,0.0564369746
58235.4322801,18.7522049,0.0535072498
58237.4035764,18.8136959,0.0552053936
58242.4512269,18.7485008,0.0534076355
58242.4938889,18.7282562,0.0528683886
58242.4943519,18.8861179,0.0573164709
58244.4476852,18.7218018,0.0526983328
58246.4701505,18.7281837,0.0528664663
58247.4924306,18.7144585,0.0525059253
58254.4355903,18.7037735,0.0522280037
58255.4280208,18.6633282,0.0511975512
58258.4740856,18.7306252,0.0529310256
58262.4429167,18.6924515,0.0519361161
58263.4467361,18.7212677,0.0526842996
58266.4680093,18.6266174,0.0502911136
58267.4705324,18.5372353,0.0481943339
58268.4646644,18.6005936,0.0496647917
58269.4771181,18.685915,0.0517688319
58270.4765509,18.7288933,0.0528852418
58271.4673495,18.7235775,0.0527450144
58272.4279745,18.8342876,0.0557931736
58273.4641782,18.7700043,0.053990148
58274.4019097,18.7534142,0.0535398275
58275.4491551,18.7165051,0.0525594391
58276.4118634,18.6008854,0.0496717431
58277.4515509,18.5742359,0.0490438305
58278.4061921,18.6615067,0.0511519387
58279.4490046,18.6407967,0.05063802
58280.428669,18.7085114,0.0523509309
58281.4027431,18.6936569,0.0519670546
58282.4025231,18.7668228,0.0539033152
58283.4292708,18.7369823,0.0530997291
58286.4296181,18.7690792,0.0539648794
58287.4032292,18.7306824,0.0529325381
58288.4352894,18.6521454,0.0509185605
58289.411331,18.6548119,0.0509848595
58290.4253819,18.6637135,0.0512072034
58291.4245139,18.6177559,0.0500763617
58292.4262731,18.6715794,0.0514050126
58293.4576852,18.5844898,0.0492838062
58294.4534259,18.6878109,0.0518172458
58296.4596759,18.6369762,0.0505441539
58297.4484838,18.7545204,0.053569667
58298.4776389,18.7061195,0.0522888228
58299.4535185,18.8001976,0.0548253655
58300.4555903,18.7391281,0.0531568676
58301.3242245,18.6557331,0.0510077737
58302.4262384,18.5761242,0.0490878746
58303.4265856,18.5901337,0.049416773
58304.4526042,18.659584,0.0511038564
58305.4467477,18.667511,0.0513025299
58307.3405093,18.7447147,0.0533061177
58310.3406944,18.7445831,0.0533025749
58311.3627894,18.7135506,0.0524822026
58312.3717593,18.6912708,0.0519058444
58313.3659028,18.6801243,0.0516213514
58314.387963,18.6186237,0.050097324
58315.4071065,18.5335884,0.0481119901
58316.4008796,18.600193,0.0496552549
58317.3859606,18.5818939,0.0492228754
58319.4035185,18.6493988,0.0508504249
58320.4461227,18.6509323,0.0508884378
58322.4302662,18.645134,0.050744921
58323.4575926,18.781147,0.0542960055
58324.4197917,18.7202244,0.0526569076
58325.4222222,18.705904,0.0522832237
58326.4737269,18.6932678,0.0519570783
58329.4214468,18.633213,0.0504519828
58330.4446875,18.618763,0.0501006953
58332.4540509,18.6915836,0.0519138537
58334.3105324,18.6133137,0.0499692671
58336.3223958,18.7150116,0.0525203757
58337.3693171,18.7505283,0.0534621067
58343.3896296,18.567627,0.0488902107
58344.3466782,18.6049442,0.0497685894
58346.3214236,18.6487217,0.0508336537
58348.3474769,18.7432442,0.0532667562
58349.3700116,18.6835461,0.0517084263
58350.3416782,18.6937675,0.0519699045
58351.4108565,18.6902122,0.0518787168
58352.3621991,18.6448326,0.0507374778
