mjd,mag,magerr
58205.4747106,17.3076248,0.0347632468
58206.4430324,17.7154007,0.0384933986
58206.5220949,17.5819626,0.0371476859
58207.4638426,17.4820557,0.0362238847
58208.5127083,17.3557949,0.0351485386
58209.5046759,17.3476639,0.0350825675
58210.5165278,17.2011642,0.0339566618
58211.4911921,17.2715836,0.034483429
58211.507963,17.3008404,0.0347100273
58228.4905208,17.2648926,0.0344322585
58231.4428819,17.3543758,0.0351370014
58231.4882986,17.2987938,0.0346940234
58232.5059491,17.3939056,0.0354628861
58234.4664352,17.3435555,0.0350493863
58235.4298495,17.3422928,0.0350392088
58236.4288079,17.4327641,0.0357923806
58237.3926273,17.4310455,0.0357776098
58242.4516782,17.4734612,0.0361475348
58244.4481481,17.3378334,0.0350033306
58246.4710995,17.3773518,0.035325285
58247.4914815,17.2290001,0.0341617987
58252.4708565,17.6737061,0.0380583666
58254.4434954,17.2653637,0.0344358496
58255.4345486,17.2762108,0.0345189534
58258.4731481,17.3121872,0.0347991735
58261.4692593,17.2091408,0.0340150408
58262.4438542,17.32864,0.0349297188
58263.4476736,17.3739204,0.0352969728
58266.4694792,17.3017731,0.0347173251
58267.4709954,17.2150993,0.0340588577
58268.4714468,17.2948914,0.0346635729
58269.446713,17.3196983,0.0348585807
58270.4528356,17.2849789,0.0345865935
58272.4050579,17.2468224,0.0342952423
58273.4631944,17.3570919,0.0351590961
58274.4028472,17.2708969,0.0344781652
58275.4486921,17.3893089,0.0354245156
58276.411412,17.4591789,0.0360216983
58277.4530093,17.3430252,0.0350451097
58278.4071296,17.4009018,0.0355215296
58279.4508796,17.3512497,0.0351116136
58280.4296181,17.3068142,0.0347568728
58281.4036806,17.4530449,0.0359680504
58282.4034606,17.559597,0.036934942
58283.4302083,17.3881626,0.035414964
58285.4292245,17.3518448,0.0351164453
58286.4277199,17.4731693,0.0361449495
58287.4041667,17.3933964,0.0354586318
58288.4087963,17.3617306,0.0351969339
58289.4098727,17.34478,0.0350592695
58290.4258333,17.5788879,0.03711823
58291.4249653,17.4921799,0.0363144502
58292.4267245,17.3133621,0.0348084494
58293.4572222,17.3179665,0.0348448567
58294.4538889,17.3475876,0.0350819528
58295.3846644,17.4085236,0.0355857536
58297.4480324,17.2849045,0.0345860235
58298.475625,17.4088211,0.0355882682
58300.4754745,17.4611454,0.0360389501
58301.3275579,17.4059734,0.0355642252
58302.4247917,17.2997532,0.0347015224
58303.4261343,17.4695568,0.0361130089
58304.4356481,17.34795,0.0350848846
58305.4477083,17.3691921,0.0352580696
58307.3414583,17.4000435,0.0355143249
58310.3416435,17.4341431,0.0358042382
58311.3646875,17.5893593,0.0372188278
58312.3712963,17.3003788,0.0347064175
58313.3654398,17.3266525,0.0349138714
58314.3875116,17.4533157,0.0359704196
58315.4066435,17.4625778,0.0360515267
58316.3914352,17.320919,0.0348682664
58317.3854977,17.7379074,0.0387339778
58318.4135417,18.2029552,0.0447657667
58319.3925116,17.6477318,0.0377941839
58320.4527431,17.4940453,0.0363312103
58321.4154514,17.5433235,0.0367823429
58322.4350347,17.2864914,0.0345983058
58323.4326042,17.3883915,0.0354168676
58324.4269676,17.4997101,0.036382243
58325.4242477,17.8095055,0.0395272262
58326.4732639,17.4737244,0.0361498669
58327.4476968,17.3386192,0.0350096449
58329.4038542,18.1706848,0.044272542
58330.4451505,17.4888172,0.036284294
58332.4535995,17.4898491,0.0362935401
58334.3090856,17.6260815,0.0375778563
58336.2939236,17.4922371,0.0363149606
58337.3688657,17.4224968,0.035704419
58338.3657523,17.3451767,0.0350624733
58343.3891782,17.8907433,0.0404815003
58344.3462153,17.6738586,0.038059935
58346.3218866,17.8833427,0.0403920785
58347.3486574,17.4020233,0.0355309546
58348.3465278,17.3457088,0.0350667685
58349.370463,17.3664455,0.0352355316
58350.3506713,17.3211575,0.0348701589
58351.4113079,17.3509808,0.035109438
58352.3626505,17.5293655,0.0366528966
58360.1695139,17.4612751,0.0360400826
58361.2225926,17.2798977,0.0345473476
58362.2448727,17.2969475,0.0346796028
58363.3022454,17.3056602,0.0347478092
58364.2564699,17.3142624,0.0348155573
58365.2890278,17.4309845,0.0357770845
58366.2611921,17.3723946,0.0352844074
58367.2833333,17.3775597,0.0353270099
58368.2662731,17.3184776,0.0348489061
58369.2889352,17.3677444,0.0352461822
58370.2381366,17.4462948,0.0359092988
58371.2665972,17.5617714,0.0369554721
58372.2694097,17.7669907,0.0390509889
58373.2658912,17.5683708,0.0370179825
58374.2610069,17.5067711,0.0364461541
58377.2680787,17.6812973,0.0381365567
58378.3097106,17.79039,0.0393111967
58379.3262037,17.5706482,0.0370396227
58380.3415856,17.502018,0.0364030972
58382.1970602,17.4385605,0.0358423255
58383.2208681,17.4207935,0.0356898904
58384.2537384,17.4751511,0.0361625031
58385.1458218,17.6006317,0.0373279937
58386.1635532,17.5245667,0.036608696
58387.2520255,17.35602,0.0351503678
58388.1312963,17.3688469,0.035255231
58389.1513426,17.3482494,0.0350873135
58390.164919,17.516571,0.0365354046
58400.1415162,17.4125404,0.0356197469
58425.1518056,17.4538422,0.0359750129
58426.152037,17.489502,0.0362904333
58428.1698843,17.4810047,0.0362145267
58429.1828241,17.7275772,0.0386230461
58430.1289468,17.5983219,0.0373055562
58431.1125926,17.4929047,0.0363209546
58432.1806829,17.4234848,0.0357128568
58433.1409028,17.3271599,0.0349179097
58434.1290162,17.4360962,0.0358210653
58435.1789468,17.5382156,0.0367348157
58436.149456,17.5073738,0.0364516266
58437.219213,17.401186,0.0355239175
58457.11125,17.6771126,0.0380934067
58469.1152662,17.4432068,0.035882514
58472.1409028,17.4897156,0.0362923443
58482.1193981,17.5967903,0.0372906923
58483.1081134,17.3271637,0.0349179469
58558.4904167,17.525135,0.0366139263
58568.4534144,17.2788715,0.0345394388
58582.4937037,17.3346786,0.0349780172
58589.426169,17.5336876,0.0366928279
58593.4875926,17.3102703,0.0347840637
58607.430706,17.3818226,0.0353622921
58608.4531481,17.3973846,0.0354920104
58617.473831,17.6408806,0.0377253406
58628.4679861,17.4361649,0.0358216539
58632.4434028,17.3834591,0.0353758708
58633.4481481,17.3579159,0.0351658054
58634.4554861,17.3227234,0.0348826014
58635.4511458,17.5932598,0.0372564979
58637.4523264,17.4428253,0.0358792134
58638.4578356,17.3201504,0.0348621644
58639.4493056,17.4154072,0.0356440656
58640.4518866,17.9249268,0.0409012623
58641.4239583,17.5858974,0.0371854827
58642.4333102,17.5403137,0.0367543139
58644.426331,17.7184944,0.0385262296
58645.4270023,17.5163689,0.0365335532
58646.4282755,17.4335346,0.0357990041
58650.4709259,17.2651749,0.0344344117
58652.4745602,17.3502007,0.0351031087
58653.3640741,17.5316086,0.0366736017
58660.430081,17.5296364,0.0366553925
58665.466875,17.3499012,0.0351006836
58666.4691204,17.4731636,0.0361448973
58667.4270833,17.4692955,0.0361106917
58668.3120949,17.2995682,0.034700077
58669.4492824,17.3359451,0.0349881724
58670.4250926,17.4861336,0.0362602845
58672.3432755,17.6087036,0.0374067314
58673.3483681,17.4947624,0.0363376662
58674.4354514,17.7575741,0.0389475822
58680.4534606,17.8415394,0.0398964249
58691.3212037,17.4566917,0.0359999202
58694.3239699,17.7052574,0.0383863077
58706.4279282,17.3793087,0.0353414714
58709.4446412,17.457737,0.0360090621
58710.203206,17.5303154,0.0366616659
58711.202581,17.9201698,0.0408421718
58714.2031597,17.4657288,0.0360792428
58715.2884028,17.4691086,0.0361090526
58716.3088079,17.6276436,0.0375933424
58717.2887384,17.3616352,0.0351961553
58718.3096759,17.307909,0.0347654819
58719.2893403,17.4223175,0.0357028842
58720.3087037,17.3043289,0.034737356
58722.2882407,17.6206245,0.0375238806
58723.3107639,17.4284229,0.035755109
58724.310787,17.5051346,0.0364313126
58725.2869907,17.3639183,0.0352148302
58726.2883796,17.5284004,0.0366439931
58727.3103472,17.4532166,0.0359695479
58732.2853704,17.3705902,0.0352695547
58733.2846875,17.7161808,0.0385016687
58734.2859375,17.7845573,0.039245896
58735.2845139,17.7955208,0.0393688716
58736.2941088,17.5509548,0.0368536673
58737.3070023,17.2597084,0.0343927704
58738.1930208,17.2283134,0.034156695
58739.1920602,17.654335,0.0378608592
58740.1918287,17.729723,0.03864602
58741.1887037,17.564949,0.0369855277
58743.1892708,17.4334564,0.0357983299
58744.1882755,17.2949486,0.0346640199
58745.1883912,17.373518,0.0352936536
58746.2128588,17.4573784,0.0360059291
58747.1882755,17.7847252,0.0392477773
58748.1873843,17.5463295,0.0368103869
58749.188912,17.4323463,0.0357887857
58750.1892014,17.4584045,0.0360149108
58751.1868287,17.3084087,0.0347694121
58754.1865162,17.4035454,0.0355437621
58758.2032755,17.7270966,0.0386179127
58760.187662,17.4254894,0.0357299894
58761.1866898,17.3479919,0.0350852311
58762.1858565,17.484005,0.0362412781
58763.1871991,17.3966331,0.0354857147
58764.2552083,17.41856,0.0356708616
58770.1229282,17.4199181,0.0356824324
58779.1183796,17.4227829,0.0357068628
58782.2235995,17.3399639,0.0350204557
58785.2264005,17.3983269,0.0354999155
58788.1863194,17.3258553,0.0349075161
58791.1419444,17.2857704,0.0345927216
58794.1425,17.3426456,0.0350420512
58797.1430324,17.513649,0.0365087278
58804.1017593,17.4371643,0.0358302779
58811.0969329,17.370533,0.0352690816
58831.1117593,17.3413086,0.0350312777
58861.0903472,17.2681236,0.0344569348
58944.4642708,17.2803249,0.034550637
58955.4749653,17.5004921,0.0363893062
58963.4080208,17.3186111,0.0348499641
58963.4484028,17.3551598,0.0351433717
58966.4516204,17.5863914,0.0371902399
58972.4763194,17.2276897,0.034152057
58975.4957639,17.5270596,0.0366316363
58978.4579745,17.3736744,0.03529495
58986.437338,17.1686783,0.0337221809
58992.4766667,17.1906204,0.0338799804
58992.4827662,17.164257,0.0336906798
58995.3434838,18.0106506,0.0420042127
58998.4293403,17.2703972,0.0344743319
59001.4099074,17.4315147,0.0357816443
59004.4697222,17.2742805,0.0345041193
59009.2804977,17.3181477,0.0348462909
59013.2421644,17.257515,0.0343761109
59019.350162,17.7996559,0.0394155234
59022.3643056,17.4057541,0.0355623774
59025.3492593,17.5084972,0.0364618264
