mjd,mag,magerr
58218.4943056,17.5283775,0.0232953783
58218.51875,17.5829697,0.0237898137
58229.4540162,18.1427574,0.0305607989
58244.4900694,17.8084221,0.0261137672
58246.4454398,17.4579582,0.0226930771
58247.4508333,18.1564636,0.0307730474
58249.4324769,18.7755432,0.0435830131
58249.4813542,18.7067566,0.0417980738
58254.4685648,17.683651,0.0247689784
58255.4700231,17.3831749,0.0220947452
58256.4329977,17.3743782,0.022027038
58256.4665278,17.2475967,0.0211099386
58257.4328704,17.0517387,0.019889297
58257.473669,17.176487,0.0206408203
58258.445162,17.7322025,0.0252742432
58259.4473958,18.0043678,0.0285571367
58262.3871181,17.6447182,0.0243796445
58263.4262384,18.0835476,0.0296731293
58266.3633796,18.0765839,0.0295717902
58267.3815972,18.1952953,0.0313885845
58268.4563426,18.0511303,0.0292066522
58269.4242014,17.7334175,0.0252871737
58270.4343171,17.4426041,0.0225668494
58271.4543171,17.6397552,0.0243309923
58272.4573495,17.0447731,0.0198498629
58273.4220486,17.6447296,0.0243797507
58276.4538194,18.3945751,0.034902636
58277.4002662,18.3098373,0.0333326571
58278.4469907,17.1737099,0.0206231195
58279.4076505,17.1528816,0.0204918254
58280.3638079,17.4303474,0.0224673543
58281.4505787,17.630455,0.0242404342
58282.4529514,17.1680222,0.020587014
58283.3907755,17.0355225,0.0197978858
58285.4121644,17.5978241,0.0239286814
58287.4492245,16.9865036,0.0195298493
58288.4536343,17.1841354,0.0206898041
58289.4511343,17.4116516,0.0223177392
58290.3843171,17.2596245,0.0211923979
58291.4775926,16.8059044,0.0186424255
58292.4666551,16.8364944,0.0187823027
58293.4790278,16.963974,0.0194107369
58294.4663657,17.3719673,0.0220085792
58296.336713,17.6014137,0.0239625219
58298.4259491,17.5392151,0.0233915746
58299.4114005,17.8833389,0.0269973762
58300.3982639,18.0077896,0.02860374
58301.4054514,18.0374184,0.0290133618
58303.3689931,17.3827953,0.0220918152
58304.3852662,17.6031265,0.0239787102
58305.4089236,17.7770805,0.0257615168
58307.3922106,16.5609341,0.0176574998
58312.405787,17.8932915,0.0271193292
58316.3479861,17.38731,0.0221267641
58318.3652315,17.2544537,0.0211568326
58319.3541435,17.287796,0.021389164
58320.3959491,17.0806122,0.0200555399
58322.4004398,17.9765873,0.0281839669
58323.4686574,18.2816505,0.0328358412
58324.4794676,18.2632694,0.0325184576
58325.2752662,18.1210747,0.0302302819
58326.3798958,18.0758266,0.02956081
58327.3600926,18.3433857,0.0339402668
58328.337662,18.197073,0.031417273
58329.3675926,18.3955288,0.0349209756
58330.3619907,18.2565022,0.0324028991
58332.3315046,17.3134079,0.0215725582
58333.3243519,16.9214096,0.0191924591
58334.3497801,17.7110672,0.0250515435
58336.3487269,17.4108639,0.0223114882
58340.3107292,18.1873817,0.0312614217
58342.3299421,18.0658436,0.029416699
58343.3416898,17.8573017,0.026683487
58345.3272917,17.9004707,0.0272079706
58347.4134954,17.7217159,0.0251632109
58349.3192824,18.2532539,0.0323476717
58350.3666898,18.0699501,0.0294758212
58351.3617245,17.6836395,0.0247688573
58352.2684028,17.2430706,0.0210791454
58353.2152546,17.0490322,0.0198739469
58353.3806597,16.9914169,0.0195561685
58354.2695486,17.1970177,0.0207730941
58354.3903472,17.2828102,0.02135396
58355.2804051,17.5566216,0.0235481001
58356.1953819,17.7708778,0.0256929845
58356.2780093,17.8401756,0.026480997
58357.2035532,17.9892883,0.0283534173
58357.3037616,18.1087112,0.0300446656
58358.2315509,17.1816673,0.0206739549
58359.295706,17.6111107,0.0240545049
58359.3421644,17.6230526,0.02416889
58360.2765741,18.1710701,0.0310021006
58361.2918403,18.468586,0.0363725908
58362.1829514,18.8884621,0.0467487089
58363.2641782,18.37854,0.034596514
58364.2986574,18.2877083,0.0329415835
58365.2025579,17.8436356,0.0265216585
58366.323125,18.1591911,0.030815592
58367.3244097,17.7097988,0.025038315
58368.2801852,18.3965664,0.0349409655
58369.1919907,18.3501701,0.0340653621
58370.2773032,18.2852535,0.0328986719
58371.2991667,18.524025,0.0375375487
58372.3035648,18.2373886,0.0320802368
58373.2785532,18.027092,0.0288693663
58374.3240741,17.9788151,0.0282135382
58375.1911343,17.6397114,0.0243305732
