mjd,mag,magerr
58205.4747106,16.9613209,0.0323412754
58206.4430324,17.1514168,0.0335997045
58206.5220949,17.1012859,0.0332520865
58207.4638426,17.1019402,0.0332565457
58208.5127083,16.9030228,0.0319859907
58209.5046759,16.9785042,0.0324486047
58210.5165278,17.0500546,0.0329088084
58211.4911921,16.9741402,0.0324212313
58211.507963,16.9844742,0.0324861743
58228.4905208,16.9986115,0.032575734
58231.4428819,17.1098633,0.03331073
58231.4882986,17.0812912,0.033116702
58232.5059491,16.9651642,0.0323651768
58234.4664352,17.0313187,0.0327861793
58235.4298495,17.0209122,0.0327187255
58236.4288079,16.8893604,0.0319046527
58237.3926273,16.9812202,0.032465674
58242.4516782,17.1030502,0.0332641266
58244.4481481,16.9607258,0.0323375836
58246.4710995,16.9853191,0.0324915051
58247.4914815,16.8519802,0.0316857025
58252.4708565,17.1118698,0.033324495
58254.4434954,16.9173126,0.03207184
58255.4345486,17.0522041,0.032922972
58258.4731481,16.8933029,0.0319280513
58261.4692593,16.9025269,0.0319830216
58262.4438542,16.9539757,0.0322957672
58263.4476736,16.9974022,0.0325680412
58266.4694792,17.0194969,0.0327095911
58267.4709954,16.9676285,0.0323805362
58268.4714468,16.8670006,0.0317730531
58269.446713,17.031765,0.0327890776
58270.4528356,17.0607376,0.0329794176
58272.4050579,16.8996201,0.0319656655
58273.4631944,17.0471802,0.0328898914
58274.4028472,17.0237865,0.0327373073
58275.4486921,16.9691086,0.0323897675
58276.411412,17.0386238,0.0328338109
58277.4530093,17.0844765,0.0331381448
58278.4071296,17.0069656,0.032629054
58279.4508796,16.9313736,0.0321570933
58280.4296181,17.0785007,0.0330979526
58281.4036806,17.0492249,0.0329033472
58282.4034606,16.9234657,0.0321090519
58283.4302083,17.0124588,0.0326642729
58285.4292245,17.0584831,0.0329644755
58286.4277199,16.986887,0.0325013995
58287.4041667,17.0511971,0.0329163335
58288.4087963,17.0492039,0.0329032056
58289.4098727,16.9518986,0.032282941
58290.4258333,17.0017395,0.0325956643
58291.4249653,17.0902443,0.0331770964
