mjd,mag,magerr
58218.4943056,16.1234932,0.0180911105
58218.51875,16.0872536,0.0179769397
58229.4540162,16.1817818,0.0182806905
58242.4749074,16.1658936,0.0182282701
58244.4900694,16.1357021,0.0181302018
58246.4454398,16.0955715,0.0180028994
58247.4508333,16.1054592,0.0180339497
58249.4324769,16.0755405,0.0179406237
58249.4813542,16.0746174,0.0179377757
58254.4685648,16.0882607,0.0179800745
58255.4700231,16.0785637,0.0179499723
58256.4329977,16.130867,0.0181146823
58256.4665278,16.1478729,0.0181694962
58257.4328704,16.1331215,0.0181219112
58257.473669,16.1027031,0.0180252753
58258.445162,16.1367645,0.0181336198
58259.4473958,16.1678524,0.0182347037
58262.3871181,16.1437645,0.0181561932
58263.4262384,16.1382866,0.0181385186
58266.3633796,16.1554871,0.0181942396
58267.3815972,16.1969757,0.0183313508
58268.4563426,16.1971893,0.018332066
58269.4242014,16.2127609,0.0183845479
58270.4343171,16.1879082,0.018301053
58271.4543171,16.1922131,0.0183154158
58272.4573495,16.1864586,0.0182962269
58273.4220486,16.2228336,0.0184187908
58274.4714931,16.1943913,0.018322695
58275.4054051,16.1816635,0.0182802938
58276.4538194,16.1689072,0.0182381701
58277.4002662,16.1792755,0.0182723813
58278.4469907,16.1451836,0.0181607846
58279.4076505,16.1519508,0.018182734
58280.3638079,16.1640854,0.0182223395
58281.4505787,16.1015511,0.0180216506
58282.4529514,16.0776939,0.0179472789
58283.3907755,16.1208725,0.0180827603
58285.4121644,16.0852242,0.0179706272
58287.4492245,16.0911026,0.0179889351
58288.4536343,16.0931473,0.0179953203
58289.4511343,16.0913887,0.0179898255
58290.3843171,16.0788155,0.017950749
58291.4775926,16.0949631,0.0180009976
58292.4666551,16.1208,0.0180825274
58293.4790278,16.1269226,0.0181020573
58294.4663657,16.1200581,0.0180801693
58296.336713,16.0988064,0.0180130359
58298.4259491,16.1792603,0.0182723291
58299.4114005,16.0955276,0.0180027615
58300.3982639,16.1345329,0.0181264449
58301.4054514,16.1589165,0.0182054304
58303.3689931,16.1708317,0.0182445012
58304.3852662,16.202179,0.0183488224
58305.4089236,16.2108269,0.018377997
58307.3922106,16.1651344,0.0182257798
58312.405787,16.1709709,0.0182449594
58313.3922685,16.1311817,0.01811569
58314.4250347,16.1467438,0.0181658361
58315.3611806,16.1225395,0.0180880707
58316.3479861,16.1325951,0.0181202237
58318.3652315,16.1337986,0.0181240849
58319.3541435,16.1494408,0.0181745794
58320.3959491,16.058197,0.0178873707
58322.4004398,16.1081047,0.0180422906
58323.4686574,16.0994835,0.0180151612
58324.4794676,16.1093941,0.0180463605
58325.2752662,16.0653725,0.0179093275
58326.3798958,16.0963593,0.0180053674
58327.3600926,16.0586262,0.0178886801
58328.337662,16.1039696,0.0180292595
58329.3675926,16.1158085,0.0180666689
58330.3619907,16.0806885,0.0179565493
58332.3315046,16.1393738,0.0181420222
58333.3243519,16.1005535,0.0180185176
58334.3497801,16.1439781,0.0181568861
58336.3487269,16.1100426,0.0180484094
58340.3107292,16.1324768,0.0181198455
58342.3299421,16.1735229,0.0182533693
58343.3416898,16.201931,0.0183479879
58344.3094097,16.1791191,0.0182718635
58345.3272917,16.180336,0.0182758961
58347.4134954,16.1943016,0.018322397
58349.3192824,16.2167263,0.0183979999
58350.3666898,16.1326141,0.0181202833
58351.3617245,16.1210136,0.018083211
58352.2684028,16.158144,0.0182029065
58353.2152546,16.1883316,0.0183024649
58353.3806597,16.0696106,0.0179223493
58354.2695486,16.1523838,0.0181841403
58354.3903472,16.1294746,0.0181102213
58355.2804051,16.0715942,0.017928455
58356.1953819,16.1354828,0.0181294978
58356.2780093,16.0900497,0.0179856513
58357.2035532,16.135891,0.0181308109
58357.3037616,16.0855198,0.0179715455
58358.2315509,16.1142311,0.0180616658
58359.295706,16.0934277,0.0179961957
58359.3421644,16.0969906,0.0180073455
58360.2765741,16.1024151,0.0180243682
58361.2918403,16.1091347,0.0180455428
58362.1829514,16.1108856,0.0180510767
58363.2641782,16.0780754,0.017948458
58364.2986574,16.0941124,0.0179983359
58365.2025579,16.0681458,0.0179178435
58366.323125,16.1003342,0.0180178285
58367.3244097,16.1072578,0.0180396177
58368.2801852,16.0861397,0.0179734752
58369.1919907,16.1091633,0.018045634
58370.2773032,16.1182499,0.0180744193
58371.2991667,16.1388664,0.0181403887
58372.3035648,16.1510201,0.0181797072
58373.2785532,16.1299324,0.0181116872
58374.3240741,16.1800728,0.0182750225
58375.1911343,16.1147747,0.0180633906
58376.2049653,16.133604,0.0181234609
58377.278669,16.1758804,0.0182611514
58378.2778704,16.2099876,0.0183751564
58379.2746528,16.2318459,0.0184496343
58383.3106481,16.1691628,0.0182390101
58384.185787,16.189743,0.0183071699
58385.2267593,16.1856956,0.0182936881
58386.253912,16.1721592,0.0182488747
58387.1662963,16.1852646,0.0182922557
58388.2255208,16.1541977,0.0181900393
58389.240625,16.1677551,0.0182343815
58390.1703935,16.2342396,0.018457856
58400.1839815,16.062439,0.0179003403
58423.1292824,16.206665,0.018363934
58425.1102083,16.2540703,0.0185265187
58428.1076042,16.1698685,0.018241331
58429.1342361,16.1385612,0.0181394052
58430.1765394,16.1529655,0.0181860328
58431.1453472,16.1254749,0.0180974342
58433.1079745,16.1158066,0.0180666633
58455.1799306,16.137661,0.0181365032
58455.1827315,16.1509514,0.0181794837
58455.1845833,16.2332287,0.0184543822
58455.1855208,16.2139931,0.0183887202
58455.1864468,16.1806412,0.0182769075
58455.1873843,16.1988792,0.018337734
58455.1901736,16.1354828,0.0181294978
58455.192037,16.1198864,0.0180796236
58455.1939005,16.2138863,0.0183883607
58455.1948264,16.2012596,0.0183457304
58455.1957523,16.1568413,0.0181986541
58455.1966898,16.1675491,0.0182337034
58455.1976157,16.2020416,0.0183483604
58455.1985532,16.1755238,0.0182599742
58455.1994792,16.2001305,0.0183419362
58455.2004051,16.1991692,0.0183387082
58455.2013426,16.1946297,0.0183234923
58455.2022685,16.2084999,0.0183701292
58455.203206,16.1976738,0.0183336921
58455.2041319,16.1924877,0.0183163304
58455.2050579,16.186039,0.0182948317
58455.2059954,16.2245636,0.0184247009
58455.2069213,16.188446,0.0183028448
58455.2087847,16.2515469,0.0185177289
58455.2097106,16.1511002,0.018179968
58455.2134375,16.1776352,0.0182669517
58455.2143634,16.1373253,0.0181354247
58455.2153009,16.1731567,0.0182521604
58455.2162269,16.2011986,0.0183455255
58455.2190162,16.2024307,0.018349668
58455.2218171,16.1870537,0.0182982087
58455.2227431,16.1787071,0.0182704981
58455.223669,16.1498833,0.0181760155
58455.2246065,16.2008057,0.0183442067
58455.2311227,16.161869,0.0182150826
58455.2320486,16.1609154,0.0182119608
58455.233912,16.1667213,0.0182309877
58456.1387731,16.1535549,0.0181879476
58457.1625579,16.1877251,0.018300442
58472.0974769,16.1122646,0.018055439
58474.1431481,16.113512,0.0180593897
