mjd,mag,magerr
58218.4943056,17.3402405,0.0243497938
58218.51875,17.3487358,0.0244176462
58229.4540162,17.2641582,0.0237625409
58242.4749074,17.2052746,0.0233321618
58244.4900694,17.2873497,0.0239377301
58246.4454398,17.1299477,0.0228104107
58247.4508333,17.2627335,0.0237518847
58249.4324769,17.159153,0.0230089799
58249.4813542,17.1795006,0.0231500883
58254.4685648,17.1796989,0.0231514741
58255.4700231,17.2238522,0.0234657507
58256.4329977,17.2103443,0.0233684145
58256.4665278,17.2212982,0.0234472621
58257.4328704,17.1675472,0.0230669174
58257.473669,17.1410103,0.0228850842
58258.445162,17.2722092,0.0238229819
58259.4473958,17.2212734,0.0234470814
58262.3871181,17.1533222,0.0229689665
58263.4262384,17.1727638,0.0231031179
58266.3633796,17.1449738,0.0229119994
58267.3815972,17.3032303,0.0240596067
58268.4563426,17.1886635,0.0232143849
58269.4242014,17.1992054,0.0232889447
58270.4343171,17.3312454,0.0242784657
58271.4543171,17.1706486,0.0230884179
58272.4573495,17.1760082,0.0231257044
58273.4220486,17.298151,0.0240204539
58274.4714931,17.2099457,0.0233655609
58275.4054051,17.2111435,0.0233741477
58276.4538194,17.2728157,0.0238275528
58277.4002662,17.2050896,0.0233308338
58278.4469907,17.2511578,0.0236657541
58279.4076505,17.2708778,0.0238129646
58280.3638079,17.2117081,0.0233781934
58281.4505787,17.3138084,0.0241416562
58282.4529514,17.1634998,0.0230389293
58283.3907755,17.1655388,0.0230530202
58285.4121644,17.1890221,0.0232169107
58287.4492245,17.3305798,0.0242732018
58288.4536343,17.166481,0.0230595339
58289.4511343,17.1824455,0.0231707022
58290.3843171,17.3115177,0.0241238326
58291.4775926,17.1755447,0.0231224727
58292.4666551,17.1869659,0.0232024379
58293.4790278,17.325882,0.0242361724
58294.4663657,17.1774063,0.0231354591
58296.336713,17.344162,0.0243810602
58298.4259491,17.2253494,0.0234766044
58299.4114005,17.2485657,0.0236465819
58300.3982639,17.1778202,0.023138348
58301.4054514,17.2113075,0.0233753212
58303.3689931,17.1983967,0.0232832041
58304.3852662,17.2685127,0.0237951875
58305.4089236,17.2374306,0.0235646572
58307.3922106,17.2502365,0.0236589331
58312.405787,17.2012215,0.0233032797
58313.3922685,17.3147736,0.0241491795
58314.4250347,17.1613159,0.023023868
58315.3611806,17.1694984,0.0230804347
58316.3479861,17.3011436,0.0240434967
58318.3652315,17.189682,0.0232215654
58319.3541435,17.3308811,0.024275586
58320.3959491,17.1406345,0.0228825361
58322.4004398,17.3312588,0.02427857
58323.4686574,17.1752701,0.0231205616
58324.4794676,17.2450562,0.02362068
58325.2752662,17.3118382,0.0241263267
58326.3798958,17.194479,0.0232554432
58327.3600926,17.1643391,0.023044724
58328.337662,17.2701283,0.0238073263
58329.3675926,17.1822586,0.023169389
58330.3619907,17.1830044,0.0231746193
58332.3315046,17.1803188,0.0231558084
58333.3243519,17.2701721,0.0238076579
58334.3497801,17.2162819,0.0234110709
58336.3487269,17.2826805,0.0239021927
58340.3107292,17.1618729,0.0230277125
58342.3299421,17.3387032,0.0243375711
58343.3416898,17.2040501,0.0233234204
58344.3094097,17.1717415,0.0230960101
58345.3272917,17.3121338,0.0241286252
58347.4134954,17.2030563,0.0233163424
58349.3192824,17.167614,0.0230673812
58350.3666898,17.2332039,0.0235337503
58351.3617245,17.3313675,0.0242794268
58352.2684028,17.1393318,0.0228737127
58353.2152546,17.2343254,0.0235419404
58353.3806597,17.1684074,0.0230728723
58354.2695486,17.3158779,0.0241577923
58354.3903472,17.3206253,0.024194913
58355.2804051,17.1785755,0.0231436249
58356.1953819,17.2277012,0.0234936737
58356.2780093,17.2163563,0.0234116111
58357.2035532,17.2893219,0.0239527859
58357.3037616,17.2789173,0.0238736533
58358.2315509,17.1966591,0.0232708771
58359.295706,17.2518616,0.0236709714
58359.3421644,17.2716045,0.0238184314
58360.2765741,17.2457581,0.0236258581
58361.2918403,17.208725,0.0233568214
58362.1829514,17.2774105,0.0238622501
58363.2641782,17.2115612,0.023377141
58364.2986574,17.2256813,0.023479009
58365.2025579,17.2894859,0.023954032
58366.323125,17.2230186,0.0234597102
58367.3244097,17.2050629,0.0233306475
58368.2801852,17.341465,0.0243595429
58369.1919907,17.1916828,0.0232356768
58370.2773032,17.2326164,0.0235294681
58371.2991667,17.3623447,0.0245273225
58372.3035648,17.1676235,0.0230674464
58373.2785532,17.1995277,0.0232912377
58374.3240741,17.3675423,0.02456953
58375.1911343,17.1743755,0.0231143329
58376.2049653,17.2172394,0.0234179664
58377.278669,17.3804626,0.024675224
58378.2778704,17.1940498,0.0232524071
58379.2746528,17.2129707,0.0233872607
58383.3106481,17.2730484,0.0238293055
58384.185787,17.156271,0.0229891762
58385.2267593,17.2520065,0.0236720424
58386.253912,17.2783165,0.0238691047
58387.1662963,17.176033,0.0231258776
58388.2255208,17.2832832,0.0239067748
