mjd,mag,magerr
58218.4943056,18.7141361,0.0448120013
58218.51875,18.6921768,0.0441990197
58229.4540162,18.448885,0.0381346159
58242.4749074,18.538475,0.0402196459
58244.4900694,18.5447998,0.0403731242
58246.4454398,18.3270073,0.0355495177
58247.4508333,18.4198132,0.037492495
58249.4324769,18.2019825,0.0331725106
58249.4813542,18.1270962,0.0318706855
58254.4685648,18.628809,0.0424938761
58255.4700231,18.6016903,0.0417922623
58256.4329977,18.7616196,0.0461777933
58256.4665278,18.7547646,0.0459771827
58257.4328704,18.9039116,0.0506188534
58257.473669,18.7847328,0.0468630306
58258.445162,18.621582,0.0423052646
58259.4473958,18.5166016,0.0396953747
58262.3871181,18.3302937,0.0356156416
58263.4262384,18.591877,0.0415424258
58266.3633796,18.9713821,0.0529192798
58267.3815972,18.5268497,0.0399397612
58268.4563426,18.6289062,0.0424964018
58269.4242014,18.5717525,0.0410366878
58270.4343171,18.5963955,0.041657187
58271.4543171,18.3185997,0.0353812464
58272.4573495,18.4837589,0.0389268287
58273.4220486,18.6019478,0.0417988524
58274.4714931,18.6805096,0.0438779853
58275.4054051,18.3323898,0.0356578976
58276.4538194,18.5372829,0.0401908122
58277.4002662,18.5298595,0.0400119573
58278.4469907,18.5986786,0.0417153761
58279.4076505,18.6054764,0.0418892242
58280.3638079,18.3962479,0.0369839445
58281.4505787,18.6414433,0.0428264067
58282.4529514,18.4782143,0.0387992524
58283.3907755,18.2970581,0.0349558182
58285.4121644,18.5462818,0.0404091999
58287.4492245,18.8076897,0.0475571789
58288.4536343,18.7224445,0.0450469851
58289.4511343,18.5935745,0.0415854901
58290.3843171,18.7312851,0.0452988632
58291.4775926,18.6418171,0.0428363159
58292.4666551,18.5601101,0.0407481417
58293.4790278,18.427494,0.0376605652
58294.4663657,18.5294571,0.0400022827
58296.336713,18.4192028,0.0374791883
58298.4259491,18.186945,0.0329040401
58299.4114005,18.3239841,0.03548887
58300.3982639,18.2458572,0.0339767151
58301.4054514,18.1397324,0.0320842788
58303.3689931,18.6945419,0.0442644879
58304.3852662,18.5665779,0.0409080982
58305.4089236,18.6993332,0.0443975106
58307.3922106,18.6822662,0.0439261273
58312.405787,18.5093803,0.0395245068
58313.3922685,18.5117855,0.0395812877
58314.4250347,18.4141884,0.0373701528
58315.3611806,18.4901791,0.0390753448
58316.3479861,18.2345772,0.0337669291
58318.3652315,18.4806328,0.03885483
58319.3541435,18.7124557,0.0447647013
58320.3959491,18.6686516,0.0435550399
58322.4004398,18.4545174,0.0382609032
58323.4686574,18.6771259,0.0437855087
58324.4794676,18.4789619,0.038816411
58325.2752662,18.5177021,0.0397215374
58326.3798958,18.2580967,0.0342067294
