mjd,mag,magerr
58205.4747106,19.382473,0.0753629133
58206.5220949,19.8049679,0.0956879109
58208.5127083,19.1937675,0.0682960898
58209.5046759,19.3562737,0.0743156895
58210.5165278,19.3428726,0.0737886205
58211.4911921,19.4959793,0.0801655948
58228.4905208,19.0981045,0.0651084483
58231.4428819,19.6581573,0.0878360644
58231.4882986,19.5271721,0.0815643817
58232.5059491,19.1860771,0.0680305213
58234.4664352,19.217432,0.0691238642
58235.4298495,19.6207924,0.0859795064
58236.4288079,19.267395,0.0709249079
58237.3926273,19.1328526,0.0662375689
58242.4516782,19.5089817,0.0807444006
58246.4710995,19.0995235,0.065153949
58247.4914815,19.1267662,0.0660374984
58252.4708565,19.5107307,0.0808227137
58254.4434954,19.5845451,0.0842306465
58255.4345486,19.2905807,0.0717859268
58258.4731481,19.2071686,0.0687628835
58261.4692593,19.4592152,0.0785614997
58262.4438542,19.3377094,0.0735870749
58263.4476736,19.2842865,0.071550563
58266.4694792,19.1440392,0.0666079596
58267.4709954,19.2443275,0.0700842291
58268.4714468,19.0515289,0.0636445209
58270.4528356,19.2519093,0.0703587905
58272.4050579,19.1524353,0.0668881834
58273.4631944,19.3869629,0.0755445957
58274.4028472,19.7474422,0.0925022811
58275.4486921,19.5103359,0.080805026
58276.411412,19.1219311,0.0658792481
58277.4530093,19.4043808,0.0762558579
58278.4071296,19.5754795,0.0838011801
58279.4508796,19.644577,0.0871548951
58280.4296181,19.5090828,0.0807489306
58281.4036806,19.0765285,0.0644233525
58282.4034606,19.3800049,0.0752633289
58283.4302083,19.7677383,0.0936098173
58285.4292245,19.5361404,0.0819731429
58286.4277199,19.399044,0.076036863
58287.4041667,19.2964344,0.0720059201
58288.4087963,19.4502697,0.0781783536
58289.4098727,19.3986359,0.076020129
58290.4258333,19.2601967,0.0706608519
58291.4249653,19.0904961,0.0648654923
58292.4267245,19.1701565,0.0674860179
58293.4572222,19.5760288,0.0838270634
58294.4538889,19.2767048,0.0712686628
58295.3846644,19.1240158,0.0659473687
58297.4480324,19.4599762,0.0785942152
58298.475625,19.3456402,0.0738969818
58300.4754745,19.1876488,0.0680846721
58301.3275579,19.2157459,0.0690643266
58302.4247917,19.2219563,0.0692839324
58303.4261343,20.1026039,0.114646368
58304.4356481,19.47118,0.0790783465
58305.4477083,19.5646648,0.0832928643
