ID,primary_class,secondary_class
FHK_118,p,
FHK_543,p,
FHK_150,p,
FHK_323,p,l
FHK_226,p,
FHK_576,mp,
FHK_282,p,l
FHK_133,p,l
GDR1_2162251394832460672,p,
FHK_286,mp,
FHK_216,p,l
FHK_567,p,
FHK_192,p,
FHK_281,p,
FHK_571,p,l
FHK_182,p,
GDR1_2162965012238950656,p,
GDR1_2162134880959435904,p,
2MASS_J20510029+4424364,p,
GDR1_2163156052385630336,p,
FHK_371,mp,
FHK_137,p,
FHK_62,p,l
GDR1_2163135573981345152,p,
FHK_569,p,l
FHK_510,p,
2MASS_J20523394+4429168,p,
2MASS_J20511252+4418093,p,
FHK_46,p,
2MASS_J20475256+4345137,p,
FHK_430,p,l
FHK_56,p,
FHK_183,p,
FHK_172,p,
FHK_217,p,
FHK_200,p,
FHK_8,p,
FHK_372,p,l
GDR1_2162221536218867072,p,
FHK_408,mp,
GDR1_2162952711451794176,p,
GDR1_2162933882314931968,p,
2MASS_J20510663+4421407,p,l
FHK_431,p,l
GDR1_2162938074203123712,p,
GDR1_2162947591850664960,p,l
FHK_127,qps,
2MASS_J20533662+4439529,qpd,
2MASS_J20511374+4422252,qps,
2MASS_J20564400+4346000,qps,
GDR1_2163139873247408384,p,l
GDR2_2162926254452857472,p,
GDR1_2163135573981345280,qps,l
GDR1_2163140315626343168,qpd,l
2MASS_J20505039+4450115,qpd,
FHK_86,qps,
GDR1_2065995748890512768,qps,
FHK_409,qpd,
FHK_532,qps,
FHK_514,qps,
FHK_566,qps,
FHK_511,qps,
GDR1_2067061691055800448,qpd,
GDR1_2162940067068027392,qps,l
GDR1_2162948107246789120,qps,
GDR1_2067120514926515200,qps,
FHK_442,qps,
GDR1_2067026953358039552,q[s,
GDR1_2067034546860024960,qps,
FHK_82,qpd,
GDR1_2163020881172468608,qps,l
FHK_444,b,
FHK_531,qps,
FHK_48,qps,
2MASS_J20522880+4418297,qpd,
GDR1_2067062824937136000,qpd,
FHK_489,qps,l
FHK_130,qps,l
FHK_361,qpd,
GDR1_2162941716335179008,qpd,
GDR1_2163139804527939968,qps,
FHK_530,b,l
FHK_251,qps,
FHK_134,qpd,
2MASS_J20570162+4341387,qps,
GDR1_2162932851524210816,qpd,
GDR1_2162127562335172992,qps,l
GDR1_2162939792190072448,qps,
GDR1_2163139151692568576,qps,l
FHK_517,b,
GDR1_2162903680105026176,qpd,
FHK_28,qps,
GDR1_2162931580213813632,s,
GDR1_2162944911791083136,qps,
2MASS_J20483292+4351190,b,
FHK_285,l,
FHK_493,b,
FHK_26,p,
FHK_496,p,
2MASS_J20532233+4438526,qps,
GDR1_2162224147560188672,qpd,
FHK_464,u,
FHK_468,u,
GDR1_2162123198648385024,u,
GDR1_2163149661474923520,s,
FHK_348,s,
FHK_155,s,
GDR1_2163138288400926464,s,
GDR1_2163136364255498624,apd,
FHK_165,s,
FHK_577,apd,
GDR1_2162122064777006080,s,
GDR1_2162939173714801152,s,
GDR1_2162227205576431488,s,
2MASS_J20475581+4329019,s,
GDR1_2162239506362783488,s,
GDR1_2162969788241971712,qps,
GDR1_2162960820350057856,qpd,
GDR1_2163144473153865856,qps,
FHK_456,qps,
FHK_500,qps,
GDR1_2162989510731974016,qpd,
GDR1_2162078393549548288,qps,
FHK_36,qpd,
FHK_418,l,qps
FHK_278,qps,
GDR1_2163137738645105280,qps,l
GDR1_2162128009011784832,apd,
GDR1_2162952470933669632,qps,
GDR1_2067074301079809408,qps,
GDR1_2162135327636039936,b,
GDR1_2162122339654917120,qpd,
FHK_580,qps,
FHK_473,b,
GDR1_2163140315626346880,l,
GDR1_2162965287117378944,qpd,
GDR1_2163138601937119360,b,
GDR1_2163149214797802752,l,
GDR1_2163140315626344064,qps,
FHK_490,qps,
FHK_138,qps,
GDR1_2067062618768745728,qps,
GDR1_2162989201494332800,qps,
GDR2_2067027228235955584,qps,
GDR1_2162126325384584576,qps,
FHK_344,qps,
FHK_79,qps,
GDR1_2067059732550905600,qps,
GDR1_2161843098061857280,qps,
GDR1_2163145984982389632,qpd,
GDR1_2162117563651224960,qps,
GDR1_2162221673657766272,qps,
GDR1_2162962985013647616,qps,
FHK_115,qps,
GDR1_2066790146043148928,qpd,
GDR1_2163136742213531520,qps,
GDR1_2162904161141389696,qpd,
GDR1_2163136746511218176,qps,
FHK_45,qps,
GDR1_2162951749379088640,qps,
GDR1_2163140968460295680,b,
GDR1_2162947420052773760,apd,
GDR1_2066844954118735744,b,
GDR1_2067128658184872064,qps,l
FHK_459,qps,l
PSO_J205818.503+435346.014,qps,
FHK_32,b,
GDR1_2162091278451209472,s,
FHK_158,qps,
FHK_164,qpd,
GDR1_2163139937669407872,qps,l
GDR1_2162872928138757248,b,
GDR1_2163144541882323584,qpd,
FHK_181,qps,
GDR1_2163215391652091520,qps,
FHK_562,qps,
FHK_67,qps,
FHK_575,qps,
GDR1_2162235795513138560,qps,
GDR1_2163155055959979392,qps,
GDR1_2162127974652045056,p,l
GDR1_2163141208978477312,qps,
2MASS_J20582381+4353114,qpd,
GDR1_2162946526698717056,qps,
DPP2017_409,b,
FHK_272,qps,l
GDR1_2067030011373814272,qps,
GDR1_2162984631649047936,qps,
2MASS_J20510895+4416420,qpd,
GDR1_2162949309837722880,qps,
GDR1_2163155227752761088,qps,
GDR1_2162966146109606528,qps,
GDR2_2163139804529410944,qps,
FHK_434,qps,
FHK_153,qps,
GDR1_2162223086709799296,qpd,
FHK_255,qps,
FHK_506,qps,
GDR1_2162126187945624704,qpd,
FHK_163,qpd,
GDR1_2162931786370808448,b,
FHK_485,qps,
GDR1_2162231676644797824,qps,
GDR1_2162946767216898432,qps,
FHK_460,qpd,
2MASS_J20512059+4420322,qps,
2MASS_J20505543+4417461,qps,
FHK_44,qps,
GDR1_2162947798009095808,qps,l
GDR1_2163138116611233408,qps,l
GDR1_2163169761929937280,apd,
GDR1_2162939208074518912,qpd,l
GDR1_2162947729289614848,qpd,l
GDR1_2163144851111005056,qpd,
GDR1_2162902683672550912,qpd,
0.815:ID:FHK_40.png
FHK_40,qps,
2MASS_J20511455+4413379,qps,
GDR1_2162909830498130048,qps,
FHK_451,qps,
