hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458217.78764,bh,V,13.862,0.02354,10.095,0.219
2458179.79513,bh,V,13.797,0.02312,10.717,0.228
2458029.48832,bh,V,13.654,0.02241,12.22,0.252
2457573.67977,bg,V,14.061,0.0244,9.108,0.204
2457486.68795,bg,V,14.433,0.02868,6.467,0.171
2458308.73329,bg,V,14.18,0.02553,8.166,0.192
2458305.56276,bg,V,14.025,0.0241,9.416,0.209
2458186.78943,bh,V,13.953,0.02423,9.282,0.207
2457969.57704,bg,V,13.441,0.02185,16.123,0.324
2457545.81586,bh,V,14.051,0.02511,8.48,0.196
2458199.87426,bg,V,13.573,0.02194,14.284,0.288
2458150.81411,bg,V,13.565,0.02193,14.382,0.29
2457960.6325,bg,V,13.848,0.02291,11.081,0.234
2457856.7025,bg,V,13.607,0.022,13.845,0.28
2458171.8009,bh,V,14.303,0.02808,6.725,0.174
2457877.72083,bh,V,14.325,0.02839,6.585,0.172
2457612.60047,bg,V,13.41,0.02187,16.596,0.334
2457600.57497,bg,V,13.374,0.0219,17.154,0.346
2457971.62849,bg,V,13.782,0.02258,11.778,0.245
2457838.71157,bh,V,13.759,0.02291,11.097,0.234
2458217.79188,bg,V,13.846,0.0229,11.105,0.234
2458198.79972,bg,V,13.985,0.02379,9.774,0.214
2457663.51118,bh,V,13.527,0.02202,13.742,0.278
2458377.48998,bh,V,13.895,0.02378,9.793,0.214
2458236.59421,bg,V,13.618,0.02202,13.698,0.278
2458225.81307,bh,V,13.529,0.02202,13.707,0.278
2458160.89018,bh,V,14.353,0.02879,6.419,0.17
2458227.86156,bg,V,13.616,0.02202,13.72,0.278
2458226.86236,bg,V,13.415,0.02186,16.52,0.332
2458201.86442,bh,V,13.465,0.02191,14.55,0.293
2458137.84819,bg,V,13.933,0.02343,10.25,0.221
2457947.54162,bh,V,13.944,0.02416,9.353,0.208
2457893.78623,bh,V,13.597,0.02221,12.875,0.263
2458368.54844,bg,V,14.451,0.02894,6.36,0.169
2458338.64507,bg,V,13.755,0.02246,12.081,0.25
2458143.85825,bh,V,13.835,0.02336,10.346,0.222
2457862.79701,bg,V,13.891,0.02316,10.65,0.227
