g_date,g-r_val,g_mag,g-r_magerr,g_magerr,r_date,r_mag,r_magerr
58242.4753704,2.583264581949191,19.851189881949193,0.10077776185700531,0.0983652398,58242.4753704,17.2679253,0.0219188705
58244.4896065,2.5834789426708795,19.814529442670878,0.09859887374309811,0.0961873904,58244.4896065,17.2310505,0.0216731131
58246.4459028,2.6047546938940336,19.885812093894035,0.10280474142860378,0.100421377,58246.4459028,17.2810574,0.0220082235
58252.4883218,2.4721842116407586,19.818146711640757,0.09904956269563275,0.0964684486,58252.4883218,17.3459625,0.0224645119
58254.4695023,2.530033274867179,19.76509687486718,0.0959551556115368,0.0934693739,58254.4695023,17.2350636,0.0216994938
58259.4483333,2.503998985323534,19.754727585323533,0.09537701173212731,0.0928514376,58259.4483333,17.2507286,0.0218033232
58262.387581,2.4432453943912265,19.723394894391227,0.09386842393458215,0.091253452,58262.387581,17.2801495,0.0220020115
58263.4286806,2.5065406715124894,19.81799737151249,0.09892414048701645,0.0963966176,58263.4286806,17.3114567,0.0222188588
58268.4568056,2.313784758636178,19.64620125863618,0.0900004710540641,0.0871767849,58268.4568056,17.3324165,0.0223672297
58269.4246644,2.621563964371422,19.900916164371424,0.10374083452841029,0.10138201,58269.4246644,17.2793522,0.0219965633
58270.4333681,2.7091647706130324,19.92390747061303,0.10500687894901392,0.102768272,58270.4333681,17.2147427,0.0215668008
58271.4237384,2.6017678030780225,19.829974403078023,0.09954070359992298,0.097088784,58271.4237384,17.2282066,0.0219572242
58271.4242014,2.6501027482413875,19.829929448241387,0.09947105762345124,0.097088784,58271.4242014,17.1798267,0.0216393005
58271.4533796,2.5548262002414823,19.827096400241484,0.09938953727177681,0.0969358087,58271.4533796,17.2722702,0.0219483282
58272.4729861,2.3965800861361686,19.74053228613617,0.09480137734276647,0.0921048224,58272.4729861,17.3439522,0.0224500075
58273.4229861,2.4507812837510734,19.822189783751075,0.09922899670323672,0.0966093093,58273.4229861,17.3714085,0.0226502791
58274.4710417,2.606658413150388,19.901563113150388,0.10376356324516076,0.10138201,58274.4710417,17.2949047,0.0221035089
58275.4072801,2.544974164338768,19.83496556433877,0.09987119680917345,0.0974022076,58275.4072801,17.2899914,0.0220695697
58276.4547685,2.603457504289345,19.914137904289344,0.10450766298378152,0.102119617,58276.4547685,17.3106804,0.0222134069
58277.4027083,2.5636359605406795,19.96019856054068,0.10749168443016213,0.105037585,58277.4027083,17.3965626,0.0228378624
58278.4502199,2.601397014007233,20.019135014007233,0.11128932169146905,0.108886935,58278.4502199,17.417738,0.0229988806
58280.3647454,2.512420233417785,19.793456633417787,0.09751652564790364,0.0950006172,58280.3647454,17.2810364,0.0220080782
58281.4534144,2.483410527920501,19.7699286279205,0.09633803988603254,0.0937816948,58281.4534144,17.2865181,0.0220456719
58282.4515046,2.5827480552167295,19.95154535521673,0.1069144143456269,0.104491763,58282.4515046,17.3687973,0.0226310287
58283.3917245,2.5862637331423386,19.948888833142338,0.10672507091357747,0.104307845,58283.3917245,17.3626251,0.0225857086
58285.4131019,2.50947924651728,19.75317354651728,0.09536632641725966,0.0928514376,58285.4131019,17.2436943,0.0217565335
58287.4496759,2.559106498492035,19.838880198492035,0.10011023474465877,0.097663112,58287.4496759,17.2797737,0.0219994467
58288.4531713,2.535711252702054,19.846565252702053,0.10057976761581186,0.0980958715,58288.4531713,17.310854,0.0222146269
58289.4506713,2.4867857577306474,19.776399457730648,0.09661220731082686,0.0940583199,58289.4506713,17.2896137,0.0220669676
58290.3852662,2.5602387638320216,19.809994663832022,0.09848387330465577,0.096041508,58290.3852662,17.2497559,0.0217968356
58291.4765741,2.5427219944671293,19.76378369446713,0.09593446754011924,0.0934693739,58291.4765741,17.2210617,0.0216078274
58292.4671181,2.578189443982165,19.855886043982164,0.10106332534976728,0.0986430123,58292.4671181,17.2776966,0.0219852645
58293.4775926,2.6209319000080917,19.966158200008092,0.10778815103290901,0.10542234,58293.4775926,17.3452263,0.0224592015
58294.4668171,2.6015399492320626,19.95834384923206,0.10730585017840205,0.104911156,58294.4668171,17.3568039,0.022543177
58296.3503819,2.49377099802172,19.76257749802172,0.09582407273681434,0.0932081044,58296.3503819,17.2688065,0.0222374052
58296.3508449,2.5360638850971426,19.76258828509714,0.09575684086439276,0.0932081044,58296.3508449,17.2265244,0.0219458845
58296.3675463,2.522430197975737,19.76297739797574,0.0959633468462084,0.0934693739,58296.3675463,17.2405472,0.0217356868
58297.4165856,2.4670617455597714,19.787418145559773,0.09726058568470553,0.094673939,58297.4165856,17.3203564,0.022281535
58301.405,2.4657091604637387,19.74820656046374,0.09519148844150747,0.0926100612,58301.405,17.2824974,0.0220180843
58301.4059144,2.49010109577139,19.74819209577139,0.09522493623671237,0.0926100612,58301.4059144,17.258091,0.0221622437
58301.4091319,2.4816788988469796,19.74814119884698,0.09523860219397513,0.0926100612,58301.4091319,17.2664623,0.0222208891
58302.3822454,2.4914757305560933,19.732747730556092,0.1059989250423384,0.103745475,58302.3822454,17.241272,0.0217404813
58303.3680324,2.618928849191871,19.95041074919187,0.10682070428229697,0.104454145,58303.3680324,17.3314819,0.0223605558
58304.3857176,2.6470958082609926,20.03712000826099,0.11253877348143249,0.110207304,58304.3857176,17.3900242,0.0227887183
58305.3946875,2.616458493914269,19.98880729391427,0.10918881694354697,0.106812209,58305.3946875,17.3723488,0.022657223
58310.4072917,2.5038102996848117,19.730954499684813,0.09419661492981399,0.0916754454,58310.4072917,17.2271442,0.0216475166
58312.4053241,2.619369737842444,19.831836937842443,0.09959633718681371,0.0972365066,58312.4053241,17.2124672,0.0215520803
58313.3918171,2.483880725504431,19.76897592550443,0.09620692836769248,0.0936493054,58313.3918171,17.2850952,0.0220358949
58314.4259838,2.4327807907800505,19.82182269078005,0.09925899939708212,0.0966093093,58314.4259838,17.3890419,0.022781359
58315.3616319,2.5661979988271177,19.928918498827116,0.10551662265012836,0.103070907,58315.3616319,17.3627205,0.0225864071
58316.3475231,2.462550892981639,19.848098492981638,0.10076963022882421,0.0981667861,58316.3475231,17.3855476,0.0227552298
58318.3656829,2.5255248248600246,19.841259724860024,0.10025360497666029,0.0977536216,58318.3656829,17.3157349,0.0222489275
58320.3920949,2.5320087569089367,19.990562056908935,0.10932773512303129,0.106812209,58320.3920949,17.4585533,0.0233174972
58322.4019676,2.5142216203870014,19.861916020387003,0.1014832041506186,0.0989627391,58322.4019676,17.3476944,0.0224770326
58323.4709838,2.456760909769347,19.748573809769347,0.09520632398135324,0.0926100612,58323.4709838,17.2918129,0.0220821351
58324.4785185,2.578644534826335,19.925411934826336,0.10527495109499639,0.102848917,58324.4785185,17.3467674,0.0224703271
58325.2762037,2.2604221573042693,19.65590325730427,0.09011652112220216,0.0871767849,58325.2762037,17.3954811,0.0228297077
58333.3248032,2.447734995288915,19.723455595288915,0.09386134574310141,0.091253452,58333.3248032,17.2757206,0.0219717938
58333.3534491,2.5787852450489943,19.727569845048993,0.09389553182659871,0.0914140046,58333.3534491,17.1487846,0.0214441288
58333.353912,2.570779828776047,19.727636328776047,0.0939069889464625,0.0914140046,58333.353912,17.1568565,0.0214942396
58334.3493171,2.407049637549239,19.62514353754924,0.09881996950951356,0.0964329913,58334.3493171,17.2180939,0.0215885285
58334.4068634,2.478011259451087,19.631945759451085,0.0893145763579437,0.0866941363,58334.4068634,17.1539345,0.0214760397
58334.4073148,2.4751769168865145,19.631999116886515,0.08931890188165238,0.0866941363,58334.4073148,17.1568222,0.0214940216
58335.36375,2.487914699995944,19.745053899995945,0.09491788159630975,0.0922959,58335.36375,17.2571392,0.0221556108
58335.364213,2.5417013286017394,19.745108628601738,0.0948336984020497,0.0922959,58335.364213,17.2034073,0.0217921361
58336.3482639,2.5439057738270705,19.92918257382707,0.10555245162359618,0.103070907,58336.3482639,17.3852768,0.0227532014
58336.3628009,2.6649595204798224,19.92920362047982,0.10543570076515675,0.103070907,58336.3628009,17.2642441,0.022205295
58336.3632523,2.6154110740162437,19.929204274016243,0.10551154683687938,0.103070907,58336.3632523,17.3137932,0.0225626826
58344.4278819,2.4834528815630748,19.847743081563074,0.100734222345735,0.0981667861,58344.4278819,17.3642902,0.0225979127
58345.3354167,2.5541767607032284,19.874542660703227,0.10221315580209091,0.0997549966,58345.3354167,17.3203659,0.0222816039
58345.3701157,2.649500725098111,19.87556732509811,0.10218637677136437,0.0998026505,58345.3701157,17.2260666,0.0219428018
58347.4121065,2.546244170139108,19.921804970139107,0.1050836412587279,0.102606751,58347.4121065,17.3755608,0.022680968
58349.3212384,2.5037642780361082,19.79681697803611,0.09780988014631829,0.0952825993,58349.3212384,17.2930527,0.0220906977
58350.37375,2.4683455073779363,19.732982507377937,0.10603106461197571,0.103745475,58350.37375,17.264637,0.0218966454
58351.3631019,2.452777370832589,19.76380107083259,0.09607323449680798,0.0934693739,58351.3631019,17.3110237,0.0222158171
58352.2896644,2.4495483239069955,19.792806223906997,0.09761605994256757,0.0950006172,58352.2896644,17.3432579,0.022444997
58352.3129282,2.612279371273768,19.79353467127377,0.09743599298713061,0.0950006172,58352.3129282,17.1812553,0.0216484517
58360.3024884,2.478400417117218,19.795565817117218,0.09770016089527098,0.0951307416,58360.3024884,17.3171654,0.0222590081
58361.2398032,2.4234706948024254,19.773335694802427,0.09665241422308427,0.0939987525,58361.2398032,17.349865,0.0224927478
