g_date,g-r_val,g_mag,g-r_magerr,g_magerr,r_date,r_mag,r_magerr
58242.4749074,1.8760707487743922,18.604130548774393,0.053802654576396526,0.0497466624,58242.4749074,16.7280598,0.0204937849
58244.4900694,1.826290902391289,18.48702320239129,0.051207728897542305,0.0470676534,58244.4900694,16.6607323,0.0201709569
58246.4454398,1.746713010401308,18.409798910401307,0.04971816583179872,0.0454376936,58246.4454398,16.6630859,0.0201819725
58247.4508333,1.793262772607033,18.506393772607034,0.06375355140051235,0.0603945926,58247.4508333,16.713131,0.020420786
58254.4685648,1.8163481926056448,18.536532492605645,0.0523400843851854,0.0481774881,58254.4685648,16.7201843,0.0204551723
58263.4262384,1.8074177793602182,18.45455447936022,0.050565897522715154,0.0463960059,58263.4262384,16.6471367,0.0201077256
58267.3815972,1.7549798516202841,18.493419451620284,0.05149752513103685,0.0472217835,58267.3815972,16.7384396,0.02054503
58268.4563426,1.7361455240638861,18.404522424063885,0.04963560517509916,0.0453362837,58268.4563426,16.6683769,0.0202067979
58269.4242014,1.7486489022985445,18.499785702298546,0.051643066904966874,0.047352992,58269.4242014,16.7511368,0.0206082631
58270.4343171,1.6862508958729592,18.37802149587296,0.04926561948514878,0.0448808447,58270.4343171,16.6917706,0.0203177519
58271.4237384,1.8991626041873744,18.612097104187374,0.05314066195697719,0.0499155894,58271.4237384,16.7129345,0.0182308499
58271.4242014,1.8903400642870842,18.612214264287083,0.053155540328719796,0.0499155894,58271.4242014,16.7218742,0.0182741731
58271.4543171,1.890289308865981,18.619834908865982,0.05415086014227991,0.0501200631,58271.4543171,16.7295456,0.0205010958
58272.4573495,1.8150679112027213,18.48775161120272,0.05126015322042515,0.0471006222,58272.4573495,16.6726837,0.0202270783
58273.4220486,1.79583133895677,18.48326263895677,0.0511979477895249,0.0470027737,58273.4220486,16.6874313,0.0202970225
58274.4714931,1.823455433224705,18.528186433224704,0.05212224779243058,0.0479727164,58274.4714931,16.704731,0.0203800686
58275.4054051,1.7621475169325613,18.45030741693256,0.050568291761770356,0.0463145971,58275.4054051,16.6881599,0.0203004982
58276.4538194,1.8004908500567467,18.545430650056748,0.05256481552714513,0.0483697578,58276.4538194,16.7449398,0.0205773264
58277.4002662,1.7661109727720294,18.41857867277203,0.04989233875368077,0.0456500836,58277.4002662,16.6524677,0.0201324448
58278.4469907,1.8508267037862787,18.58237690378628,0.05333731694101548,0.0492358543,58278.4469907,16.7315502,0.0205109734
58279.4076505,1.7987177334709905,18.51210043347099,0.051828875053899,0.0476358458,58279.4076505,16.7133827,0.0204220098
58280.3638079,1.764415278065556,18.434779678065556,0.050233329042094876,0.0459858105,58280.3638079,16.6703644,0.0202161465
58281.4505787,1.8748023903343274,18.60702969033433,0.053810477250293975,0.0497466624,58281.4505787,16.7322273,0.0205143131
58282.4529514,1.7967306617734877,18.431854861773488,0.05009147626273941,0.0459026992,58282.4529514,16.6351242,0.0200523864
58283.3907755,1.8121672991539342,18.555058599153934,0.05278242435878294,0.0486104675,58283.3907755,16.7428913,0.0205671284
58287.4492245,1.809088743172417,18.49551874317242,0.051436307551916326,0.047264345,58287.4492245,16.68643,0.0202922504
58288.4536343,1.799473500097978,18.538483400097977,0.05242283786053623,0.0482279956,58288.4536343,16.7390099,0.0205478556
58289.4511343,1.8023837377560703,18.47425873775607,0.05097676414680146,0.0467936955,58289.4511343,16.671875,0.0202232674
58290.3843171,1.8209424722222103,18.55976537222221,0.05286882868638057,0.0487127975,58290.3843171,16.7388229,0.0205469318
58291.4775926,1.866259558096214,18.559843958096213,0.052783527495731,0.0487127975,58291.4775926,16.6935844,0.0203264393
58292.4666551,1.8088233347242415,18.46688913472424,0.05082169645130056,0.0466527529,58292.4666551,16.6580658,0.0201585088
58293.4790278,1.824024372067857,18.551166672067858,0.052659327574870955,0.0485097356,58293.4790278,16.7271423,0.0204892736
58294.4663657,1.7422168974883157,18.395937797488315,0.04945452766550582,0.0451685786,58294.4663657,16.6537209,0.0201382674
58296.336713,1.7656675890622857,18.475739189062285,0.051090102915445385,0.0468379855,58296.336713,16.7100716,0.0204059239
58296.3503819,1.816425494781246,18.476322394781246,0.05017604768463041,0.0468438268,58296.3503819,16.6598969,0.0179803129
58296.3508449,1.7822465494246913,18.476342149424692,0.05023370825427204,0.0468438268,58296.3508449,16.6940956,0.0181405991
58298.4259491,1.6613098290056563,18.374343529005657,0.049150191041439514,0.0447074063,58298.4259491,16.7130337,0.020420311
58298.4378819,1.691184046048189,18.373696346048188,0.04822704991320162,0.0447074063,58298.4378819,16.6825123,0.0180858001
