g_date,g-r_val,g_mag,g-r_magerr,g_magerr,r_date,r_mag,r_magerr
58242.4749074,0.8641871563221049,14.119562056322104,0.021720303498705015,0.0161403306,58242.4749074,13.2553749,0.014534831
58244.4900694,0.834787772575547,14.128924772575546,0.021721032560405532,0.0161441993,58244.4900694,13.294137,0.0145316236
58246.4454398,0.8389474504942154,14.124236250494215,0.02172005251219983,0.0161422435,58246.4454398,13.2852888,0.0145323314
58247.4508333,0.8279967200613232,14.112610320061323,0.021716565836168544,0.0161375031,58247.4508333,13.2846136,0.0145323854
58254.4685648,0.843644176077035,14.107105276077036,0.02171614368366375,0.0161353555,58254.4685648,13.2634611,0.0145341391
58263.4262384,0.829485281462734,14.119658781462734,0.021718473087956092,0.0161404721,58263.4262384,13.2901735,0.0145319384
58267.3815972,0.7541202509767526,14.116681450976753,0.021714027706784156,0.0161392353,58267.3815972,13.3625612,0.014526668
58268.4563426,0.840084724567383,14.115174024567382,0.02171791734834085,0.0161386207,58268.4563426,13.2750893,0.014533164
58269.4242014,0.8507411231273103,14.10368602312731,0.021715760901950293,0.0161340274,58269.4242014,13.2529449,0.0145350415
58270.4343171,0.840378743516693,14.093240743516693,0.021712719497325325,0.0161299277,58270.4343171,13.252862,0.014535048
58271.4237384,0.8298906402369131,14.077056340236913,0.02236627635911242,0.0161238685,58271.4237384,13.2471657,0.0155006833
58271.4242014,0.8362687406781486,14.077048640678148,0.022368738870386276,0.0161238685,58271.4242014,13.2407799,0.0155042363
58271.4543171,0.8070795251196898,14.07654782511969,0.02170690498464879,0.0161233768,58271.4543171,13.2694683,0.0145336315
58272.4573495,0.8743588286980852,14.139493628698085,0.02172589841872855,0.01614861,58272.4573495,13.2651348,0.0145339966
58273.4220486,0.8460347361628671,14.127205536162867,0.021721150477963812,0.0161434207,58273.4220486,13.2811708,0.0145326648
58274.4714931,0.9194979128299643,14.140417512829965,0.02172867615308619,0.0161488205,58274.4714931,13.2209196,0.0145379147
58275.4054051,0.865480157710456,14.138388357710456,0.02172498528147953,0.0161479674,58275.4054051,13.2729082,0.0145333456
58276.4538194,0.8692392171479693,14.123116817147968,0.021721458676713046,0.0161417685,58276.4538194,13.2538776,0.0145349605
58277.4002662,0.8674040076279823,14.101504307627982,0.0217162553384281,0.0161331892,58277.4002662,13.2341003,0.0145367105
58278.4469907,0.8761159756329189,14.13664927563292,0.021725382001518533,0.0161475632,58278.4469907,13.2605333,0.0145343877
58279.4076505,0.8607754506676848,14.119137250667684,0.021720014488885525,0.0161401723,58279.4076505,13.2583618,0.0145345749
58280.3638079,0.8393251596047193,14.10101625960472,0.024748664589580565,0.0200312473,58280.3638079,13.2616911,0.0145342881
58281.4505787,0.8441551061312573,14.102206006131258,0.021714843310330325,0.0161331892,58281.4505787,13.2580509,0.014534601
58282.4529514,0.8701882824455023,14.130233382445502,0.021723316879850917,0.0161447469,58282.4529514,13.2600451,0.0145344296
58283.3907755,0.8375028714948751,14.105874471494875,0.021715553459857647,0.0161349345,58283.3907755,13.2683716,0.0145337246
58287.4492245,0.8654832181897909,14.11930171818979,0.021720344853331592,0.0161402654,58287.4492245,13.2538185,0.0145349652
58288.4536343,0.8170247244337627,14.101775624433763,0.021713352888299453,0.0161331892,58288.4536343,13.2847509,0.0145323742
58289.4511343,0.8717907919151973,14.123471191915197,0.021721845322950524,0.0161421169,58289.4511343,13.2516804,0.0145351514
58290.3843171,0.9243590501656076,14.134314250165607,0.021727668506973528,0.0161465406,58290.3843171,13.2099552,0.014538941
58291.4775926,0.8464358758383081,14.097229375838308,0.021714040967847813,0.0161315445,58291.4775926,13.2507935,0.0145352278
58292.4666551,0.8312163566499411,14.113908356649942,0.02171717096686499,0.0161381774,58292.4666551,13.282692,0.0145325409
58293.4790278,0.8552933103325007,14.1189814103325,0.02476488676502346,0.0200514086,58293.4790278,13.2636881,0.0145341195
58294.4663657,0.8697179673293682,14.100224867329368,0.021716134643674074,0.0161327347,58294.4663657,13.2305069,0.0145370346
58296.336713,0.860065901583738,14.132944501583738,0.02172345534430353,0.0161459073,58296.336713,13.2728786,0.0145333475
58296.3503819,0.8708678237023264,14.133183623702326,0.02237635376387421,0.0161459073,58296.3503819,13.2623158,0.0154922847
58296.3508449,0.8838631233694585,14.133191723369459,0.022381336729729848,0.0161459073,58296.3508449,13.2493286,0.015499481
58298.4259491,0.8494193968476687,14.09914279684767,0.021714693460485775,0.016132338,58298.4259491,13.2497234,0.0145353219
58298.4378819,0.848907277059924,14.099275377059923,0.02237115039613216,0.016132338,58298.4378819,13.2503681,0.0154989045
58299.4114005,0.8672719248516714,14.09934852485167,0.021715745150459216,0.016132338,58299.4114005,13.2320766,0.014536893
58300.3982639,0.8876496286232598,14.13939292862326,0.021726391765476614,0.0161482394,58300.3982639,13.2517433,0.0145351458
