mjd,mag,magerr
58206.5220949,19.8480778,0.098171398
58208.5127083,19.5439892,0.0823332667
58210.5165278,19.5867119,0.0843337923
58211.4911921,19.6374016,0.0867979527
58211.507963,19.151453,0.0668553039
58228.4905208,19.8259544,0.0968864337
58231.4428819,19.728796,0.0915003568
58231.4882986,19.932991,0.103313796
58232.5059491,19.6064339,0.0852806643
58234.4664352,19.7518902,0.0927435309
58235.4298495,19.8005123,0.0954360366
58236.4288079,19.7004261,0.0900039375
58242.4516782,19.9324093,0.1032774
58246.4710995,19.7846527,0.0945464373
58247.4914815,19.8657722,0.0992151797
58252.4708565,19.891634,0.100766823
58254.4434954,19.7973518,0.0952578858
58255.4345486,19.9354782,0.103469551
58258.4731481,19.8057289,0.0957310796
58261.4692593,19.613121,0.085605152
58262.4438542,19.8314247,0.0972020999
58263.4476736,19.8409367,0.0977541804
58266.4694792,19.5718021,0.0836278275
58268.4714468,19.6727715,0.0885773748
58269.446713,19.8799572,0.100062385
58270.4528356,19.6975746,0.0898553878
58272.4050579,19.6289406,0.0863796473
58273.4631944,19.8288898,0.097055696
58274.4028472,19.8193321,0.0965061262
58275.4486921,19.8956032,0.101007767
58276.411412,19.8160686,0.0963194072
58277.4530093,19.9122276,0.102024868
58278.4071296,19.8553829,0.0986005813
58279.4508796,19.9434795,0.103972733
58280.4296181,19.9090462,0.101829261
58281.4036806,19.8692379,0.0994212776
58282.4034606,19.7335949,0.0917567834
58283.4302083,19.9037437,0.101504199
58285.4292245,19.9990997,0.107557498
58286.4277199,19.9390984,0.103696838
58288.4087963,19.7518063,0.0927389264
58289.4098727,19.8318329,0.097225666
58290.4258333,19.8871365,0.100494713
58291.4249653,19.9299469,0.103123508
58292.4267245,19.8492928,0.0982425958
58293.4572222,19.8729839,0.0996446833
58294.4538889,19.9988327,0.107539915
58295.3846644,19.75317,0.0928130448
58298.475625,19.5596085,0.0830566883
58300.4754745,19.5517273,0.082690537
58301.3275579,19.896389,0.101055533
58303.4261343,19.7901917,0.0948558524
58304.4356481,19.7770767,0.0941253975
58305.4477083,19.7657166,0.0934986994
58307.3414583,19.7927399,0.0949986801
58310.3416435,19.7030697,0.0901419818
58311.3646875,19.9616337,0.105126008
58312.3712963,19.8344498,0.097377263
58313.3654398,19.7688828,0.0936727971
58314.3875116,19.8962269,0.101045683
58315.4066435,19.8106174,0.0960086659
58315.4364931,19.8954582,0.115326114
58315.4369444,19.7942753,0.108000576
58316.3914352,19.6645622,0.0881599113
58317.3854977,19.7588463,0.0931224301
58318.4135417,19.9552631,0.104719482
58319.3925116,19.7743053,0.0939719826
58320.4527431,19.8528099,0.0984490961
58321.4154514,19.918354,0.102403075
58322.4350347,19.8494129,0.0982496664
58323.3736458,19.8102894,0.109131522
58323.3740972,19.6900234,0.100900598
58323.4326042,19.8649673,0.0991673917
58324.4269676,20.0082798,0.10816399
58325.4242477,19.5117855,0.08087001
58327.4476968,19.6396255,0.086908333
58329.4038542,19.8792,0.100016929
58329.4503009,19.8794537,0.114139177
58330.4451505,19.7788887,0.0942258686
58332.4535995,19.8521519,0.0984104201
58334.3090856,19.7378635,0.0919857249
58336.2712269,19.9363308,0.118405074
58336.2899421,19.7274742,0.103398666
58336.2939236,19.8822536,0.100200377
58337.3688657,19.7823296,0.0944170505
58338.3657523,19.9625168,0.105182536
58343.3891782,19.8248959,0.0968255103
58344.3462153,19.8906326,0.100706153
58346.3218866,19.8696156,0.0994438007
58347.3486574,19.7937489,0.0950552747
58348.3465278,19.8527145,0.0984434858
58349.370463,19.8565292,0.0986681059
58350.3058449,19.6073513,0.095593676
58350.3506713,19.79105,0.0949039161
58351.4113079,19.8219872,0.0966583565
58352.3626505,19.7530937,0.0928088948
58360.1695139,19.8798752,0.100057438
58361.2225926,19.6316605,0.0865138248
58362.2448727,19.7697773,0.093722038
58363.3022454,19.8744965,0.0997351035
58363.3480556,19.722374,0.10305503
58364.2564699,19.7901497,0.0948535129
58365.2890278,19.8793831,0.100027874
58366.2611921,19.9455605,0.104104139
58367.2833333,19.950716,0.104430564
58368.2662731,19.8533707,0.0984821245
58369.2889352,19.9518471,0.10450235
58370.2381366,19.8157902,0.0963035375
58371.2665972,19.8647938,0.0991570652
58372.2694097,19.8619843,0.0989904702
58373.2658912,19.952404,0.104537696
58374.2610069,19.8725128,0.0996165648
58374.2907292,19.8720398,0.113592826
58377.2680787,19.8578758,0.0987475887
58378.3097106,19.9134865,0.102102421
58379.2033912,19.9228897,0.117384963
58379.3262037,19.9336395,0.10335438
58380.3415856,19.8127499,0.0961300358
58381.2413773,19.8038559,0.108675942
58382.1970602,19.8850479,0.100368686
58382.2294676,19.8181171,0.109688312
58383.2208681,19.8454056,0.098014988
58383.2609722,19.8018761,0.108536035
58384.2537384,20.309269,0.130544007
58384.287581,19.9096756,0.116389409
58385.1458218,19.8413544,0.0977785587
58387.2464236,19.7121716,0.102370806
58387.2520255,20.1004753,0.114495061
58388.1312963,19.7533684,0.0928238705
58389.1513426,19.8707695,0.0995125696
58390.164919,19.9238186,0.10274189
58400.1415162,19.935009,0.103440173
58425.1518056,19.9794693,0.106274836
58426.152037,19.8392792,0.0976577029
58428.1698843,19.836731,0.0975095704
58429.1828241,19.8604965,0.0989024267
58430.1289468,19.882555,0.100218534
58431.0822454,19.7829247,0.107205406
58431.1125926,19.8347321,0.0973935649
58432.1806829,19.8220596,0.0966625288
58433.1409028,19.9332771,0.103331693
58434.1290162,19.868721,0.0993904769
58435.1789468,19.8783226,0.0999642834
58436.149456,19.7273312,0.0914222598
58437.219213,19.8625603,0.0990245864
58457.11125,20.0348701,0.109944813
58469.1152662,19.6578102,0.0878185779
58482.1193981,19.6801548,0.0889552087
58483.1081134,19.9412384,0.103831485
58568.4534144,19.7016163,0.0900660753
