mjd,mag,magerr
58216.5127083,16.6637306,0.0186872333
58217.4916319,16.67033,0.018714847
58217.5144329,16.6614819,0.0186778512
58218.4938542,16.6603642,0.0186731983
58218.5182986,16.7131386,0.0188974105
58242.4753704,16.6720161,0.0187219232
58244.4896065,16.6683636,0.018706603
58246.4459028,16.6384544,0.0185827389
58247.4503704,16.6864147,0.0187827367
58252.4883218,16.6728058,0.0187252387
58254.4695023,16.7496414,0.0190579128
58255.4709606,16.6974277,0.0188297108
58256.4712037,16.6987,0.0188351609
58257.4319097,16.6742134,0.0187311601
58257.4741319,16.713726,0.0188999586
58258.4518866,16.6706848,0.0187163334
58259.4483333,16.6749592,0.0187343005
58262.387581,16.6434288,0.0186031442
58263.4286806,16.639782,0.0185881797
58266.3629167,16.6968651,0.0188273005
58268.4568056,16.6638336,0.0186876599
58269.4246644,16.6768894,0.018742431
58270.4333681,16.7777996,0.0191848669
58271.4237384,16.6387634,0.0190719981
58271.4242014,16.6213493,0.0190145597
58271.4533796,16.6747818,0.0187335517
58272.4729861,16.67383,0.0187295489
58273.4229861,16.728199,0.0189630836
58274.4710417,16.6770401,0.0187430661
58275.4072801,16.7080612,0.0188754424
58276.4547685,16.7080612,0.0188754424
58277.4027083,16.7099915,0.0188837834
58278.4502199,16.7013016,0.0188463256
58280.3647454,16.7386627,0.0190091617
58281.4534144,16.6964149,0.0188253727
58282.4515046,16.6636467,0.0186868776
58283.3917245,16.7602539,0.0191054326
58285.4131019,16.6835384,0.0187705383
58287.4496759,16.6815605,0.0187621582
58288.4531713,16.6770248,0.0187430028
58289.4506713,16.7423096,0.019025309
58290.3852662,16.7030582,0.0188538805
58291.4765741,16.6746063,0.0187328141
58292.4671181,16.6682854,0.0187062733
58293.4775926,16.6946869,0.0188179836
58294.4668171,16.6973,0.018829165
58296.3503819,16.6991119,0.0192815289
58296.3508449,16.7327003,0.0194054227
58296.3675463,16.7404976,0.0190172791
58297.4165856,16.6989632,0.0188362915
58298.4254977,16.6700516,0.0187136773
58298.4378819,16.6221962,0.0190173183
58299.4109375,16.7170296,0.0189143047
58300.3987269,16.6388416,0.0185843259
58301.405,16.6809425,0.0187595449
58301.4059144,16.6431694,0.0190867428
58301.4091319,16.6625137,0.0191524941
58302.3822454,16.660696,0.0186745785
58303.3680324,16.6789627,0.0187511779
58304.3857176,16.7044106,0.0188596956
58305.3946875,16.7110176,0.0188882239
58307.3917593,16.704464,0.0188599285
58310.4072917,16.7094345,0.0188813768
58312.4053241,16.745842,0.0190409962
58313.3918171,16.6926117,0.0188091211
58314.4259838,16.6836929,0.0187711883
58315.3616319,16.7605038,0.0191065576
58316.3475231,16.6995239,0.0188386962
58318.3656829,16.7490616,0.0190553255
58320.3920949,16.7379837,0.0190061629
58322.4019676,16.6981506,0.0188328065
58323.4709838,16.7532501,0.0190740284
58324.4785185,16.710537,0.0188861452
58325.2762037,16.7608128,0.0191079453
58326.4156366,16.73666,0.0190003123
58327.3429514,16.6273651,0.0185375307
58327.3751157,16.6116562,0.0189831518
58328.3740625,16.731493,0.0194008742
58328.3745139,16.7335129,0.0194084831
58329.3665741,16.6712875,0.0187188648
58330.3615278,16.7053986,0.0188639536
58330.3949769,16.6325703,0.0190514121
58330.3954398,16.6513939,0.0191144962
58332.3310417,16.7202759,0.0189284384
58332.3632639,16.5990944,0.0189430602
58332.3637269,16.6276836,0.0190352965
58333.3248032,16.7183094,0.018919874
58333.3534491,16.6321907,0.0190501604
58333.353912,16.658226,0.0191377774
58334.3493171,16.7191887,0.0189236999
58334.4068634,16.6758175,0.0191986915
58334.4073148,16.6956577,0.0192690846
58335.36375,16.6280136,0.0190363806
58335.364213,16.6162243,0.0189979002
58336.3482639,16.7128448,0.0188961383
58336.3628009,16.6429291,0.0190859344
58336.3632523,16.6405544,0.019077979
58342.3439236,16.7242908,0.0189459659
58343.3421412,16.6633263,0.0186855402
58344.4278819,16.8449173,0.0194989592
58345.3354167,16.6979294,0.0188318621
58345.3701157,16.621357,0.0190145802
58347.4121065,16.7794342,0.0191923212
58349.3212384,16.7540092,0.0190774258
58350.37375,16.7307014,0.0189740695
58351.3631019,16.7070751,0.0188711882
58352.2896644,16.7140274,0.0189012662
58352.3129282,16.6518211,0.0191159416
58353.2161921,16.6443481,0.0186069235
58353.3083796,16.5811424,0.0188869238
58353.3797222,16.7225342,0.0189382937
58354.2690856,16.7998428,0.019286206
58354.3086111,16.6787701,0.0192090552
58354.3898958,16.7351017,0.0189934373
58355.2808565,16.7125931,0.0188950431
58355.3067708,16.6716442,0.0191841125
58355.4265278,16.7177963,0.0189176388
58356.2794792,16.6851845,0.0187775139
58356.3109838,16.6225662,0.0190185234
58357.3148727,16.766449,0.0191333573
58358.2320139,16.6980972,0.0188325774
58359.3015509,16.6921673,0.0188072249
58359.3452199,16.7195702,0.0189253613
58360.3024884,16.817112,0.0193668306
58361.2398032,16.7098122,0.0188830104
58362.3239352,16.7475166,0.0190484431
58363.2651968,16.7747326,0.0191709027
58364.3015856,16.7003994,0.018842455
58365.2015972,16.7438507,0.0190321468
58366.3288542,16.7110519,0.0188883711
58367.3248727,16.7434692,0.0190304536
58368.2873148,16.7328987,0.0189837329
58368.3259954,16.6829147,0.0192236621
58369.1924537,16.6895905,0.0187962409
58370.2827315,16.772583,0.0191611387
58371.3049537,16.7033501,0.0188551359
58372.309294,16.7050552,0.0188624728
58373.2834491,16.8027992,0.0192999337
58374.3245255,16.7179031,0.0189181045
58375.1915972,16.7226353,0.0189387295
58376.2045139,16.7609367,0.0191085041
58377.1250347,16.6258068,0.0190291349
58377.2866088,16.6663837,0.0186983142
58378.2709375,16.6816082,0.0192190465
58378.2799306,16.7499123,0.0190591197
58379.2751157,16.7786121,0.019188568
58379.2893866,16.671524,0.0191836935
58382.1659838,16.7069283,0.0188705474
58383.3101968,16.7141647,0.0189018603
58384.1853241,16.7267609,0.0189567767
58385.2262963,16.698246,0.0188332144
58386.2543634,16.815712,0.0193602555
58386.2687847,16.7504539,0.0194730759
58387.1653588,16.7179832,0.0189184528
58388.2395602,16.7102413,0.0188848656
58389.241088,16.7962856,0.0192697346
58389.2879282,16.7333088,0.0194077138
58390.1708565,16.7030144,0.0188536886
58400.1945602,16.7258091,0.01895261
58423.1097338,16.7847023,0.0192164108
58425.120463,16.720005,0.0189272575
58429.0831366,16.6705475,0.019180296
58430.1769907,16.7331543,0.0189848561
58431.1448958,16.7653008,0.0191281717
58433.0831134,16.6650124,0.0191611107
58433.1168866,16.6984653,0.0188341551
58437.2608333,16.7855225,0.0192201734
58439.2184491,16.7445107,0.0190350786
58439.2291088,16.7934875,0.0192568116
58441.2297338,16.6920643,0.0188067853
58443.0756713,16.632576,0.0190514345
58456.1383102,16.7296066,0.0189692564
58472.0979282,16.7087307,0.0188783333
58474.1417708,16.747818,0.0190497879
58475.1558102,16.6742764,0.0187314246
58482.1022917,16.8074265,0.0193214752
58575.4650579,16.8307323,0.0194311943
58582.4700463,16.7212944,0.0189328808
58588.4092593,16.8495827,0.0195214134
58591.4743866,16.8918152,0.0197284762
58593.3904977,16.6304817,0.019044511
58593.4278241,16.6598091,0.0186708868
58597.4490278,16.7459526,0.0190414861
58605.4285764,16.7321548,0.0189804602
58607.3884838,16.8698463,0.0196199007
58608.4925463,16.7213593,0.0189331621
58616.4271528,16.6494827,0.018628085
58617.4899884,16.8211594,0.0193858817
58627.4040972,16.7237663,0.018943673
58628.4088773,16.7045135,0.0188601427
58632.4696759,16.6377716,0.0185799468
58632.4842361,16.5908031,0.0189169645
58633.4299421,16.8584061,0.0195641033
58634.4251389,16.710413,0.0188856069
58635.4113194,16.6140442,0.0184837244
58636.4342245,16.9095211,0.0198173672
58637.4255093,16.7186508,0.0189213585
58638.4693171,16.6423435,0.0185986888
58639.411794,16.8458557,0.0195034686
58640.4756366,16.6936417,0.0188135188
58641.4696759,16.705368,0.018863827
58642.446794,16.809597,0.0193316117
58643.4643171,16.7356358,0.0189957935
58644.4698495,16.7278252,0.0189614445
58646.4759491,16.7133579,0.0188983623
58647.3202894,16.7393227,0.0190120842
58649.2996528,16.8616371,0.0195798129
58650.3506019,16.7311897,0.0189762134
58651.4287963,16.6304016,0.0185498726
58652.4306713,16.852747,0.0195366889
58653.4332523,16.6121483,0.0189847387
58653.4337037,16.6436577,0.0190883782
58653.4549306,16.666687,0.0186995864
58654.4077199,16.6278725,0.0190359186
58654.4081713,16.6152916,0.0189948846
58654.4322685,16.6759834,0.0187386144
58655.3645949,16.7885113,0.0196233131
58655.3650463,16.8100529,0.019711569
58657.406956,16.6984177,0.0188339502
58663.4295718,16.7660103,0.0191313736
58665.4315625,16.8911095,0.0197249576
58666.3481481,16.6784058,0.0187488291
58667.311331,16.6442719,0.0186066106
58668.3528819,16.8767204,0.0196536705
58669.4157755,16.6924362,0.0188083723
58670.3911921,16.6818142,0.018763233
58676.4790278,16.7330437,0.0189843737
58677.3081019,16.6514053,0.0186360255
58680.3221412,16.6428185,0.0186006371
58684.4541204,16.9246197,0.0198941585
58688.3788773,16.7973557,0.0192746818
58691.3666319,16.8312969,0.0194338728
58694.3486343,16.8779373,0.0196596682
58697.3925116,16.8879337,0.019709155
58700.3920486,16.8567352,0.019555999
58703.4093519,16.7908058,0.0192444492
58710.1777199,16.947855,0.0200141575
58711.1775116,16.6915855,0.0188047439
58714.1776736,16.7261238,0.0189539883
58715.2618634,16.6807098,0.0187585633
58716.2829745,16.8005962,0.0192897022
58717.2617824,16.7300205,0.01897108
58718.2834838,16.7048378,0.0188615397
58719.2624421,16.7237225,0.0189434811
58720.2832292,16.8606606,0.0195750576
58722.2622685,16.6722031,0.0187227093
58723.2867708,16.9151154,0.0198457111
58724.2868287,16.7041855,0.0188587308
58725.2607639,16.6027641,0.0184385795
58726.2622106,16.9549789,0.0200513992
58727.2869792,16.6891479,0.0187943578
58730.2624653,16.7078362,0.0188744701
58732.2611111,16.7852325,0.0192188434
58733.260706,16.7649231,0.0191264655
58734.262419,16.6981163,0.0188326575
58735.2611111,16.6862793,0.018782163
58736.2707986,16.843811,0.0194936469
58737.2854282,16.6927853,0.0188098587
58738.1597801,16.5981979,0.0184204187
58739.1585532,16.9076443,0.0198078826
58740.1597338,16.661623,0.0186784416
58741.1598727,16.6758289,0.0187379606
58743.1603125,16.7021713,0.0188500639
58744.1592361,16.6814842,0.018761836
58745.1592477,16.8348961,0.0194510091
58746.1843287,16.7072258,0.0188718364
58747.1598843,16.6900501,0.0187982004
58748.1590046,16.7256622,0.0189519674
58749.1604861,16.8171234,0.0193668846
58750.1607639,16.682888,0.0187677797
58751.1583912,16.6450806,0.0186099391
58754.1580093,16.6551399,0.0186514892
58758.166956,16.9143925,0.0198420417
58759.2021875,16.6744995,0.0187323634
58760.1594097,16.7031631,0.0188543294
58761.1583912,16.8029633,0.0193006936
58762.158125,16.7643318,0.0191237982
58763.1593866,16.7267609,0.0189567767
58770.1956134,16.6621284,0.0186805483
58776.1972222,16.7095757,0.0188819859
58779.0934144,16.7113838,0.0188898072
58785.0991204,16.7041969,0.0188587774
58790.1346065,16.8301716,0.019428527
58791.0869097,16.7807178,0.019198183
58792.1440625,16.7150116,0.0189055353
58794.1099769,16.8700142,0.0196207259
58797.0983912,16.8860035,0.0196995717
58799.2294097,16.6665993,0.0186992176
58801.2351042,16.6910629,0.018802518
58814.1335301,16.6564083,0.018656753
58838.1021412,16.7702484,0.0191505458
58944.5153125,16.8763809,0.0196520016
58955.4462847,16.662384,0.0186816119
58966.4711343,16.8097515,0.0193323344
58972.4297569,16.6938324,0.0188143309
58975.4439352,16.696434,0.0188254546
58977.4535417,16.7424812,0.0190260708
