mjd,mag,magerr
58218.4943056,17.9555359,0.0291988105
58218.51875,17.8646278,0.0279423818
58229.4540162,17.9493637,0.029110197
58242.4749074,17.8900108,0.0282828268
58244.4900694,17.922039,0.0287237503
58246.4454398,17.9341965,0.0288945138
58247.4508333,17.8637581,0.0279308651
58249.4324769,17.8899918,0.0282825679
58249.4813542,17.8278847,0.0274633095
58254.4685648,17.8974609,0.0283842552
58255.4700231,17.9489212,0.029103864
58256.4329977,17.8803406,0.0281521995
58256.4665278,17.9180908,0.0286686998
58257.4328704,17.9011955,0.028435342
58257.473669,17.8956718,0.0283598322
58258.445162,17.8191795,0.02735213
58259.4473958,17.9455471,0.0290556382
58262.3871181,17.8963432,0.028368989
58263.4262384,17.8849163,0.0282138586
58266.3633796,17.9116268,0.028579006
58267.3815972,17.9984512,0.029828893
58268.4563426,17.8735466,0.0280611124
58269.4242014,17.856142,0.0278303195
58270.4343171,17.8983688,0.0283966511
58271.4237384,17.8595085,0.027133679
58271.4242014,17.9050388,0.0277440511
58271.4543171,17.9026756,0.0284556504
58272.4573495,17.8559914,0.0278283246
58273.4220486,17.8791885,0.0281367227
58274.4714931,17.8814011,0.0281664748
58275.4054051,17.9066067,0.0285097044
58276.4538194,17.9314537,0.0288558248
58277.4002662,17.8639393,0.027933266
58278.4469907,17.9163055,0.0286438856
58279.4076505,17.8722687,0.0280440431
58280.3638079,17.8516922,0.0277718902
58281.4505787,17.9285069,0.0288143661
58282.4529514,17.9166126,0.0286481399
58283.3907755,17.8782768,0.0281244759
58285.4121644,17.9260368,0.0287796985
58287.4492245,17.9263992,0.0287847798
58288.4536343,17.9311371,0.0288513582
58289.4511343,17.9249306,0.0287641995
58290.3843171,17.8835602,0.0281955656
58291.4775926,17.8911133,0.0282977931
58292.4666551,17.9461136,0.0290637203
58293.4790278,17.8612728,0.0278979745
58294.4663657,17.8819962,0.0281744841
58296.336713,17.909687,0.0285521913
58296.3503819,17.8747902,0.0273356531
58296.3508449,17.8697109,0.0272681974
58298.4259491,17.8624687,0.0279137865
58298.4378819,17.8650341,0.0272063725
58299.4114005,17.8520508,0.0277765933
58300.3982639,17.8570862,0.0278427433
58301.4054514,17.9485588,0.0290986802
58301.4059144,17.8821678,0.0274342038
58301.4091319,17.8236427,0.026670834
58303.3689931,17.9240456,0.0287517998
58304.3852662,17.8518829,0.0277743898
58305.4089236,17.9067383,0.0285115093
58307.3922106,17.9183464,0.0286722686
58312.405787,17.8770065,0.0281074252
58313.3922685,17.9191475,0.0286834259
58314.4250347,17.8910694,0.0282971971
58315.3611806,17.9018936,0.0284449197
58316.3479861,17.9016342,0.0284413565
58318.3652315,17.8930092,0.0283235572
58319.3541435,17.949688,0.0291148406
58320.3959491,17.9528961,0.0291608535
58322.4004398,17.961277,0.0292816889
58323.4686574,17.9006691,0.0284281373
58324.4794676,17.8843765,0.028206585
58325.2752662,17.9050903,0.0284888335
58326.3798958,17.8769913,0.0281072166
58327.3600926,17.9259682,0.0287787318
58327.3751157,17.9272079,0.0280507766
58328.337662,17.9017296,0.0284426641
58328.3740625,17.8977242,0.0276442319
58328.3745139,17.8775826,0.0273728669
58329.3675926,17.9010353,0.0284331534
58330.3619907,17.8202896,0.0273662694
58330.3949769,17.8657227,0.0272154678
58330.3954398,17.9147263,0.027877314
58332.3315046,17.8996735,0.0284145083
58332.3632639,17.8876743,0.0275082011
58332.3637269,17.8877411,0.0275090989
58333.3243519,17.965416,0.0293417089
58333.3534491,17.9131413,0.0278554223
58333.353912,17.9426842,0.0282686874
58334.3497801,17.8975506,0.0283854771
58334.4068634,17.901989,0.0277023558
58334.4073148,17.8807869,0.0274156965
58335.36375,17.8974209,0.0276401155
58335.364213,17.9074707,0.0277773887
58336.3487269,17.9095516,0.0285503156
58336.3628009,17.8725204,0.0273054726
58336.3632523,17.8794098,0.0273972787
58340.3107292,17.839325,0.027610762
58342.3299421,17.8670101,0.0279740095
58343.3416898,17.9385338,0.0289558843
58344.3094097,17.8931522,0.0283255056
58345.3272917,17.9090366,0.0285432041
58345.3701157,17.8714294,0.0272909906
58347.4134954,17.9205036,0.0287023187
58349.3192824,17.9194622,0.0286878105
58350.3666898,17.8923759,0.0283149499
58351.3617245,17.9381409,0.0289503075
58352.2684028,17.914959,0.0286251772
58352.3129282,17.8779488,0.0273777694
58353.2152546,17.9340553,0.0288925115
58353.3083796,17.9094276,0.0278042778
58353.3806597,17.9008942,0.0284312256
58354.2695486,17.9530487,0.0291630458
58354.3086111,17.8781147,0.0273799803
58354.3903472,17.8936043,0.0283316523
58355.2804051,17.951107,0.0291351732
58355.3067708,17.8719864,0.0272983797
58356.1953819,17.8896103,0.0282773934
58356.2780093,17.8958874,0.0283627771
58356.3109838,17.8612328,0.0271563157
58357.2035532,17.9207077,0.0287051629
58357.3037616,17.8711624,0.0280292816
58358.2315509,17.8952713,0.0283543728
58359.295706,17.9330978,0.0288789999
58359.3421644,17.9243431,0.0287559703
58360.2765741,17.8820114,0.0281746928
58361.2918403,17.9354038,0.0289115608
58362.1829514,17.9005585,0.0284266211
58363.2641782,17.9270515,0.0287939273
58364.2986574,17.886467,0.0282348171
58365.2025579,17.9224339,0.0287292637
58366.323125,17.9307098,0.0288453493
58367.3244097,17.954422,0.029182788
58368.2801852,17.9475632,0.0290844291
58368.3259954,17.8950729,0.0276082195
58369.1919907,17.911747,0.0285806693
58370.2773032,17.8739853,0.0280669779
58371.2991667,17.9349785,0.0289055631
58372.3035648,17.9115753,0.0285782963
58373.2785532,17.8712025,0.0280298032
58374.3240741,17.9485741,0.0290988851
58375.1911343,17.888504,0.0282623973
58376.2049653,17.9643345,0.0293260086
58377.1250347,17.9143066,0.0278715175
58377.278669,17.9252548,0.0287687425
58378.2709375,17.8682861,0.0272493362
58378.2778704,17.9051266,0.0284893252
58379.2746528,17.9473305,0.0290811043
58379.2893866,17.9293861,0.0280812494
58383.3106481,17.973423,0.0294584613
58384.185787,17.9030075,0.028460199
58385.2267593,17.9451714,0.0290502794
58386.253912,17.9355888,0.0289141927
58386.2687847,17.8881931,0.0275151879
58387.1662963,17.9603386,0.0292681176
58388.2255208,17.9375076,0.0289413407
58389.240625,17.9583015,0.0292386822
58389.2879282,17.9363632,0.0281793009
58400.1839815,17.9271126,0.0287947822
58423.1292824,17.9391975,0.0289653037
58425.1102083,17.9441528,0.0290357657
58428.1076042,17.9755898,0.0294902083
58429.0831366,17.8452873,0.0269482862
58429.1342361,17.8929825,0.0283232015
58430.1765394,17.9446964,0.0290435161
58431.1453472,17.9710693,0.0294240639
58433.0831134,17.9114704,0.0278323963
58433.1079745,17.9378738,0.0289465226
58436.1008449,17.8874779,0.0282484964
58437.2612963,17.9489079,0.0291036628
58443.0756713,17.9254551,0.0280263014
58456.1387731,17.9498959,0.0291178133
58457.1625579,18.0018501,0.0298798624
58472.0974769,17.9285336,0.0288147349
58474.1431481,17.9762669,0.0295001399
58475.1346181,17.8681641,0.0279893503
58482.1018403,17.9886589,0.0296829678
58582.4444792,17.913578,0.0286060311
