mjd,mag,magerr
58206.5220949,19.8111954,0.096041508
58210.5165278,19.9687653,0.105583511
58228.4905208,19.7910461,0.0949037224
58231.4428819,19.8834953,0.100275151
58231.4882986,19.8479996,0.0981667861
58232.5059491,19.6450157,0.0871767849
58234.4664352,19.8405113,0.0977293849
58235.4298495,19.6385765,0.0868562311
58242.4516782,19.8516483,0.0983808488
58244.4481481,19.8130188,0.096145384
58246.4710995,19.8867302,0.100470237
58252.4708565,19.8186741,0.0964684486
58254.4434954,19.7591076,0.0931366906
58255.4345486,19.9873428,0.106786996
58258.4731481,19.7758656,0.0940583199
58261.4692593,19.7109222,0.0905536562
58262.4438542,19.7241592,0.091253452
58263.4476736,19.8198071,0.0965333059
58266.4694792,19.9313889,0.103213601
58268.4714468,19.6441002,0.0871311128
58269.446713,19.9068565,0.101694852
58270.4528356,19.9242439,0.102768272
58272.4050579,19.7346935,0.0918156505
58274.4028472,19.906414,0.101667732
58275.4486921,19.8320198,0.0972365066
58276.411412,19.9120312,0.102012835
58277.4530093,19.9626427,0.10519062
58278.4071296,20.02384,0.10920164
58279.4508796,19.909874,0.101880088
58280.4296181,19.7851925,0.0945765451
58281.4036806,19.7604141,0.0932081044
58282.4034606,19.9516811,0.104491763
58283.4302083,19.9487801,0.104307845
58285.4292245,19.7515831,0.0927268267
58286.4277199,19.9229851,0.102690063
58287.4041667,19.8383579,0.0976041108
58288.4087963,19.8498878,0.0982774869
58289.4098727,19.7749329,0.0940066651
58290.4258333,19.8114529,0.0960561559
58291.4249653,19.7590256,0.0931321904
58292.4267245,19.8513832,0.0983652398
58293.4572222,19.9662571,0.10542234
58294.4538889,19.9614182,0.10511221
58295.3846644,19.740078,0.0921048224
58297.4480324,19.7881508,0.0947416797
58300.4754745,19.7538757,0.0928514376
58301.3275579,19.7494316,0.0926100612
58302.4247917,19.7320747,0.0916754454
58302.4762384,19.8451633,0.111631632
58303.4261343,19.9572678,0.104847223
58304.4356481,20.041275,0.1103791
58305.4477083,19.9859066,0.106693335
58307.3414583,19.6900406,0.089464508
58310.3416435,19.7254124,0.0913200751
58311.3646875,19.811779,0.09607476
58312.3712963,19.8341103,0.0973575711
58313.3654398,19.7676926,0.0936073288
58314.3875116,19.8174191,0.0963966176
58316.3914352,19.8467884,0.0980958715
58317.3854977,19.8799095,0.100059509
58318.4135417,19.8393726,0.097663112
58319.3925116,20.1325855,0.1168053
58320.4527431,19.981945,0.106435567
