mjd,mag,magerr
58271.4237384,17.1330967,0.0194939375
58271.4242014,17.1317978,0.0194848962
58296.3503819,17.2444839,0.0203111973
58296.3508449,17.2517471,0.0203674473
58298.4378819,17.2198143,0.0201229136
58301.4059144,17.1405373,0.019545963
58301.4091319,17.1134663,0.0193583891
58302.3950926,17.162468,0.0197013877
58327.3751157,17.0989189,0.0192595087
58328.3740625,17.5936489,0.0234846808
58328.3745139,17.6124229,0.0236854479
58330.3949769,17.0858231,0.0191716179
58330.3954398,17.1118622,0.0193474256
58332.3632639,17.2975025,0.0207305215
58332.3637269,17.2674103,0.020490028
58333.3534491,17.2314034,0.0202108342
58333.353912,17.2345276,0.0202346984
58334.4068634,17.1766663,0.0198036917
58334.4073148,17.1770248,0.0198062938
58335.36375,17.2165298,0.0200981721
58335.364213,17.2236404,0.0201518405
58336.3628009,17.4008446,0.0216086265
58336.3632523,17.3934784,0.0215432532
58345.3701157,17.182436,0.0198456496
58352.3129282,17.3018894,0.0207661372
58353.3083796,17.1343651,0.0195027813
58354.3086111,17.1698208,0.0197542012
58355.3067708,17.402565,0.0216239542
58356.3109838,17.2481823,0.020339787
58368.3259954,17.2587051,0.0204216782
58377.1250347,17.0565186,0.0189787578
58378.2709375,17.5169106,0.0226985104
58379.2893866,17.2720718,0.0205268469
58386.2687847,17.0466919,0.018915249
58389.2879282,17.1483173,0.0196007378
58429.0831366,17.3081436,0.020817155
58433.0831134,17.4600525,0.0221502427
58443.0756713,16.8916645,0.0179861002
58593.3904977,17.1197319,0.0194013882
58632.4842361,17.0877342,0.0191843826
58653.4332523,17.3007774,0.0207570922
58653.4337037,17.2954483,0.0207138937
58654.4077199,17.3261375,0.0209655985
58654.4081713,17.3478165,0.0211477
58655.3645949,17.4624901,0.0221731775
58655.3650463,17.4109383,0.0216989089
