mjd,mag,magerr
58205.4747106,19.6981544,0.0898856074
58209.5051273,20.0905056,0.116277412
58228.4905208,20.3688927,0.135590106
58231.442419,20.3214302,0.133979648
58231.4873495,20.6658173,0.160522819
58231.4882986,20.5851479,0.153191209
58232.5059491,20.4585609,0.143587083
58234.4659722,20.6600533,0.160127044
58236.4288079,19.901886,0.101390608
58244.4476852,20.6729374,0.161011934
58246.4701505,20.4485207,0.144610569
58252.4708565,20.5089207,0.148065925
58254.4355903,20.6341743,0.158349633
58255.4280208,20.3149567,0.133454204
58262.4429167,20.4837246,0.147654772
58262.4438542,20.0917015,0.113873422
58263.4467361,20.632761,0.158252597
58263.4476736,20.0151901,0.108623251
58266.4680093,20.2189846,0.125857666
58266.4694792,20.1434822,0.117601886
58268.4646644,19.8706341,0.101488799
58270.4528356,20.0861511,0.113482282
58270.4765509,19.7874355,0.0964167863
58272.4050579,20.6158504,0.155255556
58273.4631944,20.5548801,0.151156068
58274.4028472,20.7135258,0.161823034
58275.4491551,20.6351013,0.158413291
58276.411412,20.3165607,0.13114965
58276.4118634,20.5478325,0.152419686
58277.4515509,20.669939,0.160805941
58277.4530093,20.903038,0.174565434
58278.4071296,20.6550732,0.157892823
58279.4490046,20.4350624,0.143457815
58279.4508796,20.3093948,0.130554482
58280.428669,20.7205563,0.164282322
58280.4296181,20.6472855,0.157369256
58281.4027431,20.4474602,0.144519672
58281.4036806,20.5352631,0.149837136
58282.4025231,20.5418797,0.152010918
58282.4034606,20.5236626,0.14905715
58283.4292708,20.4519958,0.144909367
58283.4302083,20.6302338,0.156222701
58285.4292245,20.5267639,0.149265647
58286.4277199,20.6269684,0.156003118
58286.4296181,20.4149666,0.141747698
58287.4032292,20.5797367,0.154610872
58288.4087963,20.3440571,0.13346222
58288.4352894,19.9893341,0.109220497
58289.4098727,20.1611671,0.118908718
58289.411331,20.3634319,0.137427866
58290.4258333,20.3323593,0.132472962
58291.4245139,20.515152,0.150175214
58291.4249653,20.3993683,0.138252303
58292.4262731,20.4004955,0.140524969
58293.4572222,20.444397,0.142290697
58293.4576852,20.353756,0.13662751
58294.4534259,20.485611,0.147818983
58294.4538889,20.6764717,0.159331679
58299.4535185,20.5196037,0.150480986
58301.3275579,20.6590595,0.158160925
58303.4261343,20.8577614,0.171521068
58304.4356481,20.6188107,0.155454636
58304.4526042,20.8219852,0.171248436
58307.3405093,20.5413837,0.151976824
58307.3414583,20.5836544,0.153090835
58310.3406944,20.3856182,0.139275745
58310.3416435,20.4186783,0.139968842
58311.3646875,20.6874619,0.160070539
58312.3712963,20.4877319,0.14629662
58312.3717593,20.6173725,0.157195687
58313.3654398,20.3418427,0.133274257
58313.3659028,20.6873302,0.162000418
58314.3875116,20.3905945,0.137480021
58314.387963,20.3978271,0.140300363
58315.4071065,20.4644279,0.145981118
58316.3914352,20.2508965,0.125807852
58316.4008796,20.4790897,0.147251725
58317.3854977,20.4224949,0.140310645
58317.3859606,20.5906296,0.15535903
58318.4135417,20.6455269,0.157251
58319.3925116,20.1615963,0.118940637
58320.4461227,20.4930496,0.148467705
58320.4527431,20.7169056,0.162050247
58321.4154514,20.6390533,0.156815648
58322.4302662,20.3113174,0.133159414
58322.4350347,20.4984665,0.147307143
58323.4326042,20.5027027,0.147647858
58323.4575926,20.4241409,0.142526671
58330.4451505,20.2568302,0.126280278
58332.4535995,20.3096275,0.130573645
58332.4540509,20.3592834,0.13708435
58334.3090856,20.5259018,0.149207711
58334.3105324,20.3541527,0.136660352
58336.2939236,20.5410576,0.150226712
58336.3223958,20.2786713,0.130538896
58337.3688657,20.4877682,0.146299973
58337.3693171,20.8398247,0.172473669
58338.3657523,20.605545,0.154562712
58343.3891782,20.5869732,0.153313994
58343.3896296,20.4415932,0.144016474
58344.3462153,20.5361385,0.149896026
58344.3466782,20.537962,0.151741862
58346.3214236,20.7107506,0.163608909
58346.3218866,20.6231842,0.155748725
58347.3486574,20.6075191,0.154695392
58348.3465278,20.6142559,0.155148387
58349.3700116,20.4999523,0.149071187
58349.370463,20.4934158,0.146830827
58350.3416782,20.39538,0.140094653
58350.3506713,20.586834,0.153304577
58351.4108565,20.5392723,0.151831746
58351.4113079,20.5202713,0.148829103
58352.3626505,20.6742325,0.159181118
58360.1695139,20.5018177,0.147588372
58361.2225926,20.4374771,0.141661793
58361.2240162,20.1408081,0.119946361
58362.2453356,20.1389751,0.119810939
58364.2472569,20.1624088,0.121554367
58364.2564699,20.5689926,0.152104974
58365.2809722,20.3837852,0.139122337
58365.2890278,20.5012856,0.14755249
58366.2611921,20.5804081,0.152872562
58366.2670255,20.2893143,0.13138859
58367.2778588,20.5342674,0.151488066
58367.2833333,20.5447769,0.150476813
58368.2662731,20.7582893,0.16483283
58369.2794907,20.5651131,0.153606534
58370.2381366,20.5593319,0.151455402
58370.238588,20.6827888,0.161688447
58371.2665972,20.6167278,0.155314565
58371.2670602,20.4377785,0.14368996
58372.2604167,20.3966675,0.140202895
58372.2694097,20.502327,0.147622585
58373.2587847,20.5642548,0.153547645
58373.2658912,20.5171165,0.148617029
58374.2533796,20.4992237,0.149007544
58374.2610069,20.6597843,0.158209562
58375.2867593,20.605566,0.156384826
58376.290787,20.5593491,0.15321064
58377.2590741,20.4670029,0.146203741
58377.2680787,20.6498394,0.157540917
58378.3023032,20.5700169,0.1539433
58378.3097106,20.4147644,0.139619023
58379.3174769,20.3949032,0.140054584
58379.3262037,20.8042774,0.167925
58380.3415856,20.466526,0.144321412
58382.2364815,20.4434299,0.144173786
58385.1494792,20.4427986,0.14411962
58386.1635532,20.2499733,0.125734583
58388.1303588,20.5729465,0.154144526
58388.1312963,20.528471,0.149380445
58389.149919,20.6242695,0.157669425
58389.1513426,20.488987,0.146414295
58390.164919,20.8030815,0.167844534
58390.166331,20.558197,0.153131604
58400.1415162,20.7918434,0.167088985
58400.1419676,20.5717525,0.15406251
58425.1616435,20.9222488,0.178134561
58426.1515741,20.4593048,0.145538956
58426.152037,20.5578804,0.151357889
58428.165625,20.5197201,0.150488973
58428.1698843,20.5744572,0.152472377
58429.1612963,20.5372849,0.151695251
58429.1828241,20.6540871,0.157826543
58430.1289468,20.4647312,0.144155741
58430.140081,20.6339264,0.158332586
58431.1214815,20.3565273,0.136856467
58432.1806829,20.4998779,0.147440568
58433.1409028,20.5521641,0.150973439
58435.1789468,19.9840908,0.106575094
58435.1793981,20.4467812,0.144461349
58457.1091898,19.9210548,0.104701206
58469.1148148,20.605135,0.156355262
58483.107662,20.412323,0.141523778
58483.1081134,20.4715271,0.144784734
58581.49,20.2281494,0.12656714
58582.4941551,20.6482983,0.159319639
58607.4247454,20.8776245,0.17506969
58607.430706,20.5901852,0.153529882
58608.4526968,20.5470219,0.152364016
58617.4696528,20.6722775,0.160966516
58617.473831,20.7254028,0.162621617
58628.4670602,20.4676514,0.146259844
58628.4679861,20.7042656,0.161200404
58632.4434028,20.884758,0.173336267
58633.4472338,20.4594345,0.145550072
58633.4481481,20.4648628,0.144167855
58634.4545602,20.4452744,0.144332051
58634.4554861,20.5915833,0.153623939
58635.4511458,20.7574463,0.164776206
58635.465,20.4600258,0.145601079
58637.4532523,20.5639839,0.153529048
58638.4578356,20.4450722,0.142352149
58638.4587616,20.5715218,0.154046655
58639.4445023,20.5506878,0.152615786
58639.4493056,20.5993137,0.154143691
58640.4509491,20.4926872,0.148436055
58640.4518866,20.5781708,0.15272212
58641.4239583,20.4924927,0.146743953
58641.4563426,20.4990807,0.148995012
58642.4034144,20.5401859,0.151894569
58643.4495602,20.4166031,0.141886368
58644.4257639,20.4812431,0.147438854
58644.426331,20.6456718,0.157260776
58645.4260764,20.5864582,0.15507257
58645.4270023,20.5014553,0.147563934
58646.4237847,20.587326,0.155132174
58646.4282755,20.7169743,0.162054896
58648.4530324,20.4643288,0.145972669
58650.4704745,20.4549847,0.14516665
58660.4296412,20.4287605,0.142919898
58660.430081,20.607935,0.154723406
58663.4514352,20.4218521,0.142332077
58665.4664352,20.4717693,0.146616608
58665.466875,20.618412,0.155427814
58666.4691204,20.5202332,0.14882648
58667.4266319,20.48069,0.147390753
58667.4270833,20.7213192,0.162347078
58668.305081,20.454813,0.145151883
58669.4483449,20.6732483,0.161033273
58669.4492824,20.4628963,0.1439863
58670.4246412,20.5379505,0.151741028
58670.4250926,20.6951962,0.160590649
58672.3423495,20.5878696,0.155169487
58672.3432755,20.4371185,0.141629383
58673.3483681,20.676878,0.159358978
58673.349294,20.5577316,0.153099537
58674.4330556,20.7079315,0.163415313
58674.4354514,20.6399174,0.156873822
58691.3212037,20.7126255,0.161762476
58691.3235417,20.5060768,0.149551988
58694.3239699,20.5133057,0.148360729
