mjd,mag,magerr
58205.4742477,19.616354,0.0868551284
58206.5241319,19.9657917,0.107640184
58210.5141667,19.6576748,0.0890602618
58229.5043519,20.0017796,0.110065416
58230.4926042,19.9970131,0.10974104
58231.442419,20.015255,0.110987522
58231.4873495,19.9112358,0.104067311
58234.4659722,20.0510979,0.113477342
58244.4476852,20.1567898,0.121134341
58246.4701505,19.8173523,0.0982080847
58247.4924306,19.9198761,0.104624875
58254.4355903,19.9462051,0.106343165
58255.4280208,19.8680706,0.101328321
58258.4740856,19.9976673,0.10978543
58262.4429167,19.991848,0.109390646
58263.4467361,19.8858013,0.10244403
58266.4680093,20.5561829,0.152993202
58267.4705324,19.8161182,0.0981334969
58270.4765509,19.7234459,0.0927060619
58272.4279745,19.9367752,0.105724387
58273.4641782,19.8957367,0.10307499
58274.4019097,20.0581398,0.113972962
58275.4491551,19.8884583,0.102612369
58276.4118634,19.8565178,0.100608319
58277.4515509,20.0123749,0.110789791
58278.4061921,19.872366,0.101597413
58279.4490046,19.9394875,0.105902031
58280.428669,19.92593,0.105017453
58281.4027431,19.9393196,0.105891019
58282.4025231,19.9826031,0.108766332
58283.4292708,19.9286079,0.105191536
58286.4296181,19.8629608,0.101009138
58287.4032292,19.8697567,0.101433843
58288.4352894,20.0279713,0.111864597
58289.411331,19.9673748,0.107745714
58290.4253819,19.9703903,0.107947066
58291.4245139,19.996994,0.109739743
58292.4262731,19.991333,0.10935577
58293.4576852,20.0104084,0.110654965
58294.4534259,19.9399319,0.105931103
58296.4596759,19.7668037,0.0952024981
58299.4535185,19.65308,0.088811852
58300.4555903,19.7785511,0.0958917663
58301.3242245,19.9929276,0.109463736
58302.4262384,19.7801437,0.095985651
58303.4265856,19.9290237,0.105218619
58304.4526042,20.039732,0.112681955
58305.4467477,19.9815178,0.108693227
58307.3405093,20.0014191,0.110040732
58310.3406944,19.8281193,0.0988616794
58311.3627894,19.8860569,0.102460258
58312.3717593,19.9075279,0.103829034
58313.3659028,19.8153191,0.0980852395
58314.387963,19.8072815,0.0976010337
58315.4071065,19.7975197,0.0970165208
58315.4364931,19.9719467,0.123710528
58315.4369444,19.8308773,0.113613337
58316.4008796,19.8221607,0.0984994173
58317.3859606,19.8395157,0.0995586216
58319.4035185,19.8197937,0.0983558595
58320.4461227,19.8338394,0.0992108658
58322.4302662,19.85079,0.100253366
58323.3736458,19.8825493,0.117232829
58323.3740972,19.5508556,0.0956906676
58323.4575926,19.8441296,0.0998423398
58324.3844907,19.8524837,0.115115449
58324.4197917,19.8128395,0.0979356021
58325.4222222,19.8899918,0.102709688
58329.4214468,19.9383202,0.105825514
58329.4498495,19.7480469,0.108010374
58329.4503009,19.8415127,0.114350602
58330.4446875,19.7817497,0.0960804746
58332.4540509,19.8454895,0.0999260545
58333.3885069,19.8930187,0.117977604
58333.3889699,20.0715485,0.131225422
58334.3105324,19.9021358,0.103483498
58336.2712269,19.9574661,0.122643389
58336.2899421,19.8152847,0.112539656
58337.3693171,19.88414,0.102338985
58344.3466782,19.9701405,0.107930347
58344.3724306,19.8287907,0.113469109
58346.3214236,19.8191109,0.0983144939
58348.3474769,20.0043411,0.110240042
58349.3700116,19.8579369,0.10069643
58350.3058449,19.697916,0.10474129
58350.3416782,19.7573662,0.0946527198
58351.4108565,19.9093666,0.10394711
58352.3621991,19.7961273,0.0969334617
58361.2240162,19.7938976,0.0968006551
58362.2453356,19.9830627,0.108797237
58363.3007407,19.9554176,0.106951222
58363.3480556,19.7407265,0.107527219
58364.2472569,19.828495,0.0988845453
58365.2809722,19.9068127,0.103783131
58366.2670255,19.9083729,0.103883304
58367.2778588,19.9972992,0.109760478
58368.2572685,19.8914089,0.102799624
58369.2794907,19.7860794,0.096336484
58370.238588,19.916769,0.104424059
58371.2670602,19.9278183,0.105140179
58372.2604167,20.0025501,0.110117905
58373.2587847,19.90518,0.10367839
58374.2533796,20.0101128,0.110634707
58374.2907292,20.0274429,0.127861366
58375.2867593,19.8685951,0.101361141
58376.290787,19.9533768,0.106816217
58377.2590741,19.9180183,0.104504779
58378.3023032,19.9920769,0.109406143
58379.2033912,20.1228523,0.135205209
58379.3174769,19.8040848,0.0974092409
58380.3411343,20.134573,0.119485848
58382.2294676,19.7714195,0.109566122
58382.2364815,19.8995018,0.103315108
58383.2213194,20.4536285,0.14504987
58383.2609722,20.3664589,0.154795319
58384.2757407,20.1235695,0.118677109
58385.1494792,19.8160648,0.0981302559
58386.1649884,19.8108139,0.0978134796
58387.2148495,19.7721672,0.0955165029
58387.2464236,19.7453938,0.10783501
58388.1303588,19.926548,0.105057567
58389.149919,19.7206383,0.092546992
58390.166331,19.9677906,0.107773468
58400.1419676,19.9715042,0.10802149
58425.1616435,20.0969067,0.116738439
58426.1515741,20.0580559,0.113967076
58427.1604977,19.8894348,0.102674298
58428.165625,19.7834053,0.0961782187
58429.1612963,19.9820004,0.108725727
58430.140081,19.8117485,0.0978697762
58431.1214815,19.9261799,0.105033636
58432.1708449,19.8669167,0.101256147
58434.1370255,19.8818817,0.102196261
58435.1793981,19.9852791,0.108946614
58457.1091898,19.6076965,0.0864012837
58483.107662,19.8669491,0.101258166
58581.49,19.8498173,0.100193225
58582.4941551,20.062912,0.11430987
58607.4247454,20.0632343,0.114332803
58608.4526968,19.8797779,0.102063596
58617.4696528,20.0278702,0.11185766
58628.4670602,19.8642921,0.10109219
58632.4466782,19.5362835,0.0827643648
58633.4472338,19.9270477,0.105090037
58634.4545602,19.948843,0.106516927
58635.465,19.8185272,0.0982792079
58637.4532523,20.0745697,0.115137257
58638.4587616,19.8850651,0.102397487
58639.4445023,20.0821629,0.115679212
58640.4509491,19.9480553,0.106464997
58641.4563426,19.8755665,0.101798438
58643.4495602,19.9538746,0.106849082
58644.4257639,19.9177017,0.104484275
58645.4260764,19.9119759,0.104114972
