mjd,mag,magerr
58218.4943056,16.9350662,0.019670222
58218.51875,16.8651543,0.019293189
58229.4540162,17.0063057,0.0200812109
58242.4749074,16.9650421,0.0198397655
58244.4900694,16.9836826,0.0199476648
58246.4454398,16.9649696,0.0198393483
58247.4508333,16.9809723,0.0199318528
58249.4324769,16.9715309,0.019877106
58249.4813542,16.9662361,0.01984662
58254.4685648,16.9605103,0.0198138189
58255.4700231,16.95784,0.0197985824
58256.4329977,16.9511089,0.0197603572
58256.4665278,16.9549408,0.0197820868
58257.4328704,16.9310684,0.0196479782
58257.473669,16.9465294,0.0197344851
58258.445162,16.893055,0.0194406379
58259.4473958,16.9943333,0.020010177
58262.3871181,16.9521599,0.0197663121
58263.4262384,16.9826965,0.0199419111
58266.3633796,16.9345036,0.0196670834
58267.3815972,17.0761528,0.020512132
58268.4563426,16.9683762,0.0198589247
58269.4242014,16.9460258,0.0197316501
58270.4343171,16.9342976,0.0196659435
58271.4237384,16.9210281,0.0190259051
58271.4242014,16.9056282,0.0189461466
58271.4543171,16.9615917,0.0198200047
58272.4573495,16.9459839,0.0197314154
58273.4220486,16.9541435,0.0197775643
58274.4714931,16.9155579,0.0195624679
58275.4054051,16.9666576,0.0198490378
58276.4538194,16.9472275,0.0197384227
58277.4002662,16.9423141,0.0197107717
58278.4469907,16.9615803,0.0198199376
58279.4076505,16.9395065,0.0196950305
58280.3638079,16.9467316,0.0197356269
58281.4505787,16.9594994,0.0198080447
58282.4529514,16.936718,0.0196794402
58283.3907755,16.9633713,0.0198301841
58285.4121644,16.9750061,0.0198971983
58287.4492245,16.9504337,0.0197565388
58288.4536343,16.9701157,0.019868942
58289.4511343,16.939045,0.0196924489
58290.3843171,16.9250908,0.0196148679
58291.4775926,16.9510117,0.019759804
58292.4666551,16.9799709,0.0199260246
58293.4790278,16.9448681,0.0197251327
58294.4663657,16.9463921,0.0197337121
58296.336713,16.9396381,0.0196957737
58296.3503819,16.9556293,0.0192098338
58296.3508449,16.9286041,0.0190656185
58298.4259491,16.9334641,0.0196612962
58298.4378819,16.970047,0.0192884319
58299.4114005,16.8970718,0.0194621906
58300.3982639,16.9249763,0.0196142364
58301.4054514,16.9653873,0.0198417492
58301.4059144,16.9554138,0.0192086659
58301.4091319,16.932888,0.0190882068
58303.3689931,16.9289227,0.0196360741
58304.3852662,16.9224014,0.0196000356
58305.4089236,16.9638386,0.0198328607
58307.3922106,17.0013046,0.0200514421
58312.405787,16.9343109,0.0196660142
58313.3922685,16.9554119,0.0197847709
58314.4250347,16.9522419,0.0197667722
58315.3611806,16.9798241,0.0199251715
58316.3479861,16.9595871,0.0198085494
58318.3652315,16.9985046,0.0200348329
58319.3541435,16.9810276,0.0199321825
58320.3959491,16.974535,0.0198944733
58322.4004398,16.9886456,0.0199767165
58323.4686574,16.9628868,0.0198274143
58324.4794676,16.9453697,0.0197279565
58325.2752662,16.9447403,0.0197244119
58326.3798958,16.9624672,0.0198250096
58327.3600926,16.9666462,0.0198489781
58327.3751157,16.9994202,0.0194522254
58328.337662,17.0034332,0.0200641006
58328.3740625,16.9443169,0.0191489719
58328.3745139,16.939167,0.0191214997
58329.3675926,16.9335747,0.0196619127
58330.3619907,16.9317551,0.0196517948
58330.3949769,16.9817963,0.0193533562
58330.3954398,16.9439297,0.0191469043
58332.3315046,16.9621696,0.0198233034
58332.3632639,16.9402962,0.0191275179
58332.3637269,16.9423599,0.0191385187
58333.3243519,16.9579964,0.0197994802
58333.3534491,16.9457893,0.0191568583
58333.353912,16.9473495,0.019165216
58334.3497801,16.9380836,0.0196870733
58334.4068634,16.9600334,0.0192337167
58334.4073148,16.9318752,0.0190828592
58335.36375,16.9291306,0.0190683845
58335.364213,16.9441566,0.0191481151
58336.3487269,16.9857368,0.0199596714
58336.3628009,16.9414139,0.0191334691
58336.3632523,16.9512863,0.019186385
58340.3107292,16.9182472,0.0195772052
58342.3299421,16.957058,0.0197941288
58343.3416898,16.9875927,0.0199705437
58344.3094097,16.9492531,0.0197498575
58345.3272917,16.9448318,0.0197249223
58345.3701157,16.9904518,0.0194016919
58347.4134954,16.9686089,0.0198602621
58349.3192824,16.9536572,0.0197748039
58350.3666898,16.9865379,0.0199643597
58351.3617245,16.951416,0.0197620969
58352.2684028,16.9770489,0.0199090429
58352.3129282,16.9497986,0.0191783775
58353.2152546,16.979208,0.0199215878
58353.3083796,16.9508133,0.019183835
58353.3806597,16.9410019,0.0197034143
58354.2695486,16.9559937,0.019788079
58354.3086111,16.9252625,0.0190480612
58354.3903472,16.9896774,0.0199827757
58355.2804051,16.9960938,0.0200205743
58355.3067708,16.9197617,0.0190193001
58356.1953819,16.9686089,0.0198602621
58356.2780093,16.9680061,0.0198567919
58356.3109838,16.9346161,0.0190973505
58357.2035532,16.978817,0.0199193135
58357.3037616,16.8894882,0.0194215681
58358.2315509,16.969368,0.0198646355
58359.295706,16.9314003,0.0196498185
58359.3421644,16.9736137,0.0198891386
