mjd,mag,magerr
58205.4747106,18.1746693,0.0443327725
58206.4430324,18.0025215,0.0418964326
58206.5220949,17.957098,0.0413065888
58207.4638426,18.1562767,0.0440563895
58208.5127083,18.1833973,0.0444653295
58209.5046759,17.7699318,0.0390834436
58210.5165278,18.2546444,0.0455826484
58211.4911921,17.9902649,0.0417352058
58211.507963,17.9263573,0.0409190692
58228.4905208,18.0949059,0.0431627594
58231.4428819,17.9401913,0.0410923027
58231.4882986,17.9060211,0.0406677313
58232.5059491,17.921257,0.0408556536
58234.4664352,17.7434769,0.038794145
58235.4298495,18.0175056,0.0420956351
58236.4288079,17.7736893,0.0391250066
58237.3926273,17.6135674,0.0374544002
58242.4516782,18.0419846,0.042426154
58244.4481481,17.7016983,0.0383489244
58246.4710995,17.8814011,0.040368706
58247.4914815,17.6758747,0.0380806699
58252.4708565,17.7942886,0.0393549986
58254.4434954,17.6620789,0.037939474
58255.4345486,17.4131546,0.0356249511
58258.4731481,17.8253994,0.0397092812
58261.4692593,18.0259571,0.0422090366
58262.4438542,18.1094742,0.0433709919
58263.4476736,17.9936142,0.0417791121
58266.4694792,18.1437092,0.0438698493
58267.4709954,18.1705055,0.0442698486
58268.4714468,18.3615093,0.0473824404
58269.446713,18.3796597,0.0477037504
58270.4528356,18.3106918,0.0465073511
58272.4050579,18.1609879,0.0441267975
58273.4631944,18.2765331,0.045938842
58274.4028472,18.5047607,0.0500511602
58275.4486921,18.8787212,0.0586757846
58276.411412,18.7755375,0.0560274273
58277.4530093,18.8226013,0.0572076924
58278.4071296,18.7709064,0.055913724
58279.4508796,18.9332561,0.060168568
58280.4296181,18.8856297,0.058861237
58281.4036806,18.6356316,0.0527753308
58282.4034606,18.7003937,0.0542346053
58283.4302083,18.3227005,0.0467109233
58285.4292245,18.5986023,0.0519749187
58286.4277199,18.7976131,0.0565753765
58287.4041667,18.6834049,0.0538443178
58288.4087963,18.5197277,0.0503482446
58289.4098727,18.3371029,0.0469576903
58290.4258333,18.0700684,0.0428132303
58291.4249653,18.3562737,0.0472906232
58292.4267245,18.5841427,0.0516688451
58293.4572222,18.7543163,0.0555099174
58294.4538889,18.6149788,0.052325923
58295.3846644,18.2894669,0.0461522751
