mjd,mag,magerr
58206.5220949,19.8550339,0.0985800028
58209.5046759,19.2177544,0.0691352412
58210.5165278,20.0365257,0.110056825
58228.4905208,19.8984776,0.101182684
58231.4428819,19.724041,0.0912471861
58231.4882986,19.7724037,0.0938669443
58232.5059491,19.9252777,0.102832608
58234.4664352,19.7329082,0.0917200297
58236.4288079,19.6216354,0.0860207751
58242.4516782,19.7236328,0.0912255272
58244.4481481,19.9647694,0.105326883
58246.4710995,19.6674938,0.0883086696
58247.4914815,19.8795395,0.100037314
58252.4708565,20.0998878,0.114453211
58254.4434954,19.8353958,0.0974320695
58255.4345486,19.8943691,0.100932792
58258.4731481,19.6235485,0.086114563
58261.4692593,19.6467972,0.0872657225
58262.4438542,19.8165398,0.0963463858
58263.4476736,19.5560665,0.0828918517
58268.4714468,19.7970886,0.0952430591
58269.446713,19.8385258,0.097613886
58270.4528356,19.6685085,0.0883602276
58272.4050579,20.0800743,0.11305587
58273.4631944,19.7070236,0.0903489664
58274.4028472,19.8766232,0.0998623818
58275.4486921,19.8077946,0.0958482549
58276.411412,19.7711563,0.0937980637
58277.4530093,19.9006901,0.101317592
58278.4071296,19.8418884,0.0978096798
58279.4508796,19.9668732,0.105461836
58280.4296181,19.6432533,0.0870888457
58281.4036806,19.9430008,0.103942595
58282.4034606,19.6348019,0.0866691247
58283.4302083,19.9327812,0.103300668
58285.4292245,19.8526039,0.0984369665
58286.4277199,19.8419132,0.0978110731
58287.4041667,19.8840046,0.100305818
58288.4087963,19.6839371,0.0891495645
58289.4098727,19.795517,0.0951546058
58290.4258333,19.8973846,0.101116098
58291.4249653,19.8267746,0.0969336703
58292.4267245,19.8241577,0.0967830718
58293.4572222,19.6661568,0.0882407576
58295.3846644,19.5292053,0.0816568136
58297.4480324,19.548954,0.0825622007
58300.4754745,19.7648315,0.0934501365
58302.4247917,19.4760151,0.0792886317
58303.4261343,19.9490166,0.104322791
58304.4356481,19.8801384,0.100073263
58305.4477083,20.0866604,0.113518
58307.3414583,19.9471664,0.104205668
58310.3416435,19.8469048,0.0981027111
58311.3646875,19.8456383,0.0980285779
58312.3712963,19.7881012,0.0947389528
58313.3654398,19.7337093,0.0917629004
58314.3875116,19.8152733,0.0962739885
58315.4066435,19.9268112,0.102928013
58317.3854977,19.5396099,0.082132034
58319.3925116,19.8525257,0.0984324217
58320.4527431,19.977766,0.106164433
58321.4154514,19.8624153,0.0990160406
58322.4350347,19.6907272,0.0895000473
58323.4326042,20.1278324,0.116459757
58324.4269676,19.5650902,0.083312735
58330.4451505,19.8784332,0.0999709368
58332.4535995,19.952301,0.104531109
58334.3090856,19.9429932,0.103942059
58336.2939236,19.8781738,0.0999553502
58337.3688657,19.852293,0.0984187499
58338.3657523,20.2498627,0.125725701
58343.3891782,19.9450264,0.10407041
58344.3462153,19.7601433,0.0931933075
58346.3218866,19.8010101,0.0954641029
58347.3486574,19.9563293,0.104787424
58348.3465278,19.8905239,0.100699589
58349.370463,19.912405,0.102035806
58350.3506713,20.068882,0.112275563
58351.4113079,19.9029331,0.10145463
58352.3626505,20.0603027,0.11168202
58360.1695139,20.0175037,0.10877768
58361.2225926,19.6713352,0.0885041207
58362.2448727,20.0514908,0.111076295
58363.3022454,19.9913006,0.107045606
58364.2564699,19.9459171,0.104126677
58365.2890278,20.0442104,0.110578842
58366.2611921,20.0792847,0.113000631
58367.2833333,20.0765648,0.112810515
58368.2662731,19.759182,0.0931407288
58369.2889352,20.0667076,0.112124756
58370.2381366,19.9235268,0.102723747
58371.2665972,19.9545918,0.104676761
58372.2694097,19.954813,0.104690872
58373.2658912,19.7032318,0.0901504606
58374.2610069,19.9723454,0.105814092
58377.2680787,19.9987259,0.107532859
58378.3097106,19.8244114,0.0967976674
58379.3262037,19.761694,0.0932781547
58380.3415856,19.7512341,0.0927078575
58382.1970602,19.8980618,0.10115733
58383.2208681,19.701931,0.0900825039
58384.2537384,19.9339485,0.103373706
58385.1458218,19.7232285,0.0912040025
58386.1635532,19.5516071,0.0826849565
58387.2520255,19.9048214,0.101570159
58388.1312963,19.7990723,0.0953548104
58389.1513426,20.1487255,0.117987499
58390.164919,19.7877369,0.0947185531
58400.1415162,19.6949978,0.0897214711
58425.1518056,20.0276108,0.109455027
58426.152037,20.0504036,0.111001857
58428.1698843,20.0798321,0.113038845
58429.1828241,19.9886093,0.106869638
58430.1289468,19.8715286,0.0995578691
58431.1125926,19.8269024,0.0969410315
58432.1806829,19.7445087,0.0923437178
58433.1409028,19.8696327,0.0994447917
