mjd,mag,magerr
58218.4943056,18.8616714,0.0459701009
58218.51875,18.8902817,0.046802219
58229.4540162,18.9239521,0.0478074625
58244.4900694,19.1028385,0.0536467992
58246.4454398,18.882412,0.0465713181
58247.4508333,19.3291454,0.0623652413
58249.4324769,19.2616501,0.0595975071
58249.4813542,19.5116806,0.0706250519
58254.4685648,18.6634731,0.0407275036
58255.4700231,18.9705353,0.0492457077
58256.4329977,18.8955555,0.0469577983
58256.4665278,18.8648529,0.0460616536
58257.4328704,19.2217579,0.0580303147
58257.473669,19.1829224,0.0565521382
58258.445162,19.1487312,0.0552885383
58259.4473958,19.0944061,0.0533517599
58262.3871181,19.2292252,0.0583198704
58263.4262384,18.934803,0.0481374823
58266.3633796,19.3957233,0.0652434081
58268.4563426,19.3907051,0.0650212392
58269.4242014,19.3360538,0.0626569465
58270.4343171,19.3721905,0.0642088726
58271.4543171,19.4543018,0.0679021329
58272.4573495,19.6795597,0.0792999864
58273.4220486,19.4848785,0.0693383217
58274.4714931,19.3957767,0.0652457923
58276.4538194,19.4254017,0.0665753856
58277.4002662,19.3745575,0.0643121004
58278.4469907,19.4225349,0.066445373
58279.4076505,19.6486664,0.0776218697
58280.3638079,19.2567081,0.0594006665
58281.4505787,19.5412521,0.0720754564
58282.4529514,18.892025,0.0468535572
58283.3907755,19.0884743,0.0531454384
58285.4121644,19.2209644,0.0579996742
58287.4492245,19.0641727,0.0523105599
58288.4536343,19.0529747,0.0519314595
58289.4511343,19.4051456,0.0656629726
58290.3843171,19.0414047,0.0515433811
58291.4775926,19.1212463,0.0542979278
58292.4666551,18.9767609,0.0494421721
58293.4790278,18.8593426,0.0459032319
58294.4663657,18.810091,0.0445196815
58296.336713,18.9577694,0.048845984
58298.4259491,19.2462349,0.0589859821
58299.4114005,19.2933922,0.0608807057
58300.3982639,18.9344864,0.0481278338
58301.4054514,19.0201874,0.0508413054
58303.3689931,19.6180229,0.0759943724
58304.3852662,19.2042866,0.0573595725
58305.4089236,19.2059555,0.0574232377
58307.3922106,19.1276112,0.054525353
58312.405787,19.518837,0.070973061
58316.3479861,19.2745342,0.0601144396
58318.3652315,19.3534489,0.0633985177
58319.3541435,19.0646973,0.052328404
58320.3959491,19.1451874,0.0551595539
58322.4004398,18.7282753,0.0423452482
58323.4686574,18.9027939,0.0471724644
58324.4794676,19.1602631,0.0557108261
58325.2752662,19.0449715,0.051662609
58326.3798958,19.2613811,0.0595868006
58327.3600926,19.1242523,0.0544052124
58328.337662,19.3683968,0.0640438944
58329.3675926,19.0942707,0.0533470213
58330.3619907,18.7932835,0.044060573
58332.3315046,18.9327984,0.048076313
58333.3243519,18.9683266,0.0491762385
58334.3497801,19.129324,0.0545867682
58336.3487269,19.4420586,0.0673364773
58340.3107292,19.0262146,0.0510394983
58342.3299421,18.9192429,0.0476651303
58343.3416898,19.2270412,0.0582350045
58344.3094097,19.3712921,0.0641697943
58345.3272917,19.2818146,0.0604089275
58347.4134954,19.0814266,0.0529016033
58349.3192824,19.3030567,0.0612778552
58350.3666898,18.8467255,0.0455432981
58351.3617245,18.7610874,0.0431991816
58352.2684028,18.8802166,0.0465072021
58353.2152546,18.9776268,0.0494695641
58353.3806597,19.0933342,0.0533144064
58354.2695486,18.565197,0.0384397209
58354.3903472,18.4665966,0.0363318175
58355.2804051,18.7664375,0.0433406904
58356.1953819,19.0891476,0.0531688109
58356.2780093,19.1554222,0.0555330738
58357.2035532,19.0820332,0.0529225431
58357.3037616,19.2914505,0.0608012713
58358.2315509,19.3482437,0.0631755218
58359.295706,19.0645294,0.0523227304
58360.2765741,19.4757175,0.0689044893
58361.2918403,19.390646,0.0650186092
58362.1829514,18.9950905,0.0500265807
58363.2641782,18.5928326,0.0390635952
58364.2986574,19.3137474,0.0617207251
58365.2025579,19.192461,0.0569109023
58366.323125,19.2172661,0.0578569658
58367.3244097,19.3287315,0.0623477772
58368.2801852,19.4866486,0.0694224983
58369.1919907,19.2291222,0.0583158843
58370.2773032,19.3518238,0.0633288175
58371.2991667,19.2112541,0.0576259419
58372.3035648,19.0769348,0.052746933
58373.2785532,19.4936752,0.0697577372
58374.3240741,19.5992527,0.0750154108
58375.1911343,19.1821079,0.0565216392
58376.2049653,19.2861271,0.0605841242
58377.278669,18.8865261,0.046691861
58378.2778704,18.4957352,0.0369360521
58379.2746528,19.2444382,0.0589151978
58383.3106481,19.4010639,0.0654808357
58384.185787,19.1585102,0.0556463562
58385.2267593,18.8943596,0.0469224676
58386.253912,19.0206108,0.0508551858
58387.1662963,19.2364616,0.0586021729
58388.2255208,19.3375282,0.0627194121
58389.240625,19.1011696,0.0535882525
58390.1703935,18.8661022,0.0460976698
58400.1839815,19.1512909,0.0553819127
58423.1292824,18.8374977,0.0452824943
58425.1102083,19.050848,0.0518598519
58428.1076042,18.9983597,0.0501317345
58429.1342361,18.8422241,0.0454158075
58430.1765394,19.1743164,0.0562307984
58431.1453472,19.1927662,0.0569224283
58433.1079745,19.164753,0.0558762848
58436.1008449,18.8376617,0.045287095
58437.2612963,18.8363171,0.0452492461
58457.1625579,18.9631748,0.0490146987
58472.0974769,19.2385521,0.0586839877
58474.1431481,18.9870548,0.0497692749
