mjd,mag,magerr
58216.5127083,16.0508537,0.0166289732
58217.4916319,16.245079,0.0171863902
58217.5144329,16.2333679,0.0171506107
58218.4938542,16.1460342,0.016892828
58218.5182986,16.1019859,0.0167685952
58242.4753704,16.170002,0.0169620253
58244.4896065,16.0033703,0.0165035445
58246.4459028,16.080122,0.0167083014
58247.4503704,16.074543,0.0166930575
58252.4883218,16.2484856,0.0171968527
58254.4695023,16.085247,0.016722355
58255.4709606,16.0866222,0.0167261343
58256.4712037,16.201725,0.017055396
58257.4319097,16.082386,0.0167145021
58257.4741319,16.0560188,0.0166428592
58258.4518866,15.9949608,0.0164817423
58259.4483333,16.1450691,0.0168900676
58262.387581,16.0305672,0.0165749006
58263.4286806,16.1818695,0.0169967134
58266.3629167,16.1579437,0.0169270709
58268.4568056,16.117012,0.016810555
58269.4246644,16.0610409,0.0166564081
58270.4333681,16.2369518,0.0171615295
58271.4533796,16.0739365,0.0166914053
58272.4729861,16.0256042,0.0165617801
58273.4229861,16.1450272,0.0168899484
58274.4710417,16.1009483,0.0167657156
58275.4072801,16.1322021,0.0168534126
58276.4547685,16.0211525,0.0165500529
58277.4027083,16.2738991,0.0172757059
58278.4502199,16.1117935,0.0167959332
58280.3647454,16.1342583,0.0168592483
58281.4534144,16.157692,0.0169263445
58282.4515046,16.1069603,0.0167824384
58283.3917245,16.0260963,0.0165630784
58285.4131019,16.0896683,0.0167345162
58287.4496759,16.1208458,0.0168213286
58288.4531713,16.1553001,0.0169194434
58289.4506713,16.0971146,0.0167550836
58290.3852662,16.0282593,0.0165687948
58291.4765741,16.2273674,0.017132394
58292.4671181,16.105381,0.016778037
58293.4775926,16.0910187,0.0167382378
58294.4668171,16.1190071,0.0168161578
58296.3675463,16.103693,0.0167733394
58297.4165856,16.037117,0.0165922791
58298.4254977,16.2020626,0.0170564
58299.4109375,16.0691509,0.0166783817
58300.3987269,16.0900478,0.0167355631
58301.405,16.0728416,0.0166884232
58302.3822454,16.2008114,0.0170526784
58303.3680324,16.0897636,0.0167347807
58304.3857176,16.0555191,0.0166415144
58305.3946875,16.2108574,0.0170826595
58307.3917593,16.1125526,0.0167980567
58310.4072917,16.0197601,0.016546391
58312.4053241,16.202425,0.0170574784
58313.3918171,16.1534233,0.0169140417
58314.4259838,16.1368237,0.0168665405
