mjd,mag,magerr
58206.5241319,20.2957268,0.12329296
58231.442419,20.6910267,0.152465701
58231.4873495,20.5060329,0.140150547
58234.4659722,20.3444405,0.127112865
58246.4701505,20.2846413,0.12243402
58247.4924306,20.3234215,0.125455678
58254.4355903,20.7656288,0.15743196
58255.4280208,20.5668373,0.144198418
58258.4740856,20.586895,0.145533562
58262.4429167,20.1776047,0.11435385
58263.4467361,20.6967812,0.152848721
58271.4673495,19.7478447,0.0862225518
58272.4279745,20.4171982,0.132947072
58273.4641782,20.4774818,0.137883171
58274.4019097,20.7227039,0.154574394
58275.4491551,20.227932,0.118103981
58276.4118634,20.6657372,0.150782108
58277.4515509,20.4959831,0.139414012
58278.4061921,20.5829811,0.145273089
58279.4490046,20.5769768,0.144873381
58280.428669,20.2502327,0.119793788
58281.4027431,20.7804356,0.158417583
58282.4025231,20.303196,0.123873897
58283.4292708,19.9884109,0.101091877
58286.4296181,21.0225983,0.174538493
58287.4032292,21.1077499,0.180207014
58288.4352894,20.2871304,0.122626513
58289.411331,20.9426975,0.169219494
58292.4262731,20.475214,0.137695864
58293.4576852,20.4044952,0.131918117
58296.4596759,20.4833965,0.138371676
58300.4555903,20.1957989,0.115699202
58301.3242245,19.9231701,0.0968369246
58302.4262384,20.4151649,0.132782072
58303.4265856,20.825428,0.161412835
58304.4526042,20.7083492,0.153618813
58305.4467477,20.5895329,0.145709157
58307.3405093,20.635355,0.148759604
58310.3406944,20.5853233,0.145429015
58311.3627894,20.5321426,0.141888738
58313.3659028,20.5743618,0.144699216
58314.387963,20.3235321,0.12546429
58315.4071065,20.4699516,0.137261987
58316.4008796,19.9881134,0.101072066
58317.3859606,20.3412285,0.126858786
58318.4130903,20.3567963,0.128093079
58319.4035185,20.4461002,0.13530302
58320.4461227,20.5058746,0.140140057
58322.4302662,20.0004139,0.101892732
58323.4575926,20.918993,0.167641401
58329.4214468,20.3149147,0.124788836
58334.3105324,20.624012,0.148004532
58336.3223958,20.485033,0.138507113
58337.3693171,20.3275146,0.125777379
58338.3648032,20.1735439,0.114055231
58343.3896296,20.524847,0.141403079
58344.3466782,20.4680882,0.137108609
58346.3214236,20.6637802,0.150651813
58349.3700116,20.7649822,0.157388926
58350.3416782,20.5651283,0.144084573
58351.4108565,20.7669487,0.157519817
58352.3621991,20.4196663,0.133147418
58363.3007407,20.2458992,0.119464181
58364.2472569,20.4175854,0.13297841
58365.2809722,20.1082287,0.10933435
58366.2670255,20.2715931,0.121428341
58368.2572685,20.6471634,0.14954567
58369.2794907,20.6340523,0.148672819
58370.238588,20.6800308,0.151733637
58372.2604167,21.0470371,0.176165342
58373.2587847,20.4207439,0.133234948
58374.2533796,20.7401333,0.155734658
58375.2867593,20.4815903,0.138222486
58376.290787,20.2670631,0.121080451
58377.2590741,19.9645309,0.0995152295
58379.3174769,20.4970913,0.139505759
58383.2213194,20.5846691,0.145385385
58387.2148495,20.4256802,0.133636266
58388.1303588,20.9685783,0.170942307
58389.149919,20.6234932,0.147969961
58390.166331,20.057291,0.105763175
58425.1616435,20.3943157,0.131096542
58426.1515741,20.8162136,0.160799384
58428.165625,20.4878139,0.138737127
58429.1612963,20.3311062,0.126059994
58431.1214815,20.7170372,0.154197216
58469.1148148,20.4290466,0.133910343
58582.4941551,20.1744137,0.11411918
58607.4247454,20.1824455,0.114710584
58608.4526968,20.0426025,0.104751706
58617.4696528,20.6167259,0.147519469
58628.4670602,20.0797577,0.107326135
58633.4472338,20.6300812,0.148408532
58634.4545602,20.5592613,0.143694043
58635.465,20.4235878,0.133466154
58637.4532523,20.5728722,0.144600153
58638.4587616,20.7917271,0.159169316
58639.4445023,20.8389091,0.162310243
58640.4509491,20.6449947,0.149401307
58641.4563426,20.7006931,0.153109193
58642.4034144,21.0498047,0.176349521
58643.4495602,19.9313469,0.0973611102
58644.4257639,20.7837887,0.158640862
58648.4530324,20.5159492,0.140810728
58650.4704745,20.3055553,0.124057658
58652.4750116,19.7696533,0.0874781236
58653.3947106,19.9241219,0.0968977734
58660.4296412,20.6503963,0.149760842
58665.4664352,20.5021458,0.139891863
58666.4681829,20.2223949,0.117686935
58667.4266319,20.2144051,0.117087193
58668.305081,20.3439159,0.127071351
58669.4483449,20.4047184,0.131936044
58670.4246412,20.6326771,0.148581266
58672.3423495,20.8144531,0.160682201
58673.349294,20.2865849,0.122584462
58674.4330556,20.2771072,0.121852577
58691.3235417,20.7114983,0.153828502
58694.3259954,20.6725559,0.151236057
58706.4283796,20.7519302,0.156520009
58709.4441898,20.3557529,0.128010243
58710.2002083,19.8744984,0.093770586
58714.200162,20.5444908,0.142710805
58715.2852199,20.5771618,0.144885659
58717.2855787,20.6102047,0.147085309
58718.3065972,20.5002136,0.139763236
58719.2861806,20.6408882,0.14912796
58720.3056597,20.4798965,0.13808243
58722.2851157,20.366848,0.128893852
58723.3077778,20.4576187,0.136247441
58724.3078009,20.731823,0.155181527
58725.2838889,20.7332344,0.155275464
58726.2853125,20.5512047,0.143157721
58727.3073495,21.0431671,0.175907731
58732.2823727,20.9400406,0.169042587
58735.2815278,20.6152744,0.147422791
58739.1286574,20.0439434,0.104843624
58747.2832986,20.5366859,0.142191172
58754.258831,20.7791519,0.158332229
58763.1280324,20.5232906,0.141299486
58766.1953704,20.3974876,0.13135235
58772.1234259,20.5409889,0.142477632
58779.118831,20.9964333,0.172796607
58782.2240509,20.7686291,0.157631636
58789.202662,20.5234642,0.141311049
58795.1158565,20.5216694,0.141191483
58795.1432639,20.5527267,0.143259048
58804.1027083,20.7443275,0.156013966
58811.0923264,20.8179569,0.160915494
58955.4754167,20.5609112,0.143803835
58963.4075694,20.6324234,0.148564458
58963.4479514,20.615818,0.14745903
58966.4520718,20.5167809,0.140866041
58972.4767824,20.5377998,0.14226532
58975.4952894,20.2176914,0.11733374
58986.4270139,20.6725368,0.151234746
58992.4780903,21.1046944,0.180003643
58998.4274769,20.5595188,0.143711209
59001.4075231,20.8053131,0.160073757
59010.4784722,20.2748413,0.121678144
59016.3663194,20.6551781,0.15007925
59019.3510995,20.6467705,0.149519563
59022.3666782,20.6985493,0.152966499
59025.3501968,20.6423073,0.149222374
59028.3961921,20.4417953,0.134950921
58206.5220949,19.9652634,0.0974370912
58228.4905208,20.2753677,0.117463112
58231.4428819,20.5072479,0.13369751
58231.4882986,20.6576519,0.142738104
58234.4664352,20.280899,0.117842808
58244.4481481,20.7236938,0.146707773
58246.4710995,20.4365673,0.128751069
58252.4708565,20.7422142,0.14782095
