mjd,mag,magerr
58216.5127083,17.8450127,0.0255848002
58217.4916319,17.9337463,0.0266862344
58217.5144329,17.9369202,0.0267273113
58218.4938542,17.8051586,0.025118582
58218.5182986,17.7985897,0.025043359
58242.4753704,17.6357994,0.0233178325
58244.4896065,17.5036507,0.0220962223
58246.4459028,17.6972389,0.0239387918
58247.4503704,17.68326,0.0237943958
58249.4300347,17.2099991,0.0198646039
58252.4883218,17.6725502,0.0236850213
58254.4695023,17.7226124,0.0242057089
58255.4709606,17.4147739,0.0213550981
58256.4712037,17.7275658,0.0242585447
58257.4319097,17.794405,0.0249956865
58257.4741319,17.7037029,0.0240062047
58258.4518866,17.7359238,0.0243482534
58259.4483333,17.7552109,0.0245579388
58262.387581,17.9065056,0.0263385102
58263.4286806,17.7382965,0.0243738554
58266.3629167,17.8391533,0.0255151838
58267.3820602,17.8768253,0.025969401
58268.4568056,17.8199234,0.0252893046
58269.4246644,17.746088,0.0244582947
58270.4333681,17.6795387,0.0237562656
58271.4533796,17.6475563,0.0234339386
58272.4729861,17.8011169,0.0250722431
58273.4229861,17.7339191,0.0243266821
58274.4710417,17.9348946,0.0267010797
58276.4547685,17.8079891,0.0251511279
58277.4027083,17.8710861,0.0258991886
58278.4502199,17.8805504,0.0260151792
58280.3647454,17.8660564,0.025837956
58281.4534144,17.8827324,0.0260420591
58282.4515046,17.9358902,0.0267139636
58283.3917245,17.9670811,0.0271237325
58285.4131019,17.8620605,0.0257895086
58287.4496759,17.9503975,0.0269031022
58288.4531713,17.815733,0.0252406169
58289.4506713,17.8137226,0.0252173282
58290.3852662,17.8499851,0.0256441757
58291.4765741,17.8801746,0.026010558
58292.4671181,17.7926903,0.0249762088
58293.4775926,17.9355335,0.0267093498
58294.4668171,17.9348984,0.0267011262
58296.3675463,17.9312439,0.0266539305
58297.4165856,17.9497185,0.0268941876
58298.4254977,17.8606968,0.0257730149
58299.4109375,17.9078884,0.0263559557
58300.3987269,17.8023109,0.0250859186
58301.405,17.693924,0.0239043757
