mjd,mag,magerr
58205.4747106,14.3021202,0.0232226104
58206.4430324,14.1926413,0.0229891501
58206.5220949,14.1778173,0.0229578428
58207.4638426,14.2215881,0.0230504852
58208.5127083,14.1401405,0.0228785872
58209.5046759,14.1807261,0.0229639802
58210.5165278,14.1753149,0.0229525641
58211.4911921,14.1776323,0.0229574516
58211.507963,14.168828,0.0229388922
58228.4905208,14.1341877,0.0228661038
58231.4428819,14.1995821,0.0230038315
58231.4882986,14.1990604,0.0230027288
58232.5059491,14.140378,0.0228790846
58234.4664352,14.1847191,0.0229724105
58235.4298495,14.1739655,0.0229497198
58236.4288079,14.1505156,0.0229003672
58237.3926273,14.1780376,0.0229583066
58242.4516782,14.2194252,0.0230458919
58244.4481481,14.1975641,0.0229995605
58246.4710995,14.1712294,0.0229439531
58247.4914815,14.1197758,0.0228359289
58252.4708565,14.2427206,0.0230954383
58254.4434954,14.1892891,0.0229820646
58255.4345486,14.1945896,0.0229932684
58258.4731481,14.1602163,0.0229207631
58261.4692593,14.1921864,0.022988189
58262.4438542,14.1515036,0.0229024421
58263.4476736,14.1491451,0.0228974875
58266.4694792,14.1376219,0.0228733066
58267.4709954,14.1275311,0.02285216
58268.4714468,14.1353998,0.0228686463
58269.446713,14.1630116,0.0229266454
58270.4528356,14.1565886,0.0229131337
58272.4050579,14.1447601,0.0228882823
58273.4631944,14.2425776,0.0230951328
58274.4028472,14.1862803,0.0229757074
58275.4486921,14.2284451,0.0230650548
58276.411412,14.2012138,0.0230072867
58277.4530093,14.2041979,0.0230136048
58278.4071296,14.201355,0.0230075866
58279.4508796,14.2014885,0.023007866
58280.4296181,14.1923838,0.0229886062
58281.4036806,14.1977234,0.0229998976
58282.4034606,14.1689596,0.0229391698
58283.4302083,14.1950111,0.0229941607
58285.4292245,14.2370462,0.0230833516
58286.4277199,14.2382374,0.0230858903
58287.4041667,14.1736727,0.0229491033
58288.4087963,14.1891212,0.0229817089
58289.4098727,14.1902161,0.0229840223
58290.4258333,14.1982384,0.0230009872
58291.4249653,14.1776867,0.022957569
58292.4267245,14.1949577,0.022994047
58293.4572222,14.2161198,0.023038879
58294.4538889,14.2199373,0.0230469797
58295.3846644,14.1563416,0.022912614
58297.4480324,14.1964445,0.022997193
58298.475625,14.24228,0.0230945013
58300.4754745,14.1471548,0.0228933115
58301.3275579,14.1733665,0.0229484588
58302.4247917,14.1518803,0.0229032356
58303.4261343,14.227952,0.0230640061
58304.4356481,14.1813602,0.0229653195
58305.4477083,14.1752453,0.0229524188
58307.3414583,14.191186,0.022986073
58310.3416435,14.1285372,0.0228542648
58311.3646875,14.1829319,0.0229686387
58312.3712963,14.2065039,0.0230184887
58313.3654398,14.1800175,0.0229624864
58314.3875116,14.1587391,0.0229176544
58315.4066435,14.1923418,0.0229885168
58316.3914352,14.1801481,0.0229627602
58317.3854977,14.1218548,0.0228402801
58318.4135417,14.1848478,0.0229726825
58319.3925116,14.1794319,0.0229612496
