mjd,mag,magerr
58206.5220949,20.2274971,0.123964667
58228.4905208,20.331543,0.132404089
58231.4428819,20.4420624,0.14207828
58231.4882986,20.4215374,0.140224889
58232.5059491,20.4137344,0.139527142
58234.4664352,20.5051613,0.147813082
58244.4481481,20.1503468,0.118107051
58246.4710995,20.827116,0.169460535
58247.4914815,20.5300941,0.149489522
58252.4708565,20.5212574,0.148895383
58254.4434954,20.642767,0.157065392
58255.4345486,20.8325806,0.169827938
58258.4731481,20.1960106,0.121533871
58261.4692593,20.7452106,0.163953424
58262.4438542,20.4160423,0.139733106
58263.4476736,20.2786522,0.128034934
58269.446713,19.9872952,0.106783882
58270.4528356,20.5651665,0.15184772
58272.4050579,20.2146473,0.122965954
58274.4028472,20.4712486,0.14475888
58275.4486921,20.5079937,0.148003578
58276.411412,20.3016758,0.129916564
58277.4530093,20.2585602,0.126418293
58278.4071296,20.2947502,0.12934725
58279.4508796,20.8238335,0.169239879
58280.4296181,20.754776,0.164596558
58281.4036806,20.6705456,0.158933163
58282.4034606,20.1644363,0.119152136
58283.4302083,20.140419,0.117377251
58285.4292245,20.5265121,0.149248719
58286.4277199,20.8687172,0.172257781
58287.4041667,20.5355301,0.149855018
58288.4087963,20.465641,0.144239664
58290.4258333,20.1735229,0.119831853
58291.4249653,20.1046352,0.114791103
58292.4267245,20.6001797,0.154201984
58293.4572222,20.793396,0.167193294
58294.4538889,20.4483948,0.142655373
58295.3846644,20.180748,0.120375551
58297.4480324,20.0917702,0.113878146
58301.3275579,20.2194366,0.123337172
58302.4247917,20.3451309,0.133553565
58303.4261343,20.2169437,0.123143725
58304.4356481,20.3313808,0.13239044
58305.4477083,20.4114933,0.139327437
58307.3414583,20.4545326,0.143217027
58310.3416435,20.1436481,0.117614143
58311.3646875,20.1655922,0.119238377
58312.3712963,20.8389664,0.17025733
58313.3654398,20.3894444,0.137379199
58314.3875116,20.2129993,0.122838564
58315.4066435,20.2565269,0.126255944
58316.3914352,20.0358677,0.110012256
58317.3854977,20.2352867,0.1245749
58318.4135417,20.646286,0.157302022
58319.3925116,20.6786327,0.159476876
58320.4527431,20.5270157,0.149282575
58321.4154514,20.2336559,0.124446884
58322.4350347,20.1078796,0.115022779
58324.4269676,20.2407818,0.125007197
58327.4476968,19.9623356,0.105170935
