mjd,mag,magerr
58216.5127083,17.5621643,0.0241777431
58217.4916319,17.4308395,0.0230999552
58217.5144329,17.410078,0.0229402967
58218.4938542,17.3098316,0.0222074576
58218.5182986,17.2018223,0.0214835834
58242.4753704,17.2982483,0.022126684
58244.4896065,17.3980694,0.0228492245
58246.4459028,17.2948551,0.0221031625
58247.4503704,17.347271,0.0224739723
58252.4883218,17.2457771,0.0217703637
58254.4695023,17.5324726,0.0239234064
58255.4709606,17.3950996,0.0228268355
58256.4712037,17.2854347,0.0220382269
58257.4319097,17.4457378,0.023216268
58257.4741319,17.3792648,0.0227084365
58258.4518866,17.3184624,0.0222681537
58259.4483333,17.2166672,0.0215792693
58262.387581,17.2690849,0.0219267234
58263.4286806,17.3143539,0.0222392101
58266.3629167,17.2475128,0.0217819028
58268.4568056,17.32127,0.0222880021
58269.4246644,17.2362022,0.0217070021
58270.4333681,17.425457,0.0230582971
58271.4533796,17.6098595,0.0246001016
58272.4729861,17.4864655,0.0235418286
58273.4229861,17.446064,0.0232188273
58274.4710417,17.4281654,0.023079237
58275.4072801,17.3693771,0.0226353016
58276.4547685,17.2989693,0.0221316814
58277.4027083,17.4138641,0.0229692049
58278.4502199,17.3573952,0.022547489
58280.3647454,17.2566795,0.0218431205
58281.4534144,17.3452473,0.0224593468
58282.4515046,17.3215714,0.0222901292
58283.3917245,17.453228,0.023275299
58285.4131019,17.5402946,0.0239897873
58287.4496759,17.3374901,0.0224035364
58288.4531713,17.3635426,0.0225924253
58289.4506713,17.2869205,0.0220484324
58290.3852662,17.4939346,0.0236027595
58291.4765741,17.461319,0.0233394876
58292.4671181,17.3932381,0.0228128396
58293.4775926,17.8585529,0.0271084215
58294.4668171,17.6873188,0.0253240932
58296.3675463,17.5451851,0.0240315106
58297.4165856,17.3780403,0.0226993468
58298.4254977,17.3279877,0.0223356616
58299.4109375,17.2212791,0.0216092393
58300.3987269,17.2932701,0.0220922045
58301.405,17.2607555,0.0218704939
58302.3822454,17.3186741,0.022269655
58303.3680324,17.4714775,0.0234207083
58304.3857176,17.5711823,0.0242562834
58305.3946875,17.4640121,0.023360949
58307.3917593,17.3194885,0.022275405
58310.4072917,17.2088299,0.0215286072
58312.4053241,17.3620415,0.022581432
58313.3918171,17.3267746,0.0223270319
58314.4259838,17.7865295,0.0263253003
58315.3616319,17.7352676,0.0257971901
58316.3475231,17.6831703,0.025284078
58318.3656829,17.623703,0.0247259717
58320.3920949,17.3269577,0.0223283358
58322.4019676,17.4401932,0.0231728125
58323.4709838,17.5583382,0.0241446104
58324.4785185,17.5373783,0.0239649825
58325.2762037,17.5933456,0.0244519059
58326.4156366,17.5945244,0.0244624149
58327.3429514,17.5680313,0.0242287759
58329.3665741,17.3588943,0.0225584209
58330.3615278,17.410038,0.0229399987
58332.3310417,17.3936958,0.0228162799
58333.3248032,17.484623,0.023526853
58334.3493171,17.7875938,0.026336506
58336.3482639,17.7927189,0.0263906736
58342.3439236,17.4453735,0.0232134033
58343.3421412,17.3422623,0.0224378277
58344.4278819,17.4127235,0.022960484
58345.3354167,17.6458397,0.0249303803
58347.4121065,17.3021774,0.0221539959
58349.3212384,17.3302078,0.0223514698
58350.37375,17.3688354,0.0226313099
58351.3631019,17.3992462,0.0228581075
58352.2896644,17.3909073,0.0227953419
58353.2161921,17.3873959,0.0227690395
58353.3797222,17.3862267,0.0227602981
58354.2690856,17.5676079,0.024225086
58354.3898958,17.5315628,0.0239157174
58355.2808565,17.6510143,0.0249787308
58355.4265278,17.6212387,0.0247034561
58356.2794792,17.7033119,0.0254797116
58357.3148727,17.4435921,0.023199426
58358.2320139,17.7551231,0.0259989481
58359.3015509,17.6920261,0.0253696628
58359.3452199,17.6582413,0.0250466224
58360.3024884,17.4893074,0.0235649683
58361.2398032,17.3649712,0.0226029083
