mjd,mag,magerr
58218.4943056,16.9801807,0.0218613185
58218.51875,17.0156193,0.0220758822
58229.4540162,16.9898415,0.0219192188
58242.4749074,16.9492149,0.0216786489
58244.4900694,16.9502449,0.0216846541
58246.4454398,16.8836479,0.0213060956
58247.4508333,16.8367958,0.0210512187
58249.4324769,16.908884,0.021447245
58249.4813542,16.9422226,0.0216380097
58254.4685648,16.8414879,0.0210763309
58255.4700231,16.8834534,0.0213050134
58256.4329977,16.9718094,0.0218115021
58256.4665278,16.9886894,0.0219122972
58257.4328704,16.9608612,0.0217468347
58257.473669,16.9362812,0.0216036495
58258.445162,16.9308243,0.0215722322
58259.4473958,16.9018326,0.0214075278
58262.3871181,16.9297123,0.0215658434
58263.4262384,16.9520798,0.0216953624
58266.3633796,16.8943863,0.0213658195
58267.3815972,16.8789368,0.0212800484
58268.4563426,16.8980255,0.0213861708
58269.4242014,16.971283,0.0218083765
58270.4343171,16.9668102,0.0217819028
58271.4543171,16.9716606,0.0218106192
58272.4573495,16.8906288,0.0213448666
58273.4220486,16.8742428,0.0212541893
58274.4714931,16.8929939,0.0213580485
58275.4054051,16.9003258,0.0213990677
58276.4538194,17.054472,0.0223180894
58277.4002662,16.9787483,0.0218527745
58278.4469907,16.9547997,0.0217112675
58279.4076505,16.8947372,0.021367779
58280.3638079,16.8944168,0.021365989
58281.4505787,16.9174175,0.0214956068
58282.4529514,16.943779,0.0216470342
58283.3907755,16.9839211,0.021883687
58285.4121644,16.9065247,0.0214339327
58287.4492245,16.8663712,0.0212110355
58288.4536343,16.9137497,0.0214747824
58289.4511343,16.9602718,0.0217433665
58290.3843171,16.9464664,0.0216626506
58291.4775926,16.9522552,0.0216963924
58292.4666551,16.8997917,0.0213960726
58293.4790278,16.8669739,0.0212143268
58294.4663657,16.8670597,0.0212147981
58296.336713,16.975811,0.0218352769
58298.4259491,16.9578018,0.0217288584
58299.4114005,16.8109474,0.0209144875
58300.3982639,16.8542366,0.0211450253
58301.4054514,16.8792076,0.0212815441
58303.3689931,16.9570885,0.0217246767
58304.3852662,16.9523811,0.0216971245
58305.4089236,16.9150696,0.0214822665
