mjd,mag,magerr
58205.4747106,18.5645542,0.05125992
58206.4430324,18.5806656,0.0515957773
58206.5220949,18.5034828,0.0500259586
58207.4638426,18.6315002,0.0526848175
58208.5127083,18.4224091,0.0484793782
58209.5046759,18.5922146,0.0518392585
58210.5165278,18.6309071,0.0526718646
58211.4911921,18.4903793,0.04976907
58211.507963,18.4182243,0.0484022722
58228.4905208,18.4894657,0.0497512519
58231.4428819,17.7067986,0.0384025201
58231.4882986,17.6129189,0.0374480337
58232.5059491,18.1798306,0.0444110446
58234.4664352,18.6924992,0.0540525801
58235.4298495,18.0637569,0.0427254997
58236.4288079,18.2199936,0.0450313315
58237.3926273,17.8430405,0.0399139449
58242.4516782,18.508461,0.0501242764
58244.4481481,18.2075806,0.0448375046
58246.4710995,17.8481522,0.0399737693
58247.4914815,17.9930992,0.0417723544
58252.4708565,18.4243622,0.0485154465
58254.4434954,18.0934715,0.0431423932
58255.4345486,18.3279419,0.0468003936
58258.4731481,18.505518,0.0500661023
58261.4692593,18.2509098,0.0455224849
58262.4438542,18.7086544,0.0544263683
58263.4476736,18.3244705,0.0467410944
58266.4694792,17.9230976,0.0408785082
58267.4709954,18.7375469,0.0551072769
58268.4714468,18.0840282,0.0430088528
58269.446713,17.9205589,0.0408470035
58270.4528356,17.6046066,0.0373667143
58272.4050579,18.5746384,0.0514696166
58273.4631944,17.7263031,0.0386094265
58274.4028472,18.0502357,0.0425389856
58275.4486921,17.9729557,0.0415101349
58276.411412,18.2317429,0.0452165678
58277.4530093,18.7790165,0.0561131164
58278.4071296,18.6161728,0.0523517095
58279.4508796,18.1875629,0.0445289388
58280.4296181,18.4746552,0.0494643711
58281.4036806,17.9500504,0.0412169173
58282.4034606,18.350193,0.0471844636
58283.4302083,17.4961967,0.0363505669
58285.4292245,18.6020107,0.0520475917
58286.4277199,18.4424591,0.048852466
58287.4041667,18.3001118,0.0463296026
58288.4087963,18.5134888,0.050223954
58289.4098727,18.3342934,0.0469093286
58290.4258333,18.4288311,0.0485982187
58291.4249653,18.3082123,0.0464655571
58292.4267245,18.1862583,0.0445089862
58293.4572222,18.3699741,0.0475316979
58294.4538889,18.1413841,0.0438355356
58295.3846644,17.9074287,0.0406850055
58297.4480324,17.9712315,0.0414878801
58298.475625,18.134552,0.0437350869
58300.4754745,18.1106758,0.0433882698
58301.3275579,18.2587662,0.0456492379
58302.4247917,18.3150768,0.0465814508
58303.4261343,18.2359352,0.045283068
58304.4356481,18.0268593,0.0422211885
58305.4477083,18.2336388,0.0452466086
58307.3414583,18.4656487,0.0492915921
58310.3416435,18.1418972,0.0438431092
58311.3646875,18.3376751,0.0469675548
58312.3712963,18.4176292,0.0483913086
58313.3654398,18.6569061,0.0532462262
58314.3875116,18.7970238,0.0565606281
58315.4066435,18.0847626,0.0430192053
58316.3914352,18.1483555,0.0439385921
58317.3854977,18.4493561,0.0489822142
58318.4135417,18.8107109,0.0569051877
58319.3925116,18.8366203,0.0575681441
58320.4527431,18.3747463,0.0476163141
58321.4154514,18.5950375,0.0518991202
58322.4350347,18.3327179,0.0468822643
58323.4326042,18.0167923,0.0420861021
58324.4269676,18.2956467,0.0462550297
58325.4242477,18.3140602,0.04656424
58326.4732639,18.6866493,0.0539184473
58327.4476968,18.6064606,0.0521427765
58329.4038542,18.6400833,0.0528731905
58330.4451505,18.3979282,0.0480319411
58332.4535995,18.3170033,0.0466140918
58334.3090856,18.6610413,0.0533387177
58336.2939236,18.8521996,0.0579735562
58337.3688657,18.5616417,0.0511996709
58338.3657523,18.2583237,0.0456420742
58343.3891782,18.3766308,0.0476497933
58344.3462153,17.8760262,0.0403041765
58346.3218866,18.3859215,0.0478156991
58347.3486574,18.5124207,0.0502027422
58348.3465278,18.4548416,0.0490859151
58349.370463,18.1884022,0.0445417799
58350.3506713,18.2066841,0.0448235795
58351.4113079,18.3949776,0.0479786098
58352.3626505,18.0542316,0.0425938964
58360.1695139,18.2090092,0.0448597074
58361.2225926,18.5391235,0.0507386364
58362.2448727,18.8853378,0.0588533804
58363.3022454,18.6039047,0.0520880632
58364.2564699,18.0127048,0.0420315564
58365.2890278,18.2478466,0.0454732738
58366.2611921,18.7439804,0.0552611053
58367.2833333,18.4272881,0.0485696122
58368.2662731,18.3024864,0.0463693663
58369.2889352,18.46521,0.0492832065
58370.2381366,18.5015316,0.0499875322
58371.2665972,18.382452,0.047753606
58372.2694097,18.1626244,0.0441513173
58373.2658912,18.4099121,0.0482498668
58374.2610069,18.1104012,0.0433843285
58377.2680787,18.5517006,0.050995104
58378.3097106,18.3556499,0.0472796969
58379.3262037,18.1034241,0.0432842262
58380.3415856,18.2863235,0.0461001992
58382.1970602,18.0084686,0.0419752188
58383.2208681,18.4510517,0.0490142182
58384.2537384,18.5961342,0.0519224107
58385.1458218,18.4247932,0.0485234261
58386.1635532,18.6673756,0.0534809977
