ID,Our Per,Fro Per,qm_class
GDR1_2163156052385630336,9.547218333188756,9.4377,p
FHK_489,1.6823252209218058,1.6827,qps
FHK_150,1.9058203052605305,1.9081,p
FHK_200,1.4329369802862646,1.4334,p
GDR1_2067128658184872064,0.9209254187246996,11.7162,qps
GDR1_2163143717240796032,1.0387632651997014,6.6024,apd
2MASS_J20523394+4429168,8.615267332984464,8.6252,p
FHK_86,3.8400512469274233,3.8622,qps
FHK_153,4.154410343904903,4.1573,qps
FHK_133,3.7722587346534295,3.759,p
FHK_517,1.3907230461675095,1.3901,b
GDR1_2067120514926515200,9.017099354611183,9.0413,qps
GDR1_2163138601937119360,2.4248942512376948,2.4266,b
FHK_137,2.175419455713308,2.1763,p
2MASS_J20510663+4421407,1.3974247735885623,1.3979,p
FHK_183,3.21130118642878,3.2233,p
GDR1_2163137738645105280,7.7590743757567875,3.9113,qps
FHK_281,2.778363005585506,2.7728,p
FHK_226,8.977221807130643,8.9487,p
GDR2_2163136059317926016,0.8066084675227408,4.1672,qps
2MASS_J20511252+4418093,7.988072978388604,8.0136,p
FHK_172,3.535720408626076,3.5217,p
FHK_48,7.220862551658567,7.2758,qps
GDR1_2163135573981345152,7.364955092999716,7.3382,p
FHK_46,4.878227901262148,4.901,p
FHK_216,10.649091830785405,10.5727,p
GDR1_2162944911791083136,3.00899416960918,3.0487,qps
FHK_56,7.0576762141666585,7.0943,p
GDR1_2162938074203123712,7.268239032798978,7.2549,p
GDR1_2162947591850664960,7.8795476806025135,7.8531,p
FHK_282,1.4534570541910168,1.4492,p
FHK_62,7.894870402790303,7.88,p
