Name,Best Period (days),Power,90% FAP,95% FAP,99% FAP
FHK_153,4.15479205,0.181694206,0.062428685,0.066954162,0.077068357
GDR1_2162239678161489664,2.763403698,0.068950309,0.039108602,0.041815739,0.047889123
GDR1_2162922337443238528,4.581453713,0.04822316,0.060554909,0.064934938,0.074726993
GDR1_2163149661474923520,400,0.146176735,0.062792325,0.067345207,0.077520093
FHK_217,6.442681726,0.53308945,0.062428685,0.066954162,0.077068357
FHK_427,4.017220186,0.104459742,0.065341748,0.070097242,0.080720419
GDR1_2162273522506513792,2.922820773,0.38734136,0.319015913,0.343097982,0.394153552
GDR1_2162975217080719104,334.1543942,0.099573298,0.060718233,0.065111115,0.074931641
GDR1_2162942128652084096,144.2240263,0.20952629,0.040255687,0.043048648,0.049313471
GDR1_2162932851524210816,6.589070751,0.360469595,0.039917647,0.042684765,0.048891962
FHK_337,19.62904847,0.389194809,0.324663752,0.349115228,0.400879602
GDR1_2163136192456870016,106.4192005,0.055350867,0.062428685,0.066954162,0.077068357
FHK_372,4.137853586,0.555021889,0.060554909,0.064934938,0.074726993
GDR1_2162232531340072832,7.9545524,0.308449507,0.076132467,0.081719707,0.094179615
GDR1_2163143481019730688,6.312455635,0.200609969,0.062428685,0.066954162,0.077068357
GDR1_2162597397400140160,10.54097726,0.040980596,0.061384081,0.065829112,0.075765146
FHK_486,400,0.056150894,0.050263807,0.053866568,0.061933489
GDR1_2162127974652045056,400,0.198380411,0.064944586,0.069670208,0.080227289
GDR1_2162936596735173888,5.285237865,0.070064836,0.040406925,0.043210269,0.049498267
FHK_566,7.273772631,0.44840405,0.060718233,0.065111115,0.074931641
FHK_523,5.995504284,0.196299134,0.040462897,0.043271587,0.049571484
GDR2_2163139804529410944,10.79318751,0.184272587,0.062428685,0.066954162,0.077068357
GDR1_2162989510731974016,8.232498317,0.333173181,0.061231113,0.065662867,0.075569519
FHK_56,7.058777911,0.526893982,0.071650692,0.076886613,0.088571605
FHK_132,6.985900522,0.308508766,0.048258357,0.051694895,0.059392453
GDR1_2162952470933666688,4.184770461,0.280515755,0.062920373,0.067487552,0.077694013
GDR1_2162924673904534272,115.2996275,0.165685065,0.065338424,0.070093947,0.080717183
GDR1_2163149214797802752,251.3898194,0.270383217,0.062428685,0.066954162,0.077068357
GDR1_2163140315626346880,267.9836079,0.289479628,0.062428685,0.066954162,0.077068357
FHK_289,267.9836079,0.169633185,0.062428685,0.066954162,0.077068357
FHK_130,8.215838387,0.31864661,0.062428685,0.066954162,0.077068357
GDR1_2162988101982678912,13.8964868,0.101998506,0.060718233,0.065111115,0.074931641
GDR1_2162235795513138560,56.15082868,0.183826344,0.075881736,0.081448094,0.093861995
FHK_444,334.018696,0.603605379,0.065722433,0.070508365,0.081198854
GDR1_2162946080022052992,13.48118369,0.064334359,0.071650692,0.076886613,0.088571605
GDR1_2163017101601143040,18.52548626,0.094179103,0.060554909,0.064934938,0.074726993
GDR1_2163137738645105280,7.760405949,0.176362426,0.062428685,0.066954162,0.077068357
GDR1_2162964874800490496,20.91200307,0.495739192,0.324663752,0.349115228,0.400879602
FHK_479,286.7228304,0.094013599,0.075080283,0.080585499,0.092864581
GDR1_2162236383929026816,52.16697858,0.337655078,0.319015913,0.343097982,0.394153552
FHK_521,3.297611776,0.334003887,0.039359612,0.042086542,0.048204066
GDR1_2067034546860024960,8.262915786,0.388415116,0.064727939,0.069438939,0.07996363
GDR1_2162932993257907584,6.737136304,0.065237403,0.075613956,0.08115977,0.093528378
2MASS_J20464241+4345102,19.18231123,0.058395225,0.065484233,0.070255312,0.08091288
GDR2_2067027228235955584,5.61603143,0.263764442,0.064727939,0.069438939,0.07996363
FHK_94,5.32684574,0.49108786,0.063532551,0.068141253,0.078439735
FHK_148,286.9228688,0.068671041,0.062610625,0.067149757,0.077294195
FHK_370,286.7228304,0.165239725,0.06573354,0.070519376,0.081209667
GDR1_2162955803828352896,364.1243824,0.222825623,0.06297094,0.067537691,0.077743279
2MASS_J20500617+4425050,6.112859699,0.130413409,0.071650692,0.076886613,0.088571605
2MASS_J20523441+4438246,11.56160548,0.164884732,0.062602786,0.067141984,0.077286557
FHK_418,2.699681449,0.311103418,0.064944586,0.069670208,0.080227289
GDR1_2066794818967689472,2.397607949,0.523200415,0.065338424,0.070093947,0.080717183
GDR1_2162221811096717952,267.7655062,0.157585438,0.064944586,0.069670208,0.080227289
2MASS_J20534496+4404139,94.0877864,0.103237471,0.041968635,0.044892651,0.051449636
GDR1_2163138361418522624,26.85983041,0.082585015,0.062428685,0.066954162,0.077068357
2MASS_J20522880+4418297,9.995955166,0.433004121,0.062602425,0.067141626,0.077286205
FHK_538,2.231731494,0.28008344,0.062428685,0.066954162,0.077068357
FHK_70,286.9228688,0.171372607,0.062428685,0.066954162,0.077068357
FHK_35,6.168587388,0.111614206,0.062428685,0.066954162,0.077068357
FHK_580,6.879362958,0.281884765,0.062428685,0.066954162,0.077068357
GDR1_2162947729289614848,236.7312079,0.152534214,0.071877788,0.077132132,0.088857781
GDR1_2162984562930222208,8.616909022,0.291442885,0.062919205,0.067486394,0.077692875
GDR1_2066773619008833664,267.7655062,0.205440417,0.064933885,0.069659601,0.08021687
GDR1_2162965772447499648,286.9228688,0.070847619,0.062428685,0.066954162,0.077068357
2MASS_J20505669+4417055,8.021053971,0.100599281,0.063133689,0.067714537,0.077951306
FHK_460,8.523781514,0.14976544,0.064944586,0.069670208,0.080227289
FHK_195,18.52548626,0.235918032,0.062779604,0.067332593,0.077507698
FHK_459,2.449820519,0.235153266,0.064944586,0.069670208,0.080227289
2MASS_J20532233+4438526,2.430832213,0.27150607,0.062428685,0.066954162,0.077068357
GDR1_2163137360688842752,267.9836079,0.159318393,0.062428685,0.066954162,0.077068357
FHK_464,6.798720623,0.025722054,0.039841592,0.042603656,0.048799566
GDR1_2162909830498130048,139.2763132,0.168006294,0.039243298,0.041960237,0.048055494
GDR1_2162065306784469376,28.31456213,0.39106521,0.324663752,0.349115228,0.400879602
GDR1_2162956903341232128,286.9228688,0.073231639,0.062428685,0.066954162,0.077068357
GDR1_2163138597639123456,72.30418533,0.171228923,0.062428685,0.066954162,0.077068357
FHK_155,364.1243824,0.070867053,0.04739015,0.050740516,0.05824672
GDR1_2162976419671618816,65.32385278,0.08514804,0.060718233,0.065111115,0.074931641
FHK_579,286.9228688,0.153354999,0.070929856,0.076111721,0.087677336
FHK_390,201.4852263,0.094729798,0.060554909,0.064934938,0.074726993
FHK_405,84.15352544,0.115879724,0.064944586,0.069670208,0.080227289
FHK_518,16.76588755,0.450241923,0.062428685,0.066954162,0.077068357
FHK_15,267.9836079,0.104808442,0.062428685,0.066954162,0.077068357
FHK_134,6.249787943,0.354481226,0.088403551,0.095209392,0.110343268
GDR1_2163138601937119360,2.425024292,0.268499977,0.062428685,0.066954162,0.077068357
GDR1_2163139151692568576,400,0.390149797,0.062428685,0.066954162,0.077068357
GDR1_2162947420052773760,267.9836079,0.302374784,0.075844881,0.081411598,0.093826234
GDR1_2162941716335179008,7.484151212,0.389654158,0.075613956,0.08115977,0.093528378
FHK_28,18.78260656,0.22809571,0.052218008,0.055953952,0.064317114
FHK_560,8.861413894,0.216323185,0.062428685,0.066954162,0.077068357
GDR1_2161843098061857280,3.545899033,0.296774458,0.06454737,0.069243538,0.079735425
GDR1_2162904161141389696,8.746863586,0.216988631,0.041691015,0.044598329,0.051118011
FHK_438,2.534131921,0.084510922,0.064944586,0.069670208,0.080227289
FHK_315,9.282946566,0.396103844,0.324663752,0.349115228,0.400879602
GDR1_2163148390164061056,3.956395244,0.123658375,0.062753613,0.067306822,0.077482374
FHK_562,308.742706,0.106368739,0.039917647,0.042684765,0.048891962
FHK_92,2.530844657,0.056868146,0.062606553,0.067145719,0.077290227
GDR1_2163140246906862080,22.16686676,0.106833417,0.062428685,0.066954162,0.077068357
2MASS_J20531994+4428438,2.613948741,0.219243961,0.062428685,0.066954162,0.077068357
FHK_317,4.754111014,0.311194903,0.324663752,0.349115228,0.400879602
FHK_352,286.9228688,0.110259689,0.060718233,0.065111115,0.074931641
GDR1_2162948107246789120,6.787354369,0.460204171,0.06479436,0.069504784,0.080028303
FHK_8,3.952543424,0.562656904,0.06036645,0.064719887,0.074453236
FHK_442,4.52941175,0.465607771,0.064944586,0.069670208,0.080227289
GDR1_2162978172018122240,9.018897774,0.089561919,0.062428685,0.066954162,0.077068357
FHK_392,13.53903373,0.053194912,0.067368284,0.072279302,0.083246426
FHK_173,334.1543942,0.07881448,0.063281657,0.067876822,0.078145236
GDR1_2066844954118735744,9.098257557,0.236418185,0.065338424,0.070093947,0.080717183
FHK_272,308.742706,0.332296188,0.062428685,0.066954162,0.077068357
GDR1_2162936665453858432,10.76456973,0.076088515,0.040129194,0.042911702,0.04915323
FHK_17,286.9228688,0.089208307,0.062428685,0.066954162,0.077068357
GDR1_2163143717240796032,6.926309079,0.09171899,0.062428685,0.066954162,0.077068357
GDR1_2162239506362783488,334.1543942,0.105081617,0.039172411,0.04188446,0.047968803
GDR1_2067059732550905600,3.09404768,0.249907117,0.04007925,0.042862064,0.049104208
FHK_213,8.939462301,0.15328726,0.062428685,0.066954162,0.077068357
GDR1_2162117563651224960,6.957030085,0.270186481,0.064944586,0.069670208,0.080227289
GDR1_2163144644952565120,19.88665595,0.11076028,0.062428685,0.066954162,0.077068357
