star Identifier,odr slope,odr slope error
2MASS_J20464241+4345102,1.31043472,0.114309716
2MASS_J20470481+4349114,2.025451388,0.186372851
2MASS_J20475256+4345137,0.994984332,0.051687952
2MASS_J20475581+4329019,4.230797911,0.272313691
2MASS_J20483292+4351190,-8.665304318,6.153228912
2MASS_J20500617+4425050,1.076361475,0.063024861
2MASS_J20502061+4547221,0.819467928,0.393790018
2MASS_J20503796+4425123,0.942490558,0.082851966
2MASS_J20505039+4450115,14.68505617,2.32504331
2MASS_J20505363+4424305,2.43200548,0.194299391
2MASS_J20505543+4417461,1.424531087,0.10274677
2MASS_J20505568+4421442,0.918523723,0.048906739
2MASS_J20505575+4418286,1.106814432,0.054264393
2MASS_J20505669+4417055,0.877792112,0.04118043
2MASS_J20505703+4416432,0.957359287,0.042636434
2MASS_J20505838+4414444,1.142036611,0.129849968
2MASS_J20505966+4430153,0.902226973,0.089507085
2MASS_J20510029+4424364,1.805421732,0.131669
2MASS_J20510663+4421407,2.563245749,0.387898086
2MASS_J20510895+4416420,1.117628465,0.067032034
2MASS_J20511244+4419430,1.030245907,0.039169852
2MASS_J20511252+4418093,1.596547814,0.127853545
2MASS_J20511262+4418454,0.748436252,0.07292981
2MASS_J20511374+4422252,1.04993383,0.056441017
2MASS_J20511455+4413379,1.631199636,0.105517452
2MASS_J20511748+4419138,1.026542253,0.043481628
2MASS_J20512059+4420322,1.08920159,0.068066591
2MASS_J20512139+4424054,1.020786454,0.115675441
2MASS_J20512464+4417549,1.02214212,0.052645369
2MASS_J20513761+4420045,1.119907024,0.058483322
2MASS_J20515226+4418213,1.663362516,0.093694646
2MASS_J20521101+4408102,1.501940289,0.084159609
2MASS_J20522880+4418297,3.376331577,0.528997682
2MASS_J20522940+4438404,1.065225246,0.053878059
2MASS_J20523022+4424108,0.932338237,0.136287112
2MASS_J20523169+4429592,1.083057738,0.055442579
2MASS_J20523394+4429168,1.363430654,0.084767158
2MASS_J20523441+4438246,1.30359121,0.110168113
2MASS_J20523553+4419105,1.135067598,0.076567539
2MASS_J20524172+4434072,0.911641363,0.043377298
2MASS_J20531994+4428438,1.212381319,0.077946538
2MASS_J20532233+4438526,1.097802218,0.072157713
2MASS_J20533662+4439529,1.343288428,0.075784232
2MASS_J20533901+4403328,0.933770958,0.047449321
2MASS_J20534496+4404139,0,0
2MASS_J20534506+4425179,1.127348903,0.044862905
2MASS_J20535805+4418556,0.123157669,0.524397548
2MASS_J20542793+4425037,6.664581338,8.850058749
2MASS_J20551100+4422132,0.764175533,0.116514393
2MASS_J20561812+4348116,1.034011323,0.026459718
2MASS_J20561960+4345387,1.114886501,0.0519459
2MASS_J20562950+4314535,0.961043076,0.13493291
2MASS_J20564400+4346000,1.265296371,0.08399948
2MASS_J20570162+4341387,1.001755641,0.057040205
2MASS_J20581428+4353046,0.955614792,0.05559718
2MASS_J20582381+4353114,3.659846567,0.100688127
2MASS_J20584906+4353167,1.001450362,0.034923985
DPP2017_409,0.749926116,0.121469303
FHK_1,1.81751123,0.164314985
FHK_101,-26.90504474,20.05256056
FHK_115,4.101085396,0.541880674
FHK_118,1.405378374,0.108982573
FHK_121,1.444002347,0.634867515
FHK_123,2.275694814,0.12570352
FHK_127,1.848395231,0.206866544
FHK_130,1.183917021,0.091844686
FHK_132,1.045032664,0.02610569
FHK_133,2.580869926,0.296200199
FHK_134,1.351730229,0.154970226
FHK_137,1.928447924,0.188590745
FHK_138,2.703622693,0.34884868
FHK_14,18.54194304,15.73816363
FHK_142,0.961339098,0.066629458
FHK_146,4.334265052,0.431312559
FHK_148,0.996369341,0.037936095
FHK_15,5.541599868,0.655073603
FHK_150,1.33954662,0.110477803
FHK_153,1.190745526,0.127715147
FHK_154,1.335256003,0.098834589
FHK_155,0.922221743,0.064945963
FHK_158,0.78237766,0.072812663
FHK_159,1.088371606,0.050706331
FHK_161,1.180464766,0.041415654
FHK_163,3.646890293,0.194420216
FHK_164,2.822834207,0.303504428
FHK_165,0.576655178,0.04927089
FHK_17,1.010447963,0.038605535
FHK_170,1.194037753,0.236121076
FHK_172,3.434192855,0.460211282
FHK_173,1.256141015,0.15835088
FHK_176,1.386270815,0.071931316
FHK_179,1.722560667,0.101032646
FHK_181,2.772994998,0.22711274
FHK_182,1.448628771,0.080277733
FHK_183,1.445289733,0.117385514
FHK_192,2.120944835,0.19314879
FHK_194,0.91804975,0.060648307
FHK_195,1.59524541,0.128889232
FHK_196,2.206140509,0.36219273
FHK_200,1.331964372,0.101467496
FHK_201,1.178087972,0.080588507
FHK_203,1.39330357,0.059403681
FHK_21,1.227960747,0.068673601
FHK_210,7.11042261,1.641216343
FHK_213,1.338688965,0.084456452
FHK_216,4.164591958,0.296241327
FHK_217,1.164845457,0.062341659
FHK_22,0.938615159,0.063075903
FHK_226,3.0108539,0.343227048
FHK_227,0.602001922,0.252712626
FHK_234,1.261286938,0.101356925
FHK_24,0.837869482,0.070872261
FHK_240,1.059542961,0.032278121
FHK_244,1.24533353,0.068348201
FHK_25,0.960419786,0.029986055
FHK_251,1.567117426,0.097972763
FHK_253,0.835292886,0.072260154
FHK_255,1.882931273,0.120181281
FHK_26,4.49683174,0.772776171
FHK_261,2.464421289,0.433551669
FHK_272,1.144143229,0.07605344
FHK_273,0.98661446,0.025685109
FHK_278,3.873983097,0.602484057
FHK_28,1.313455618,0.101741453
FHK_281,2.465821285,0.257442487
FHK_282,1.675740964,0.098004548
FHK_284,1.139292679,0.070058324
FHK_285,3.902932285,0.293193144
FHK_286,1.208819083,0.060053116
FHK_289,1.426238718,0.098642127
FHK_300,1.339254125,0.085787066
FHK_315,4.643115143,0.769738179
FHK_317,-0.792658207,0
FHK_32,1.931956596,0.06127246
FHK_323,1.313486208,0.063376725
FHK_324,1.04327867,0.06344845
FHK_327,1.94214663,0.187098808
FHK_337,0.971081404,0.41578007
FHK_344,3.111717598,0.3239758
FHK_348,0.839478036,0.037235875
FHK_35,1.735905106,0.16632995
FHK_352,0.994104938,0.049571378
FHK_36,7.811245297,0.615498013
FHK_361,1.483330679,0.092120146
FHK_362,1.664936175,0.071533146
FHK_370,1.010701094,0.048424333
FHK_371,1.607649193,0.147341509
FHK_372,2.514311991,0.296599316
FHK_373,0.937691406,0.039870096
FHK_375,1.017489368,0.058772404
FHK_380,1.186024982,0.083909811
FHK_384,0.540143503,0.040172182
FHK_386,1.081513507,0.028019926
FHK_387,0.975431887,0.035109653
FHK_388,1.357804256,0.097372578
FHK_390,0.891118141,0.044924495
FHK_392,1.005166048,0.043613292
FHK_397,1.189120002,0.452279549
FHK_398,0.926548618,0.040722207
FHK_40,2.063076149,0.128745355
FHK_400,0.994725597,0.035517997
FHK_402,0.891485684,0.03453216
FHK_405,3.478334848,0.290507855
FHK_406,-3.325161031,0.37188195
