RA,DEC,PER
312.77908,44.39896,22.238
312.70291,44.34814,10.878
312.73102,44.29611,9.383
312.71906,44.27891,8.446
312.80222,44.30257,7.954
312.75653,44.26168,7.359
312.7446,44.2919,7.223
312.71527,44.37217,7.176
312.74783,44.32752,6.849
312.70245,44.35127,6.217
312.72861,44.33681,6.074
312.52573,44.41806,6.066
312.74588,44.33175,5.49
312.72443,44.36108,5.31
312.51645,44.31182,5.022
312.81519,44.24861,4.904
312.77545,44.29935,4.442
312.74481,44.38818,4.429
312.59344,44.32156,4.229
312.52521,44.29694,3.946
312.83743,44.43877,3.84
312.71234,44.39626,3.537
312.78561,44.40919,3.473
312.73764,44.27866,3.406
312.78458,44.28101,3.396
312.7323,44.30796,3.138
312.68137,44.26438,3.089
312.81885,44.38279,2.42
312.76846,44.48833,1.617
312.83582,44.3423,1.607
312.84204,44.32656,1.55
312.84354,44.34626,1.502
312.65814,44.42012,1.422
312.75125,44.41011,1.39
312.80185,44.32863,1.306
312.69205,44.35482,1.296
312.78732,44.27833,1.189
312.74579,44.2535,1.176
312.82382,44.3083,1.162
312.73166,44.35342,1.117
312.68738,44.34967,0.994
312.67838,44.36531,0.993
312.81696,44.25001,0.993
312.69586,44.29148,0.949
312.73459,44.32397,0.678
312.69202,44.31943,0.518
312.80258,44.31263,0.501
312.76389,44.40431,0.499
312.63782,44.26076,0.345
312.79926,44.4585,0.312
312.72928,44.40716,0.254
312.82874,44.25698,0.21
312.85138,44.41555,0.199
312.80237,44.45797,0.192
312.85724,44.4716,0.145
312.86429,44.48441,0.125
