filename,class
0.113:ID:FHK_118.png,1
0.117:ID:FHK_543.png,1
0.119:ID:FHK_150.png,1
0.132:ID:FHK_323.png,1
0.136:ID:FHK_226.png,1
0.146:ID:FHK_576.png,1
0.148:ID:FHK_282.png,1
0.154:ID:FHK_133.png,1
0.155:ID:GDR1_2162251394832460672.png,1
0.170:ID:FHK_216.png,1
0.174:ID:FHK_567.png,1
0.185:ID:FHK_192.png,1
0.199:ID:FHK_281.png,1
0.213:ID:GDR1_2162965012238950656.png,1
0.216:ID:GDR1_2162134880959435904.png,1
0.236:ID:2MASS_J20510029+4424364.png,1
0.239:ID:GDR1_2163156052385630336.png,1
0.242:ID:FHK_371.png,1
0.245:ID:FHK_137.png,1
0.259:ID:GDR1_2163135573981345152.png,1
0.267:ID:FHK_569.png,1
0.274:ID:FHK_510.png,1
0.291:ID:2MASS_J20523394+4429168.png,1
0.300:ID:FHK_46.png,1
0.304:ID:FHK_430.png,1
0.318:ID:FHK_286.png,1
0.331:ID:FHK_56.png,1
0.339:ID:FHK_183.png,1
0.350:ID:FHK_172.png,1
0.360:ID:FHK_217.png,1
0.366:ID:FHK_200.png,1
0.367:ID:FHK_571.png,1
0.381:ID:FHK_372.png,1
0.385:ID:FHK_182.png,1
0.386:ID:GDR1_2162221536218867072.png,1
0.397:ID:FHK_62.png,1
0.404:ID:FHK_408.png,1
0.406:ID:GDR1_2162952711451794176.png,1
0.412:ID:GDR1_2162933882314931968.png,1
0.421:ID:2MASS_J20510663+4421407.png,1
0.424:ID:FHK_431.png,1
0.433:ID:GDR1_2162938074203123712.png,1
0.439:ID:FHK_127.png,1
0.443:ID:2MASS_J20533662+4439529.png,3
0.446:ID:2MASS_J20511374+4422252.png,2
0.452:ID:2MASS_J20511252+4418093.png,2
0.458:ID:GDR2_2162926254452857472.png,1
0.465:ID:GDR1_2163135573981345280.png,2
0.467:ID:FHK_8.png,2
0.473:ID:GDR1_2163140315626343168.png,3
0.475:ID:2MASS_J20505039+4450115.png,3
0.483:ID:FHK_86.png,2
0.491:ID:FHK_409.png,2
0.496:ID:FHK_532.png,2
0.499:ID:FHK_514.png,2
0.499:ID:FHK_566.png,2
0.503:ID:FHK_511.png,2
0.503:ID:GDR1_2065995748890512768.png,2
0.503:ID:GDR1_2067061691055800448.png,3
0.506:ID:GDR1_2162940067068027392.png,2
0.509:ID:GDR1_2162948107246789120.png,2
0.520:ID:2MASS_J20475256+4345137.png,2
0.524:ID:GDR1_2067120514926515200.png,2
0.525:ID:FHK_442.png,2
0.530:ID:GDR1_2067026953358039552.png,2
0.536:ID:2MASS_J20564400+4346000.png,2
0.537:ID:GDR1_2067034546860024960.png,2
0.541:ID:FHK_82.png,2
0.541:ID:GDR1_2163020881172468608.png,2
0.544:ID:GDR1_2162947591850664960.png,1
0.549:ID:FHK_531.png,2
0.556:ID:GDR1_2163139873247408384.png,2
0.557:ID:FHK_444.png,3
0.561:ID:FHK_48.png,2
0.572:ID:GDR1_2067062824937136000.png,3
0.576:ID:FHK_489.png,2
0.584:ID:FHK_130.png,2
0.586:ID:FHK_361.png,3
0.589:ID:GDR1_2162941716335179008.png,2
0.595:ID:2MASS_J20522880+4418297.png,2
0.598:ID:GDR1_2163139804527939968.png,2
0.600:ID:FHK_530.png,1
0.603:ID:FHK_251.png,2
0.608:ID:FHK_134.png,2
0.613:ID:GDR1_2162932851524210816.png,3
0.619:ID:GDR1_2162939792190072448.png,2
0.624:ID:GDR1_2163139151692568576.png,3
0.625:ID:FHK_517.png,2
0.628:ID:GDR1_2162903680105026176.png,3
0.637:ID:FHK_28.png,2
0.638:ID:GDR1_2162931580213813632.png,3
0.640:ID:2MASS_J20483292+4351190.png,3
0.643:ID:2MASS_J20570162+4341387.png,3
0.643:ID:FHK_285.png,3
0.647:ID:FHK_493.png,3
0.648:ID:FHK_26.png,1
0.651:ID:FHK_496.png,1
0.658:ID:2MASS_J20532233+4438526.png,3
0.659:ID:GDR1_2162969788241971712.png,2
0.660:ID:GDR1_2162960820350057856.png,3
0.662:ID:GDR1_2163144473153865856.png,2
0.664:ID:FHK_456.png,3
0.666:ID:GDR1_2162989510731974016.png,2
0.668:ID:GDR1_2162078393549548288.png,3
0.672:ID:FHK_36.png,3
0.672:ID:FHK_418.png,2
0.674:ID:FHK_278.png,2
0.676:ID:GDR1_2163137738645105280.png,3
0.679:ID:GDR1_2162128009011784832.png,3
