mjd,mag,magerr
58216.5127083,14.3066082,0.0136601208
58217.4916319,14.2805824,0.013631016
58217.5144329,14.2356071,0.0135812778
58218.4938542,14.3010769,0.0136539144
58218.5182986,14.250905,0.013598118
58242.4753704,14.3621168,0.0137230158
58244.4896065,14.3748035,0.0137375528
58246.4459028,14.4978905,0.0138818994
58247.4503704,14.5042419,0.0138895186
58252.4883218,14.7183933,0.0141572692
58254.4695023,14.5768147,0.0139778331
58255.4709606,14.6407547,0.0140576493
58256.4712037,14.8166752,0.0142879533
58257.4319097,14.9897738,0.0145319765
58257.4741319,14.9773369,0.0145138064
58258.4518866,14.9804688,0.0145183718
58259.4483333,14.9176617,0.0144280363
58262.387581,14.9480429,0.0144714126
58263.4286806,14.9663811,0.0144978845
58266.3629167,15.0842113,0.01467345
58268.4568056,15.0393,0.0146053843
58269.4246644,15.0812492,0.0146689145
58270.4333681,15.0384474,0.0146041056
58271.4533796,15.0342474,0.0145978164
58272.4729861,15.0464392,0.0146161066
58273.4229861,14.8989897,0.0144016678
58274.4710417,14.9950752,0.014539754
58275.4072801,15.1147137,0.0147205209
58276.4547685,15.0541229,0.0146276876
58277.4027083,14.9840107,0.0145235434
58278.4502199,15.0198565,0.0145763624
58280.3647454,15.0728893,0.0146561516
58281.4534144,15.0841656,0.0146733783
58282.4515046,14.9856596,0.0145259555
58283.3917245,15.0026217,0.0145508572
58285.4131019,14.7698927,0.0142250843
58287.4496759,14.87078,0.0143622383
58288.4531713,14.8830118,0.0143792741
58289.4506713,14.7656384,0.0142194265
58290.3852662,14.6218147,0.0140338028
58291.4765741,14.6042137,0.0140117975
58292.4671181,14.6136665,0.0140235974
58293.4775926,14.5213614,0.0139101408
58294.4668171,14.5147257,0.0139021324
58296.3675463,14.4802914,0.0138608795
58297.4165856,14.384388,0.0137485759
58298.4254977,14.371253,0.0137334783
58299.4109375,14.3469534,0.0137057221
58300.3987269,14.4424648,0.0138161397
58301.405,14.4201956,0.0137900738
58302.3822454,14.3806248,0.0137442434
58303.3680324,14.4203463,0.0137902489
58304.3857176,14.4915247,0.0138742821
58305.3946875,14.4363413,0.0138089526
58307.3917593,14.4785614,0.0138588203
58310.4072917,14.2596903,0.0136078242
58312.4053241,14.4414587,0.0138149578
58313.3918171,14.3771753,0.0137402778
58314.4259838,14.3132429,0.0136675788
58315.3616319,14.3468218,0.0137055721
58316.3475231,14.4045544,0.013771886
58318.3656829,14.2957487,0.0136479475
58320.3920949,14.3623495,0.0137232821
58322.4019676,14.208457,0.0135515835
58323.4709838,14.2761183,0.0136260474
