filename,class,ra,dec,ID,,catname, period,p2,p3,p4,
0.911:ID:2MASS_J20470481+4349114.png,3,311.7700707,43.81983743,2MASS_J20470481+4349114,,204704.81+434911.4,,,,,
0.537:ID:GDR1_2067034546860024960.png,2,311.8431743,43.8365075,GDR1_2067034546860024960,,204722.36+435011.4,8.26039,,,,
0.871:ID:GDR1_2067034237622346240.png,3,311.8550695,43.80895437,GDR1_2067034237622346240,,204725.21+434832.2,,,,,
0.858:ID:GDR1_2067032760152922112.png,3,311.9084625,43.82448369,GDR1_2067032760152922112,,204738.03+434928.1,,,,,
0.782:ID:GDR1_2067030011373814272.png,3,311.9208389,43.72187408,GDR1_2067030011373814272,,204741.00+434318.7,,,,,
0.520:ID:2MASS_J20475256+4345137.png,2,311.9689046,43.75372372,2MASS_J20475256+4345137,,204752.53+434513.4,5.944,,,,
,,,,,,,,,,,
0.929:ID:2MASS_J20475581+4329019.png,3,311.9825253,43.48387322,2MASS_J20475581+4329019,,204755.80+432901.9,,,,,
0.524:ID:GDR1_2067120514926515200.png,2,312.1200288,44.40319402,GDR1_2067120514926515200,,204828.80+442411.4,9.001636,,,,
0.836:ID:GDR1_2067069937403328128.png,3,312.1369367,44.19989675,GDR1_2067069937403328128,,204832.86+441159.6,,,,,
0.640:ID:2MASS_J20483292+4351190.png,3,312.1371735,43.85529686,2MASS_J20483292+4351190,,204832.92+435119.0,,,, ,if there is a real periodicity or timescale it's around 80 days
0.892:ID:GDR1_2067026815919131392.png,3,312.1477361,43.8870439,GDR1_2067026815919131392,,204835.45+435313.3,,,,,
0.698:ID:GDR2_2067027228235955584.png,2,312.2153945,43.85037701,GDR2_2067027228235955584,,204851.69+435101.3,5.61274,,,,
0.530:ID:GDR1_2067026953358039552.png,2,312.2407994,43.83196844,GDR1_2067026953358039552,,204857.79+434955.0,3.570948,,,,
0.885:ID:GDR1_2067067807089176192.png,3,312.2990627,44.20914007,GDR1_2067067807089176192,,204911.77+441232.9,,,,,
0.732:ID:GDR1_2067128658184872064.png,3,312.3468168,44.57699363,GDR1_2067128658184872064,,204923.23+443437.1,,,,,
0.855:ID:GDR1_2067128795623856256.png,3,312.3586594,44.5915986,GDR1_2067128795623856256,,204926.07+443529.7,,,,,
0.686:ID:GDR1_2067074301079809408.png,3,312.3841128,44.28419107,GDR1_2067074301079809408,,204932.18+441703.0,4.750189,,,,
0.467:ID:FHK_8.png,2,312.5252083,44.29694444,FHK_8,,205006.04+441748.9,3.952446,,,,
0.503:ID:GDR1_2067061691055800448.png,3,312.5413046,44.25589705,GDR1_2067061691055800448,,205009.91+441521.2,,,,,
0.752:ID:GDR1_2163215391652091520.png,2,312.6024254,44.92092749,GDR1_2163215391652091520,,205024.58+445515.3,,,,,
0.727:ID:GDR1_2163140968460295680.png,3,312.6154862,44.3913941,GDR1_2163140968460295680,,205027.71+442329.0,,,,,
0.777:ID:GDR1_2163141208978477312.png,3,312.6346738,44.43817852,GDR1_2163141208978477312,,205032.32+442617.4,,,, ,"29day timescale is strong, but phased diagrams don't look great"
0.698:ID:GDR1_2067062618768745728.png,2,312.6377939,44.26074779,GDR1_2067062618768745728,,205033.07+441538.6,9.475192,,,,
