,ID_1,RA,DEC,PER,Q,M,NU,rMean,primary_class,secondary_class,ra_1,dec_1,id_2,ra_2,dec_2,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,ra_3,dec_3,AllWISE,RAJ2000_3,DEJ2000_3,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,ccf,ex,var,qph,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,__70_,e__70_,RAJ2000_4,DEJ2000_4,Separation
0,2MASS_J20470481+4349114,311.77007069097664,43.8198374299041,,0.8928500841630572,0.1249232430635402,0.031808997294989,19.034893894594603,s,,311.77007069097664,43.8198374299041,2MASS_J20470481+4349114,311.77007069097664,43.8198374299041,15.336,14.343,13.764,0.054,0.051,0.043,AAA,222.0,311.77007069097664,43.8198374299041,J204704.80+434911.2,311.7700105,43.8198026,13.811,13.361,9.928,7.436,0.028,0.033,0.046,0.105,0hdh,0,9800,AAAA,,,,,,,,,,,,,,,0.0
1,2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,5.936473228170153,0.3048894758990996,0.2660667052373756,0.0095714189789098,18.24218667194719,p,,311.9689046469143,43.75372371764185,2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,13.413,12.234,11.717,0.035,0.033,0.027,AAA,222.0,311.9689046469143,43.75372371764185,J204752.56+434513.5,311.9690106,43.7537686,11.122,10.852,9.314,7.866,0.024,0.021,0.084,0.429,dDdD,1,nnnn,AAAC,,,,,,,,,,,,,,,0.0
2,2MASS_J20475581+4329019,311.98252525962954,43.48387322013138,1.0135858720916306,0.9296843382924852,-0.0187188554755475,0.072287724496973,17.6808145717608,s,,311.98252525962954,43.48387322013138,2MASS_J20475581+4329019,311.98252525962954,43.48387322013138,13.979,12.825,11.864,0.026,0.034,0.024,AAA,222.0,311.98252525962954,43.48387322013138,J204755.80+432901.9,311.9825391,43.4838736,10.147,9.163,6.784,4.638,0.022,0.019,0.026,0.043,HHd0,1,nn96,AAAA,,,,,,,,,,,,,,,0.0
3,2MASS_J20483292+4351190,312.1371734648398,43.85529686187581,,0.6406015875585829,-0.6920295638104588,0.0684811760224634,19.30639051737589,b,,312.1371734648398,43.85529686187581,2MASS_J20483292+4351190,312.1371734648398,43.85529686187581,13.411,11.624,9.993,0.026,0.027,0.019,AAA,222.0,312.1371734648398,43.85529686187581,J204832.92+435119.1,312.1371855,43.8553168,8.328,6.889,4.175,2.024,0.022,0.02,0.015,0.018,ph00,0,3343,AAAA,7.77,0.05,6.66,0.05,5.8,0.05,4.91,0.05,1.83,0.12,-0.98,0.22,312.13749999999993,43.85529999999999,0.0
4,2MASS_J20505039+4450115,312.7099655363757,44.83654072588119,222.58683877368023,0.4758820302681549,0.3019114757904513,0.0905067947611391,16.876935947682117,qpd,,312.7099655363757,44.83654072588119,2MASS_J20505039+4450115,312.7099655363757,44.83654072588119,15.412,13.104,11.103,0.051,0.038,0.023,AAA,222.0,312.7099655363757,44.83654072588119,J205050.39+445011.6,312.7099597,44.8365786,7.634,6.222,3.954,2.076,0.025,0.028,0.014,0.022,00p0,1,3433,AAAA,7.24,0.05,6.1,,5.34,0.05,4.44,0.05,1.84,0.04,-0.64,0.22,312.71005305555553,44.83653305555555,0.0
5,2MASS_J20505363+4424305,312.7234562095467,44.40844658880434,5.340230268367138,0.8592732523890276,0.3403318371576371,0.0285538358851027,17.000678722364217,apd,,312.7234562095467,44.40844658880434,2MASS_J20505363+4424305,312.7234562095467,44.40844658880434,12.801,11.111,10.088,0.029,0.067,0.064,AAA,222.0,,,,,,,,,,,,,,, ,,,8.68,0.05,8.19,0.05,7.78,0.06,,,4.65,0.2,,,312.72345,44.40844305555555,0.0
6,2MASS_J20505543+4417461,312.7309994942258,44.2960874126181,0.9015406815299328,0.8101752600451981,0.1779739532324741,0.0137824993796219,17.795238330939227,qps,,312.7309994942258,44.2960874126181,2MASS_J20505543+4417461,312.7309994942258,44.2960874126181,14.036,13.122,12.781,0.051,0.05,0.052,AAA,222.0,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,0.0
7,2MASS_J20510029+4424364,312.75123585817425,44.41009410793112,7.008938672886845,0.2368340826065949,0.1206401789773099,0.0207055529422814,18.33375124808917,p,,312.75123585817425,44.41009410793112,2MASS_J20510029+4424364,312.75123585817425,44.41009410793112,13.484,12.627,12.232,0.024,0.035,0.028,AAA,222.0,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,0.0
8,2MASS_J20510663+4421407,312.777638321121,44.361312210949386,1.3974247735885623,0.4212279555452859,-0.0284968541837917,0.0087955575342645,15.6455768443038,p,l,312.777638321121,44.361312210949386,2MASS_J20510663+4421407,312.777638321121,44.361312210949386,13.317,12.569,12.353,0.026,0.035,0.028,AAA,222.0,312.777638321121,44.361312210949386,J205106.60+442140.7,312.7775265,44.3613224,12.131,12.155,10.585,7.576,0.026,0.027,0.182,0.196,0000,0,110n,AABB,,,,,,,,,,,,,,,0.0
9,2MASS_J20510895+4416420,312.78730191056013,44.27831364345297,1.1904892992814269,0.7836237938229438,0.2442378059061161,0.0171236808657591,18.228841724350648,qpd,,312.78730191056013,44.27831364345297,2MASS_J20510895+4416420,312.78730191056013,44.27831364345297,13.788,12.892,12.533,0.029,0.033,0.028,AAA,222.0,312.78730191056013,44.27831364345297,J205108.93+441641.8,312.7872334,44.2782882,12.384,12.194,11.481,8.729,0.029,0.027,,,0hh0,0,00nn,AAUU,,,,,,,,,,,,,,,0.0
