ID,RA_jan,DEC_jan,PER_jan,Q_jan,M_jan,primary_class_jan,secondary_class_jan,per_changed
FHK_464,314.621125,44.18061111,,1,0.218368002,s,,
FHK_118,312.8974583,44.51088889,4.416535527,0.113656855,0.17105148,p,,
FHK_543,312.949125,43.71083333,1.140177967,0.117401958,0.329615483,p,,
FHK_150,312.9936667,44.62338889,1.905820305,0.119857102,0.134623175,p,,
FHK_323,313.4439583,44.18038889,2.889083162,0.132813887,0.236865723,p,l,
FHK_226,313.1775,44.32255556,8.977221807,0.136448135,0.090899364,p,,
FHK_576,313.284625,44.83472222,1.648176587,0.146875211,-0.391889849,mp,,
FHK_282,313.357375,44.17925,1.453457054,0.148104955,0.060817786,p,l,
FHK_133,312.9370833,44.43861111,3.772258735,0.154098754,0.034869356,p,l,
GDR1_2162251394832460672,314.5513791,44.34949107,6.431558993,0.155257737,0.253585697,p,,
FHK_286,313.3675833,44.30577778,0.974698721,0.164154778,0.099982644,p,,
FHK_216,313.1452917,44.23347222,10.64909183,0.17096604,0.295120494,p,l,
FHK_567,313.8686667,44.72905556,2.427794427,0.174512532,0.275018428,p,,
FHK_192,313.097,43.08236111,7.2293159,0.185978552,0.194843522,p,l,
FHK_281,313.3527083,44.34280556,2.778363006,0.199089861,0.319779506,p,,
FHK_571,313.6909167,44.59666667,10.14356255,0.201790425,0.145979427,p,l,
GDR1_2162965012238950656,313.407723,44.40578468,14.43557811,0.213325608,0.09504881,p,,
FHK_182,313.069625,44.25811111,7.864284321,0.213592118,0.253614189,p,l,
GDR1_2162134880959435904,314.1945194,43.76723966,3.37151231,0.216027565,-0.056871871,p,,
2MASS_J20510029+4424364,312.7512359,44.41009411,7.008938673,0.236834083,0.117572265,p,,
GDR1_2163156052385630336,312.7257984,44.63560933,9.547218333,0.239152357,-0.108190787,p,,
FHK_371,313.796375,43.95413889,12.64792577,0.242243016,-0.054335666,p,,
FHK_137,312.9439583,44.37258333,2.175419456,0.245577581,0.108992362,p,,
FHK_62,312.7635833,44.15361111,7.894870403,0.252715418,0.023093423,p,l,
GDR1_2163135573981345152,312.7565367,44.2616609,7.364955093,0.259127582,-0.044159119,p,,
FHK_569,313.739,44.64544444,3.861968526,0.267597169,-0.119139577,p,l,
FHK_510,313.4815417,44.18505556,10.29793923,0.274930729,0.23592749,p,,
2MASS_J20523394+4429168,313.1414374,44.48800175,8.615267333,0.291655047,0.082551618,p,,
2MASS_J20511252+4418093,312.8021979,44.30255956,7.988072978,0.293629507,-0.115032841,p,,
FHK_46,312.743125,44.24233333,4.878227901,0.300220969,0.229235011,p,,
FHK_430,314.4521667,43.49522222,7.294421477,0.304383999,0.350789743,p,l,
2MASS_J20475256+4345137,311.9689046,43.75372372,5.936473228,0.304889476,0.245220318,p,,
FHK_56,312.756,44.22497222,7.057676214,0.331454093,0.313378167,p,,
FHK_183,313.074375,44.35444444,3.211301186,0.339658929,-0.009943933,p,,
FHK_172,313.0482083,44.29855556,3.535720409,0.350141197,0.415245694,p,,
FHK_217,313.147125,44.55538889,6.441763938,0.360205793,0.279628721,p,,
FHK_200,313.1092083,44.57394444,1.43293698,0.366648534,-0.184694897,p,,
FHK_8,312.5252083,44.29694444,3.952197973,0.367168904,0.145976114,p,,
FHK_372,313.8260417,44.50352778,4.137474985,0.381335554,0.084424475,p,l,
GDR1_2162221536218867072,314.598556,43.882055,18.99563517,0.386100263,0.173592518,p,,
FHK_176,313.0564583,44.20058333,0.972364247,0.4,0.382139553,p,,
FHK_408,314.2157083,43.38702778,3.437,0.404362687,0.2121407,mp,,TRUE
GDR1_2162952711451794176,313.2574988,44.3182722,8.264510977,0.406032905,0.054564456,p,,
GDR1_2162933882314931968,313.3930354,44.12793433,6.631153495,0.41250403,0.04425049,p,,
2MASS_J20510663+4421407,312.7776383,44.36131221,1.397424774,0.421227956,-0.155319892,p,l,
FHK_431,314.4534167,44.09055556,3.554292979,0.424576912,-0.014763059,p,l,
GDR1_2162938074203123712,313.3083529,44.21604899,7.268239033,0.433771409,0.736827569,p,,
GDR1_2162947591850664960,312.8259917,44.21892965,7.879547681,0.435741505,0.067408417,p,l,
FHK_127,312.9219167,43.79861111,1.356962746,0.439521109,0.077011043,qps,mp,
2MASS_J20533662+4439529,313.4026267,44.66467216,3.208763089,0.443769141,0.597817034,qpd,,
2MASS_J20511374+4422252,312.8072667,44.37366095,2.076397142,0.446185117,-0.088629355,qps,,
2MASS_J20564400+4346000,314.1833688,43.76669444,4.061232427,0.452652619,0.206436597,qps,,
GDR1_2163139873247408384,312.6685307,44.33934433,5.035543363,0.456774276,0.022213901,p,l,
GDR2_2162926254452857472,313.1646323,43.99839833,8.743228892,0.458979569,0.235777536,p,,
GDR1_2163135573981345280,312.7561119,44.25955734,5.529332058,0.465223382,0.196879514,qps,l,
GDR1_2163140315626343168,312.7693628,44.39724326,191.1471525,0.473332001,0.746997706,qpd,l,
2MASS_J20505039+4450115,312.7099655,44.83654073,222.5868388,0.47588203,0.351957332,qpd,,
FHK_86,312.8374167,44.43877778,3.840051247,0.483920136,0.086916202,qps,,
GDR1_2065995748890512768,313.4822099,42.75857157,5.945187964,0.486963477,-0.043832484,qps,,
FHK_409,314.2174583,44.09766667,12.91961908,0.491696077,0.452461475,qpd,,
FHK_532,313.111625,44.6185,4.112329261,0.496272814,-0.071664731,qps,,
FHK_514,313.3889167,44.42186111,3.643609694,0.499831304,-0.11875997,qps,,
FHK_566,313.643875,44.55247222,7.272602808,0.499943032,-0.010154605,qps,,
FHK_511,313.5208333,44.1735,11.53150683,0.503062124,0.061085856,qps,mp,
GDR1_2067061691055800448,312.5413046,44.25589705,211.017524,0.5034854,0.194258516,qpd,,
GDR1_2162940067068027392,313.3967864,44.28128984,21.91679103,0.506885268,-0.143644223,qps,l,
GDR1_2162948107246789120,312.8483717,44.26180599,6.786335762,0.509187329,0.0403487,qps,,
GDR1_2067120514926515200,312.1200288,44.40319402,9.017099355,0.524642323,-0.069333884,qps,,
FHK_442,314.54175,43.76,4.529032924,0.52513063,-0.190172422,qps,,
GDR1_2067026953358039552,312.2407994,43.83196844,3.570675982,0.530644946,0.106912069,qps,,
GDR1_2067034546860024960,311.8431743,43.8365075,8.261655142,0.53717797,0.176180413,qps,,
GDR1_2163020881172468608,314.266983,44.63076132,3.276084899,0.541420503,0.278429865,qps,l,
FHK_82,312.8238333,44.30830556,7.169853297,0.541547611,0.638022553,qpd,,
FHK_444,314.54775,43.88252778,182,0.545307137,-0.093619878,qps,,TRUE
FHK_531,313.1360833,44.44227778,5.326218318,0.549182025,-0.143005798,qps,mp,
FHK_48,312.7445833,44.29188889,7.220862552,0.561001305,0.021201081,qps,,
2MASS_J20522880+4418297,313.1200225,44.30822975,9.993746026,0.56793159,0.496119698,qpd,,
GDR1_2067062824937136000,312.6543514,44.30684139,191.1471525,0.572060372,0.632691247,qpd,,
FHK_489,313.2527917,44.61652778,1.682325221,0.576427568,-0.076658949,qps,l,
FHK_130,312.9254167,44.64908333,8.214345952,0.584323499,-0.079902989,qps,l,
FHK_361,313.6941667,44.20166667,12.48266155,0.586719789,0.649971139,qpd,,
GDR1_2162941716335179008,312.988425,44.03779365,7.483116982,0.589542067,0.391307753,qpd,,
GDR1_2163139804527939968,312.7024344,44.35125186,6.224483591,0.598299349,0.260466704,qpd,,
FHK_530,313.028,44.48988889,11.59165236,0.600313472,-0.47645179,b,l,
FHK_251,313.2739583,44.71030556,4.116498968,0.603881638,0.016617629,qps,,
FHK_134,312.9381667,43.81730556,6.242051875,0.608666314,0.25513472,qpd,,
2MASS_J20570162+4341387,314.2567903,43.69410701,2.988385751,0.611440255,-0.048691536,qps,,
GDR1_2162932851524210816,313.1519644,44.19620838,6.588110785,0.61388145,1.053986957,qpd,,
