old_name,preferred_name,ra,dec,Simbad,TMASS,GaiaDR2,NameFHK
2MASS J20470481+4349114,2MASS J20470481+4349114,311.77007,43.81984,2MASS J20470481+4349114,2MASS J20470481+4349114,Gaia DR2 2067034821737908224,
GDR1 2067034546860024960,2MASS J20472236+4350114,311.84317,43.83651,2MASS J20472236+4350114,2MASS J20472236+4350114,Gaia DR2 2067034551159844608,
GDR1 2067034237622346240,2MASS J20472521+4348322,311.85507,43.80895,2MASS J20472521+4348322,2MASS J20472521+4348322,Gaia DR2 2067034237622346240,
GDR1 2067032760152922112,2MASS J20473802+4349281,311.90846,43.82448,2MASS J20473802+4349281,2MASS J20473802+4349281,Gaia DR2 2067032764453394816,
GDR1 2067030011373814272,2MASS J20474099+4343186,311.92084,43.72187,2MASS J20474099+4343186,2MASS J20474099+4343186,Gaia DR2 2067030015674258304,
2MASS J20475256+4345137,Gaia_DR2 2067031596218019072,311.9689,43.75372,,,Gaia DR2 2067031596218019072,
2MASS J20475581+4329019,2MASS J20475581+4329019,311.98253,43.48387,2MASS J20475581+4329019,2MASS J20475581+4329019,Gaia DR2 2066919063788276864,
GDR1 2067120514926515200,2MASS J20482880+4424115,312.12003,44.40319,2MASS J20482880+4424115,2MASS J20482880+4424115,Gaia DR2 2067120519225769216,
GDR1 2067069937403328128,FHK 548,312.13694,44.1999,2MASS J20483286+4411596,2MASS J20483286+4411596,Gaia DR2 2067069941690420992,FHK 548
2MASS J20483292+4351190,2MASS J20483292+4351190,312.13717,43.8553,IRAS 20467+4340,2MASS J20483292+4351190,Gaia DR2 2067026678480142464,
GDR1 2067026815919131392,FHK 547,312.14774,43.88704,2MASS J20483546+4353133,2MASS J20483546+4353133,Gaia DR2 2067026820218564736,FHK 547
GDR2 2067027228235955584,FHK 546,312.21539,43.85038,2MASS J20485169+4351014,2MASS J20485169+4351014,Gaia DR2 2067027228235955584,FHK 546
GDR1 2067026953358039552,FHK 545,312.2408,43.83197,2MASS J20485779+4349550,2MASS J20485779+4349550,Gaia DR2 2067026957657468800,FHK 545
GDR1 2067067807089176192,FHK 2,312.29906,44.20914,2MASS J20491176+4412329,2MASS J20491176+4412329,Gaia DR2 2067067811386540928,FHK 2
GDR1 2067128658184872064,2MASS J20492323+4434373,312.34682,44.57699,2MASS J20492323+4434373,2MASS J20492323+4434373,Gaia DR2 2067128662483849728,
GDR1 2067128795623856256,2MASS J20492606+4435298,312.35866,44.5916,2MASS J20492606+4435298,2MASS J20492606+4435298,Gaia DR2 2067128799922803968,
GDR1 2067074301079809408,FHK 6,312.38411,44.28419,2MASS J20493219+4417031,2MASS J20493219+4417031,Gaia DR2 2067074305377614720,FHK 6
FHK 8,FHK 8,312.52521,44.29694,2MASS J20500604+4417489,2MASS J20500604+4417489,Gaia DR2 2067063447700277504,FHK 8
