ID,Our Per,Fro Per,qm_class
GDR1_2163156052385630336,9.547218333,9.4377,p
FHK_489,1.682325221,1.6827,qps
FHK_150,1.905820305,1.9081,p
FHK_200,1.43293698,1.4334,p
GDR1_2067128658184872064,11.683,11.7162,qps
GDR1_2163143717240796032,6.937,6.6024,apd
2MASS_J20523394+4429168,8.615267333,8.6252,p
FHK_86,3.840051247,3.8622,qps
FHK_153,4.1544103439999995,4.1573,qps
FHK_133,3.772258735,3.759,p
FHK_517,1.390723046,1.3901,b
GDR1_2067120514926515200,9.017099355,9.0413,qps
GDR1_2163138601937119360,2.424894251,2.4266,b
FHK_137,2.1754194559999998,2.1763,p
2MASS_J20510663+4421407,1.397424774,1.3979,p
FHK_183,3.211301186,3.2233,p
GDR1_2163137738645105280,7.759074376,3.9113,qpd
FHK_281,2.778363006,2.7728,p
FHK_226,8.977221807000001,8.9487,p
GDR2_2163136059317926016,4.224,4.1672,qpd
2MASS_J20511252+4418093,7.988072978,8.0136,p
FHK_172,3.5357204089999996,3.5217,p
FHK_48,7.220862552000001,7.2758,qps
GDR1_2163135573981345152,7.364955093,7.3382,p
FHK_46,4.878227901,4.901,p
FHK_216,10.64909183,10.5727,p
GDR1_2162944911791083136,3.00899417,3.0487,qpd
FHK_56,7.057676214,7.0943,p
GDR1_2162938074203123712,7.2682390329999995,7.2549,p
GDR1_2162947591850664960,7.879547681,7.8531,p
FHK_282,1.453457054,1.4492,p
FHK_62,7.894870403,7.88,p
