ID,Our Per,Bhard Per,qm_class
GDR2_2163139804529410944,10.790999999999999,10.878,qps
2MASS_J20505543+4417461,9.371,9.383,qps
GDR1_2163136364255498624,8.615267333,8.446,apd
2MASS_J20511252+4418093,7.988072978,7.954,p
GDR1_2163135573981345152,7.364955093,7.359,p
FHK_48,7.220862552000001,7.223,qps
GDR1_2163136746511218176,6.8435330389999995,6.849,qpd
GDR1_2163139804527939968,6.224483591,6.2170000000000005,qpd
GDR1_2163136742213531520,5.499372497,5.49,qps
FHK_79,6.609562065,4.904,qpd
GDR1_2163140281266601728,4.445552248,4.428999999999999,qps
FHK_8,3.952197973,3.946,p
FHK_86,3.840051247,3.84,qps
GDR1_2163140453064444544,3.536,3.537,qps
GDR1_2067059732550905600,3.0938359930000003,3.089,qps
GDR1_2163138601937119360,2.424894251,2.42,b
2MASS_J20512059+4420322,1.623785909,1.607,b
2MASS_J20510029+4424364,7.008938672999999,1.39,p
2MASS_J20510895+4416420,6.149,1.189,qpd
FHK_82,7.169853297,1.162,qpd
FHK_22,1.025153559,0.993,s
GDR1_2163135367823138944,,0.993,apd
FHK_28,1.053074296,0.9490000000000001,qps
FHK_26,13.70463665,0.518,qpd
2MASS_J20511262+4418454,,0.501,s
GDR1_2163140315626346880,,0.499,b
GDR1_2067062618768745728,9.480335991,0.345,qps
